test_id,scenario,notes,run_mode,elapsed_ms,attempt,command_samples,command_successes,command_failures,command_latency_ms_avg,command_latency_ms_min,command_latency_ms_max,last_command_latency_ms,last_command_elapsed_ms,last_command_age_ms,command_attempt_count,command_retry_count,command_timeout_count,command_client_total_ms,command_ensure_sdk_ms,command_executor_total_ms,command_send_ms,command_recv_wait_ms,command_parse_ms,command_executor_recv_wait_total_ms,command_executor_internal_total_ms,command_recovery_ms,command_executor_calls,command_recovery_count,last_command,last_response,last_command_result,command_source,command_executor_last_error,command_executor_attempt_log,command_internal_attempt_log,telemetry_packets_total,telemetry_packets_valid,telemetry_packets_invalid,telemetry_timeouts,telemetry_errors,telemetry_hz_instant,telemetry_hz_ema,telemetry_age_ms,telemetry_interarrival_ms,telemetry_max_interarrival_ms,telemetry_last_gap_ms,telemetry_last_gap_sequence,telemetry_gap_events_300ms,telemetry_gap_events_500ms,telemetry_gap_events_1000ms,telemetry_quality,telemetry_quality_score,telemetry_state_available,telemetry_h,telemetry_tof,telemetry_baro,telemetry_vgz,telemetry_bat,telemetry_templ,telemetry_temph,video_packets_total,video_bytes_total,video_timeouts,video_errors,video_pps_instant,video_pps_ema,video_age_ms,video_packet_delta,video_interarrival_ms,video_max_interarrival_ms,video_last_gap_ms,video_last_gap_sequence,video_gap_events_300ms,video_gap_events_500ms,video_gap_events_1000ms,video_quality,video_quality_score,link_quality,link_quality_score,link_safe_for_nonzero_rc,link_quality_reason,link_telemetry_quality,link_video_quality,link_command_quality,link_rc_quality,rc_packet_gap_ms,rc_expected_period_ms,rc_blackout_count,rc_last_nonzero_age_ms,rc_safety_override_active,nal_packets_in,nal_bytes_in,nal_units,nal_sps,nal_pps,nal_idr,nal_non_idr,nal_other,nal_decode_gated,nal_resyncs,nal_buffered_bytes,decoder_nals_in,decoder_packets_sent,decoder_frames_decoded,decoder_errors,decoder_fps_ema,frame_width,frame_height,keyframes,paused,overlay_enabled,recovery_attempted,recovery_result,recovery_hard,recovery_stage,recovery_command_channel_available,event,log_timestamp,log_message,connection_state,last_outage_failures,plot_metric,state_sequence_delta,state_receiver_running,rc_stream_active,rc_left_right,rc_forward_back,rc_up_down,rc_yaw,keepalive_running,auto_refresh_active,critical_command_active,pause_keepalive_ms,neutral_rc_ms,critical_command_ms,gui_vision_tick_delay_ms,gui_state_tick_delay_ms,vision_refresh_duration_ms,state_refresh_duration_ms,frame_convert_ms,frame_scale_ms,plot_paint_ms,vision_frame_mutex_wait_ms,state_history_fetch_ms,command_mutex_wait_ms,ui_frames_converted,ui_frames_dropped,ui_frames_displayed,plot_samples_displayed,keepalive_tick_total,keepalive_success_total,keepalive_failure_total,keepalive_skipped_busy_total,keepalive_skipped_uninitialized_total,keepalive_last_command,keepalive_last_response,keepalive_last_result,keepalive_last_latency_ms,keepalive_last_success_age_ms,keepalive_last_tick_age_ms
,gui,,CONTROL_PANEL,1,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,518,518,0,0,0,10.6537,10.823,35,93,784,339,245,5,2,0,OK,100,1,0,10,188.99,0,89,75,77,1475,7557944,0,0,0,33.131,12,0,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-07-09T12:14:32.046,recording started | gui_csv=ON | state_recording=ON,CONNECTED,0,tof,0,1,0,0,0,0,0,1,0,0,0,0,0,124,249,1,0,0,0,0,0,0,0,388,1029,363,300,9,9,0,0,0,battery?,89,OK,43,4258,4258
,gui,,CONTROL_PANEL,1,2,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,518,518,0,0,0,10.6537,10.823,35,93,784,339,245,5,2,0,OK,100,1,0,10,188.99,0,89,75,77,1475,7557944,0,0,0,33.131,12,0,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,logging:start,,,CONNECTED,0,tof,0,1,0,0,0,0,0,1,0,0,0,0,0,124,249,1,0,0,0,0,0,0,0,388,1029,363,300,9,9,0,0,0,battery?,89,OK,43,4258,4258
,gui,,CONTROL_PANEL,1117,3,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,530,530,0,0,0,10.8403,10.5957,20,92,784,339,245,5,2,0,OK,100,1,0,10,188.99,0,89,75,77,1511,7707608,0,0,0,32.7054,23,1511,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,1511,7707608,1453,0,0,0,0,0,0,0,0,0,0,1453,2,32.7054,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,tof,1,1,0,0,0,0,0,1,0,0,0,0,0,124,249,0,0,0,0,0,0,0,0,397,1056,371,300,10,10,0,0,0,battery?,89,OK,21,353,353
,gui,,CONTROL_PANEL,2242,4,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,541,541,0,0,0,6.9114,9.72418,28,144,784,339,245,5,2,0,OK,100,1,0,10,188.81,0,89,75,77,1543,7840986,0,0,0,25.4216,53,32,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,1543,7840986,1485,0,0,0,0,0,0,0,0,0,0,1485,2,25.4216,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,tof,1,1,0,0,0,0,0,1,0,0,0,0,0,124,249,0,0,0,0,0,0,0,0,406,1079,380,300,10,10,0,0,0,battery?,89,OK,21,1478,1478
,gui,,CONTROL_PANEL,3367,5,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,551,551,0,0,0,4.24605,69.7955,26,235,784,350,542,6,2,0,OK,100,1,0,10,188.69,0,89,76,77,1552,7883280,0,0,0,11.4629,0,9,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,1552,7883280,1494,0,0,0,0,0,0,0,0,0,0,1494,2,11.4629,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,tof,0,1,0,0,0,0,0,1,0,0,0,0,0,125,249,0,0,0,0,0,0,0,0,413,1080,387,300,10,10,0,0,0,battery?,89,OK,21,2603,2603
,gui,,CONTROL_PANEL,4491,6,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,565,565,0,0,0,16.2629,41.8831,10,61,784,350,542,6,2,0,OK,100,1,0,10,189.06,0,89,76,78,1573,7968694,0,0,0,31.7247,10,21,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,1573,7968694,1515,0,0,0,0,0,0,0,0,0,0,1515,2,31.7247,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,tof,3,1,0,0,0,0,0,1,0,0,0,0,0,124,249,1,0,0,0,0,0,0,0,423,1092,394,300,10,10,0,0,0,battery?,89,OK,21,3727,3727
,gui,,CONTROL_PANEL,4907,7,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,569,569,0,0,0,7.28195,23.1322,30,137,784,350,542,6,2,0,OK,100,1,0,10,188.98,0,89,76,78,1612,8128287,0,0,0,142.068,173,21,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,1573,7968694,1515,0,0,0,0,0,0,0,0,0,0,1515,2,31.7247,960,720,0,0,1,0,OK,0,,0,log,2026-07-09T12:14:36.938,panel switched to Operation,CONNECTED,0,tof,1,1,0,0,0,0,0,1,0,0,0,0,0,125,250,0,0,0,0,0,0,0,0,425,1116,397,300,10,10,0,0,0,battery?,89,OK,21,4143,4143
,gui,,CONTROL_PANEL,5492,8,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,576,576,0,0,0,9.66194,15.0139,31,103,784,350,542,6,2,0,OK,100,1,0,10,188.74,0,89,76,78,1636,8229663,0,0,0,48.5967,19,63,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,1636,8229663,1551,0,0,0,0,0,0,0,0,0,0,1551,2,48.5967,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,tof,2,1,0,0,0,0,0,1,0,0,0,0,0,125,250,1,0,0,0,0,0,0,0,428,1123,399,300,10,10,0,0,0,battery?,89,OK,21,4728,4728
,gui,,CONTROL_PANEL,6617,9,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,587,587,0,0,0,9.7462,10.4392,64,102,784,350,542,6,2,0,OK,100,1,0,10,188.66,0,89,75,79,1671,8374274,0,0,0,31.2965,6,35,-1,0,0,0,0,0,0,OK,100,OK,100,1,telemetry=OK; video=OK; command=OK,OK,OK,OK,NO_DATA,-1,50,0,-1,0,1671,8374274,1586,0,0,0,0,0,0,0,0,0,0,1586,2,31.2965,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,tof,0,1,0,0,0,0,0,1,0,0,0,0,0,124,250,1,0,0,0,0,0,0,0,437,1149,408,300,11,11,0,0,0,battery?,89,OK,39,813,813
,gui,,CONTROL_PANEL,7352,10,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,595,595,0,0,0,10.0806,10.1858,10,99,784,350,542,6,2,0,OK,100,1,0,10,188.88,0,88,76,78,1693,8469269,0,0,0,36.4636,28,35,-1,0,0,0,0,0,0,OK,100,OK,100,0,telemetry=OK; video=OK; command=OK; rc=NO_DATA,OK,OK,OK,NO_DATA,-1,50,0,-1,0,1671,8374274,1586,0,0,0,0,0,0,0,0,0,0,1586,2,31.2965,960,720,0,0,1,0,OK,0,,0,log,2026-07-09T12:14:39.397,sdk keepalive paused while keyboard RC worker is active,CONNECTED,0,tof,0,1,1,0,0,0,0,0,0,0,0,0,0,125,250,1,0,0,0,0,0,0,0,443,1165,414,300,11,11,0,0,0,battery?,89,OK,39,1548,1548
