state_sequence,timestamp_ms,recording_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_sequence
1591,1782597198352,0,0,0,0,0,0,0,83,86,10,0,70,140.93,0,-17,5,-1003,-1,0,0,0,,,,,,,,
1592,1782597198458,106,0,0,0,0,0,0,83,86,10,0,70,141.15,0,-15,4,-998,-1,0,0,0,,,,,,,,
1593,1782597198546,194,0,0,0,0,0,0,83,86,10,0,70,140.58,0,-19,7,-999,-1,0,0,0,,,,,,,,
1594,1782597198645,293,0,0,0,0,0,0,83,86,10,0,70,141.13,0,-15,7,-1001,-1,0,0,0,,,,,,,,
1595,1782597198743,391,0,0,0,0,0,0,83,86,10,0,70,140.78,0,-16,2,-999,-1,0,0,0,,,,,,,,
1596,1782597198847,495,0,0,0,0,0,0,83,86,10,0,70,140.33,0,-17,7,-998,-1,0,0,0,,,,,,,,
1597,1782597198947,595,0,0,0,0,0,0,83,86,10,0,70,140.85,0,-17,5,-1002,-1,0,0,0,,,,,,,,
1598,1782597199046,694,0,0,0,0,0,0,83,86,10,0,70,140.82,0,-18,6,-994,-1,0,0,0,,,,,,,,
1599,1782597199137,785,0,0,0,0,0,0,83,86,10,0,70,140.63,0,-17,7,-998,-1,0,0,0,,,,,,,,
1600,1782597199238,886,0,0,0,0,0,0,83,86,10,0,70,140.93,0,-18,5,-998,-1,0,0,0,,,,,,,,
1601,1782597199329,977,0,0,0,0,0,0,83,86,10,0,70,140.65,0,-15,7,-999,-1,0,0,0,,,,,,,,
1602,1782597199414,1062,0,0,0,0,0,0,83,86,10,0,70,140.53,0,-17,4,-999,-1,0,0,0,,,,,,,,
1603,1782597199519,1167,0,0,0,0,0,0,83,86,10,0,70,140.85,0,-16,7,-999,-1,0,0,0,,,,,,,,
1604,1782597199607,1255,0,0,0,0,0,0,83,86,10,0,70,140.73,0,-16,5,-1000,-1,0,0,0,,,,,,,,
1605,1782597199704,1352,0,0,0,0,0,0,83,86,10,0,70,140.58,0,-17,4,-998,-1,0,0,0,,,,,,,,
1606,1782597199800,1448,0,0,0,0,0,0,83,86,10,0,70,140.78,0,-17,7,-997,-1,0,0,0,,,,,,,,
1607,1782597199897,1545,0,0,0,0,0,0,83,86,10,0,70,140.8,0,-18,3,-1001,-1,0,0,0,,,,,,,,
1608,1782597199994,1642,0,0,0,0,0,0,83,86,10,0,70,140.8,0,-17,5,-1002,-1,0,0,0,,,,,,,,
1609,1782597200090,1738,0,0,0,0,0,0,83,86,10,0,70,141.04,0,-18,5,-997,-1,0,0,0,,,,,,,,
1610,1782597200277,1925,0,0,0,0,0,0,83,86,10,0,70,140.87,0,-16,7,-1000,-1,0,0,0,,,,,,,,
1611,1782597200316,1964,0,0,0,0,0,0,83,86,10,0,70,140.88,0,-20,4,-1000,-1,0,0,0,,,,,,,,
1612,1782597200363,2011,0,0,0,0,0,0,83,86,10,0,70,140.63,0,-17,6,-998,-1,0,0,0,,,,,,,,
1613,1782597200494,2142,0,0,0,0,0,0,83,85,10,0,70,141.03,0,-18,7,-1000,-1,0,0,0,,,,,,,,
1614,1782597200532,2180,0,0,0,0,0,0,83,85,10,0,70,140.71,0,-17,4,-1002,-1,0,0,0,,,,,,,,
1615,1782597200629,2277,0,0,0,0,0,0,83,85,10,0,70,140.92,0,-20,7,-1004,-1,0,0,0,,,,,,,,
1616,1782597200725,2373,0,0,0,0,0,0,83,85,10,0,70,140.55,0,-21,4,-997,-1,0,0,0,,,,,,,,
1617,1782597200841,2489,0,0,0,0,0,0,83,85,10,0,70,140.67,0,-17,7,-1002,-1,0,0,0,,,,,,,,
1618,1782597200918,2566,0,0,0,0,0,0,83,85,10,0,70,140.73,0,-21,3,-1001,-1,0,0,0,,,,,,,,
1619,1782597201024,2672,0,0,0,0,0,0,83,85,10,0,70,140.97,0,-18,5,-1001,-1,0,0,0,,,,,,,,
1620,1782597201128,2776,0,0,0,0,0,0,83,85,10,0,70,140.58,0,-16,9,-999,-1,0,0,0,,,,,,,,
1621,1782597201219,2867,0,0,0,0,0,0,83,85,10,0,70,140.94,0,-16,4,-999,-1,0,0,0,,,,,,,,
1622,1782597201310,2958,0,0,0,0,0,0,83,85,10,0,70,140.8,0,-17,5,-999,-1,0,0,0,,,,,,,,
1623,1782597201416,3064,0,0,0,0,0,0,83,86,10,0,70,140.9,0,-16,6,-1002,-1,0,0,0,,,,,,,,
1624,1782597201517,3165,0,0,0,0,0,0,83,86,10,0,70,140.86,0,-15,6,-998,-1,0,0,0,,,,,,,,
1625,1782597201599,3247,0,0,0,0,0,0,83,86,10,0,70,140.72,0,-16,5,-999,-1,0,0,0,,,,,,,,
