state_sequence,timestamp_ms,recording_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_sequence
73,1782522506280,0,0,0,3,0,0,0,85,88,10,0,54,137.43,0,14,-7,-999,-1,0,0,0,,,,,,,,
74,1782522506395,115,0,0,3,0,0,0,85,88,10,0,54,137.55,0,14,-9,-999,-1,0,0,0,,,,,,,,
75,1782522506482,202,0,0,3,0,0,0,85,88,10,0,54,137.61,0,16,-11,-1001,-1,0,0,0,,,,,,,,
76,1782522506578,298,0,0,3,0,0,0,86,87,10,0,54,137.59,0,12,-11,-998,-1,0,0,0,,,,,,,,
77,1782522506675,395,0,0,3,0,0,0,86,87,10,0,54,137.29,0,12,-9,-997,-1,0,0,0,,,,,,,,
78,1782522506779,499,0,0,3,0,0,0,86,87,10,0,54,137.36,0,18,-13,-1000,-1,0,0,0,,,,,,,,
79,1782522506873,593,0,0,3,0,0,0,86,87,10,0,54,137.49,0,16,-11,-999,-1,0,0,0,,,,,,,,
80,1782522506972,692,0,0,3,0,0,0,86,87,10,0,54,137.34,0,10,-7,-999,-1,0,0,0,,,,,,,,
81,1782522507071,791,0,0,3,0,0,0,86,87,10,0,54,137.22,0,9,-7,-997,-1,0,0,0,,,,,,,,
82,1782522507173,893,0,0,3,0,0,0,86,87,10,0,54,137.14,0,10,-5,-998,-1,0,0,0,,,,,,,,
83,1782522507268,988,0,0,3,0,0,0,86,87,10,0,54,137.81,0,12,-9,-1000,-1,0,0,0,,,,,,,,
84,1782522507387,1107,0,0,3,0,0,0,86,87,10,0,54,137.37,0,13,-9,-999,-1,0,0,0,,,,,,,,
85,1782522507493,1213,0,0,3,0,0,0,86,87,10,0,54,137.5,0,14,-10,-999,-1,0,0,0,,,,,,,,
86,1782522507614,1334,0,0,3,0,0,0,86,88,10,0,54,137.26,0,8,-7,-1000,-1,0,0,0,,,,,,,,
87,1782522507663,1383,0,0,3,0,0,0,86,88,10,0,54,137.3,0,15,-10,-1000,-1,0,0,0,,,,,,,,
88,1782522507773,1493,0,0,3,0,0,0,86,88,10,0,54,137.43,0,13,-10,-996,-1,0,0,0,,,,,,,,
89,1782522507862,1582,0,0,3,0,0,0,86,88,10,0,54,137.79,0,14,-9,-998,-1,0,0,0,,,,,,,,
90,1782522507960,1680,0,0,3,0,0,0,86,88,10,0,54,137.3,0,12,-7,-999,-1,0,0,0,,,,,,,,
91,1782522508059,1779,0,0,3,0,0,0,86,88,10,0,54,137.19,0,14,-8,-998,-1,0,0,0,,,,,,,,
92,1782522508158,1878,0,0,3,0,0,0,86,88,10,0,54,137.23,0,14,-7,-1001,-1,0,0,0,,,,,,,,
93,1782522508264,1984,0,0,3,0,0,0,86,88,10,0,54,137.32,0,12,-9,-1000,-1,0,0,0,,,,,,,,
94,1782522508358,2078,0,0,3,0,0,0,86,88,10,0,54,137.24,0,13,-10,-1001,-1,0,0,0,,,,,,,,
95,1782522508454,2174,0,0,3,0,0,0,86,88,10,0,54,137.41,0,14,-8,-999,-1,0,0,0,,,,,,,,
96,1782522508555,2275,0,0,3,0,0,0,86,87,10,0,54,137.38,0,16,-9,-1001,-1,0,0,0,,,,,,,,
97,1782522508655,2375,0,0,3,0,0,0,86,87,10,0,54,137.26,0,18,-8,-1000,-1,0,0,0,,,,,,,,
98,1782522508751,2471,0,0,3,0,0,0,86,87,10,0,54,137.1,0,16,-9,-1000,-1,0,0,0,,,,,,,,
99,1782522508850,2570,0,0,3,0,0,0,86,87,10,0,54,137.34,0,15,-11,-997,-1,0,0,0,,,,,,,,
100,1782522508949,2669,0,0,3,0,0,0,86,87,10,0,54,137.41,0,3,-10,-1008,-1,0,0,0,,,,,,,,
101,1782522509000,2720,0,0,3,0,0,0,86,87,10,0,54,137.22,0,12,-9,-999,-1,0,0,0,,,,,,,,
102,1782522509101,2821,0,0,3,0,0,0,86,87,10,0,54,137.42,0,15,-8,-998,-1,0,0,0,,,,,,,,
103,1782522509197,2917,0,0,3,0,0,0,86,87,10,0,54,137.35,0,14,-9,-996,-1,0,0,0,,,,,,,,
104,1782522509296,3016,0,0,3,0,0,0,86,87,10,0,54,137.44,0,12,-10,-998,-1,0,0,0,,,,,,,,
105,1782522509397,3117,0,0,3,0,0,0,86,87,10,0,54,137.25,0,14,-8,-999,-1,0,0,0,,,,,,,,
106,1782522509495,3215,0,0,3,0,0,0,85,88,10,0,54,137.25,0,13,-6,-997,-1,0,0,0,,,,,,,,
107,1782522509594,3314,0,0,3,0,0,0,85,88,10,0,54,137.36,0,13,-9,-1002,-1,0,0,0,,,,,,,,
108,1782522509694,3414,0,0,3,0,0,0,85,88,10,0,54,137.21,0,16,-8,-1002,-1,0,0,0,,,,,,,,
109,1782522509807,3527,0,0,3,0,0,0,85,88,10,0,54,137.17,0,14,-11,-998,-1,0,0,0,,,,,,,,
110,1782522509914,3634,0,0,3,0,0,0,85,88,10,0,54,137.26,0,12,-7,-999,-1,0,0,0,,,,,,,,
111,1782522509988,3708,0,0,3,0,0,0,85,88,10,0,54,137.13,0,12,-8,-999,-1,0,0,0,,,,,,,,
112,1782522510090,3810,0,0,3,0,0,0,85,88,10,0,54,137.24,0,12,-7,-999,-1,0,0,0,,,,,,,,
113,1782522510202,3922,0,0,3,0,0,0,85,88,10,0,54,137.14,0,12,-8,-997,-1,0,0,0,,,,,,,,
114,1782522510293,4013,0,0,3,0,0,0,85,88,10,0,54,137.4,0,14,-5,-1000,-1,0,0,0,,,,,,,,
115,1782522510406,4126,0,0,3,0,0,0,85,88,10,0,54,137.27,0,14,-7,-999,-1,0,0,0,,,,,,,,
116,1782522510487,4207,0,0,3,0,0,0,85,88,10,0,54,137.35,0,11,-11,-996,-1,0,0,0,,,,,,,,
117,1782522510587,4307,0,0,3,0,0,0,85,88,10,0,54,137.3,0,12,-9,-999,-1,0,0,0,,,,,,,,
118,1782522510680,4400,0,0,3,0,0,0,85,88,10,0,54,137.42,0,14,-10,-1002,-1,0,0,0,,,,,,,,
119,1782522510778,4498,0,0,3,0,0,0,85,88,10,0,54,137.29,0,12,-6,-999,-1,0,0,0,,,,,,,,
120,1782522510880,4600,0,0,3,0,0,0,85,88,10,0,54,137.65,0,17,-7,-1005,-1,0,0,0,,,,,,,,
121,1782522510976,4696,0,0,3,0,0,0,85,88,10,0,54,137.26,0,14,-6,-1001,-1,0,0,0,,,,,,,,
122,1782522511077,4797,0,0,3,0,0,0,85,88,10,0,54,137.16,0,13,-11,-998,-1,0,0,0,,,,,,,,
123,1782522511174,4894,0,0,3,0,0,0,85,88,10,0,54,137.45,0,13,-11,-996,-1,0,0,0,,,,,,,,
124,1782522511274,4994,0,0,3,0,0,0,85,88,10,0,54,136.95,0,14,-7,-1001,-1,0,0,0,,,,,,,,
125,1782522511372,5092,0,0,3,0,0,0,85,88,10,0,54,137.27,0,13,-6,-1001,-1,0,0,0,,,,,,,,
126,1782522511476,5196,0,0,3,0,0,0,86,88,10,0,54,137.16,0,13,-11,-1001,-1,0,0,0,,,,,,,,
127,1782522511605,5325,0,0,3,0,0,0,86,88,10,0,54,137.22,0,12,-10,-999,-1,0,0,0,,,,,,,,
128,1782522511685,5405,0,0,3,0,0,0,86,88,10,0,54,137.18,0,12,-9,-998,-1,0,0,0,,,,,,,,
129,1782522511792,5512,0,0,3,0,0,0,86,88,10,0,54,137.18,0,15,-10,-999,-1,0,0,0,,,,,,,,
130,1782522511867,5587,0,0,3,0,0,0,86,88,10,0,54,137.67,0,14,-7,-1002,-1,0,0,0,,,,,,,,
131,1782522511991,5711,0,0,3,0,0,0,86,88,10,0,54,137.31,0,12,-9,-999,-1,0,0,0,,,,,,,,
132,1782522512066,5786,0,0,3,0,0,0,86,88,10,0,54,137.14,0,12,-10,-998,-1,0,0,0,,,,,,,,
133,1782522512114,5834,0,0,3,0,0,0,86,88,10,0,54,137.31,0,17,-16,-1000,-1,0,0,0,,,,,,,,
134,1782522512213,5933,0,0,3,0,0,0,86,88,10,0,54,137.31,0,19,-6,-1002,-1,0,0,0,,,,,,,,
