state_sequence,timestamp_ms,recording_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_sequence
12,1782597773491,0,-1,0,0,0,0,0,66,68,10,0,70,141.13,0,-20,3,-997,-1,0,0,0,,,,,,,,
13,1782597773584,93,-1,0,0,0,0,0,66,68,10,0,70,141.05,0,-21,4,-1000,-1,0,0,0,,,,,,,,
14,1782597773679,188,-1,0,0,0,0,0,66,68,10,0,70,141.02,0,-19,5,-1000,-1,0,0,0,,,,,,,,
15,1782597773774,283,-1,0,0,0,0,0,66,68,10,0,70,141.27,0,-20,4,-997,-1,0,0,0,,,,,,,,
16,1782597773867,376,-1,0,0,0,0,0,66,68,10,0,70,140.86,0,-21,3,-998,-1,0,0,0,,,,,,,,
17,1782597773961,470,-1,0,0,0,0,0,66,68,10,0,70,140.98,0,-19,4,-1001,-1,0,0,0,,,,,,,,
18,1782597774056,565,-1,0,0,0,0,0,66,69,10,0,70,140.76,0,-19,6,-1000,-1,0,0,0,,,,,,,,
19,1782597774146,655,-1,0,0,0,0,0,66,69,10,0,70,140.95,0,-20,4,-1000,-1,0,0,0,,,,,,,,
20,1782597774193,702,-1,0,0,0,0,0,66,69,10,0,70,140.97,0,-19,3,-999,-1,0,0,0,,,,,,,,
21,1782597774288,797,-1,0,0,0,0,0,66,69,10,0,70,141.19,0,-21,5,-998,-1,0,0,0,,,,,,,,
22,1782597774381,890,-1,0,0,0,0,0,66,69,10,0,70,140.98,0,-20,4,-998,-1,0,0,0,,,,,,,,
23,1782597774476,985,-1,0,0,0,0,0,66,69,10,0,70,141.36,0,-20,5,-998,-1,0,0,0,,,,,,,,
24,1782597774570,1079,-1,0,0,0,0,0,66,69,10,0,70,141.26,0,-20,4,-997,-1,0,0,0,,,,,,,,
25,1782597774664,1173,-1,0,0,0,0,0,66,69,10,0,70,140.85,0,-20,2,-1000,-1,0,0,0,,,,,,,,
26,1782597774759,1268,-1,0,0,0,0,0,66,69,10,0,70,140.82,0,-20,3,-999,-1,0,0,0,,,,,,,,
27,1782597774853,1362,-1,0,0,0,0,0,66,69,10,0,70,141.05,0,-20,4,-1001,-1,0,0,0,,,,,,,,
28,1782597774947,1456,-1,0,0,0,0,0,67,69,10,0,70,140.83,0,-20,2,-998,-1,0,0,0,,,,,,,,
29,1782597775042,1551,-1,0,0,0,0,0,67,69,10,0,70,141.15,0,-22,10,-999,-1,0,0,0,,,,,,,,
30,1782597775136,1645,-1,0,0,0,0,0,67,69,10,0,70,140.74,0,-20,3,-999,-1,0,0,0,,,,,,,,
31,1782597775231,1740,-1,0,0,0,0,0,67,69,10,0,70,141.01,0,-20,0,-997,-1,0,0,0,,,,,,,,
32,1782597775325,1834,-1,0,0,0,0,0,67,69,10,0,70,140.91,0,-22,9,-1000,-1,0,0,0,,,,,,,,
33,1782597775419,1928,-1,0,0,0,0,0,67,69,10,0,70,141.14,0,-19,1,-999,-1,0,0,0,,,,,,,,
34,1782597775514,2023,-1,0,0,0,0,0,67,69,10,0,70,141.16,0,-23,2,-1000,-1,0,0,0,,,,,,,,
35,1782597775608,2117,-1,0,0,0,0,0,67,69,10,0,70,141.09,0,-19,7,-999,-1,0,0,0,,,,,,,,
36,1782597775702,2211,-1,0,0,0,0,0,67,69,10,0,70,141.06,0,-19,2,-995,-1,0,0,0,,,,,,,,
37,1782597775796,2305,-1,0,0,0,0,0,67,69,10,0,70,140.93,0,-22,8,-1000,-1,0,0,0,,,,,,,,
38,1782597775891,2400,-1,0,0,0,0,0,68,69,10,0,70,140.86,0,-18,2,-996,-1,0,0,0,,,,,,,,
39,1782597775985,2494,-1,0,0,0,0,0,68,69,10,0,70,141.24,0,-19,2,-998,-1,0,0,0,,,,,,,,
40,1782597776079,2588,-1,0,0,0,0,0,68,69,10,0,70,140.95,0,-22,7,-998,-1,0,0,0,,,,,,,,
41,1782597776174,2683,-1,0,0,0,0,0,68,69,10,0,70,141.27,0,-19,0,-998,-1,0,0,0,,,,,,,,
42,1782597776268,2777,-1,0,0,0,0,0,68,69,10,0,70,140.95,0,-18,5,-997,-1,0,0,0,,,,,,,,
43,1782597776362,2871,-1,0,0,0,0,0,68,69,10,0,70,140.86,0,-20,3,-997,-1,0,0,0,,,,,,,,
44,1782597776457,2966,-1,0,0,0,0,0,68,69,10,0,70,140.61,0,-21,2,-999,-1,0,0,0,,,,,,,,
45,1782597776551,3060,-1,0,0,0,0,0,68,69,10,0,70,140.82,0,-20,4,-999,-1,0,0,0,,,,,,,,
46,1782597776598,3107,-1,0,0,0,0,0,68,69,10,0,70,141.29,0,-19,4,-999,-1,0,0,0,,,,,,,,
47,1782597776692,3201,-1,0,0,0,0,0,68,69,10,0,70,141.32,0,-19,1,-996,-1,0,0,0,,,,,,,,
48,1782597776787,3296,-1,0,0,0,0,0,67,69,10,0,70,141.04,0,-19,3,-1002,-1,0,0,0,,,,,,,,
49,1782597776881,3390,-1,0,0,0,0,0,67,69,10,0,70,141.09,0,-21,4,-999,-1,0,0,0,,,,,,,,
50,1782597776978,3487,-1,0,0,0,0,0,67,69,10,0,70,141.11,0,-21,3,-999,-1,0,0,0,,,,,,,,
51,1782597777070,3579,-1,0,0,0,0,0,67,69,10,0,70,141.05,0,-18,5,-1001,-1,0,0,0,,,,,,,,
52,1782597777164,3673,-1,0,0,0,0,0,67,69,10,0,70,141.04,0,-20,3,-999,-1,0,0,0,,,,,,,,
53,1782597777258,3767,-1,0,0,0,0,0,67,69,10,0,70,141.29,0,-21,3,-999,-1,0,0,0,,,,,,,,
54,1782597777353,3862,-1,0,0,0,0,0,67,69,10,0,70,140.9,0,-20,4,-999,-1,0,0,0,,,,,,,,
55,1782597777454,3963,-1,0,0,0,0,0,67,69,10,0,70,141.03,0,-21,3,-996,-1,0,0,0,,,,,,,,
56,1782597777648,4157,-1,0,0,0,0,0,67,69,10,0,70,141.16,0,-19,3,-999,-1,0,0,0,,,,,,,,
57,1782597777667,4176,-1,0,0,0,0,0,67,69,10,0,70,141.06,0,-19,6,-1000,-1,0,0,0,,,,,,,,
58,1782597777762,4271,-1,0,0,0,0,0,68,70,10,0,70,141.12,0,-19,4,-997,-1,0,0,0,,,,,,,,
59,1782597777861,4370,-1,0,0,0,0,0,68,70,10,0,70,140.97,0,-19,4,-998,-1,0,0,0,,,,,,,,
60,1782597777956,4465,-1,0,0,0,0,0,68,70,10,0,70,141.21,0,-19,4,-1001,-1,0,0,0,,,,,,,,
61,1782597778030,4539,-1,0,0,0,0,0,68,70,10,0,70,140.89,0,-20,1,-999,-1,0,0,0,,,,,,,,
62,1782597778082,4591,-1,0,0,0,0,0,68,70,10,0,70,140.86,0,-19,4,-998,-1,0,0,0,,,,,,,,
63,1782597778177,4686,-1,0,0,0,0,0,68,70,10,0,70,140.99,0,-20,4,-1000,-1,0,0,0,,,,,,,,
64,1782597778266,4775,-1,0,0,0,0,0,68,70,10,0,70,141.27,0,-21,4,-997,-1,0,0,0,,,,,,,,
65,1782597778378,4887,-1,0,0,0,0,0,68,70,10,0,70,141.16,0,-19,1,-1002,-1,0,0,0,,,,,,,,
66,1782597778460,4969,-1,0,0,0,0,0,68,70,10,0,70,141.13,0,-21,6,-998,-1,0,0,0,,,,,,,,
67,1782597778556,5065,-1,0,0,0,0,0,68,70,10,0,70,141.17,0,-18,3,-998,-1,0,0,0,,,,,,,,
68,1782597778651,5160,-1,0,0,0,0,0,67,69,10,0,70,140.99,0,-22,3,-998,-1,0,0,0,,,,,,,,
69,1782597778751,5260,-1,0,0,0,0,0,67,69,10,0,70,141.29,0,-25,2,-998,-1,0,0,0,,,,,,,,
70,1782597778845,5354,-1,0,0,0,0,0,67,69,10,0,70,141.29,0,-20,4,-997,-1,0,0,0,,,,,,,,
71,1782597778998,5507,-1,0,0,0,0,0,67,69,10,0,69,140.89,0,-21,2,-999,-1,0,0,0,,,,,,,,
