state_sequence,timestamp_ms,recording_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_sequence
116,1782522640167,0,0,0,-9,0,0,0,89,92,10,0,51,137.08,0,16,-1,-1001,-1,0,0,0,,,,,,,,
117,1782522640257,90,0,0,-9,0,0,0,89,92,10,0,51,136.78,0,18,-6,-1000,-1,0,0,0,,,,,,,,
118,1782522640355,188,0,0,-9,0,0,0,89,92,10,0,51,136.94,0,17,-6,-1001,-1,0,0,0,,,,,,,,
119,1782522640459,292,0,0,-9,0,0,0,89,92,10,0,51,137.08,0,15,-4,-1000,-1,0,0,0,,,,,,,,
120,1782522640549,382,0,0,-9,0,0,0,89,92,10,0,51,137.07,0,14,-4,-999,-1,0,0,0,,,,,,,,
121,1782522640649,482,0,0,-9,0,0,0,89,92,10,0,51,136.75,0,16,-3,-998,-1,0,0,0,,,,,,,,
122,1782522640749,582,0,0,-9,0,0,0,89,92,10,0,51,136.95,0,14,-6,-1000,-1,0,0,0,,,,,,,,
123,1782522640845,678,0,0,-9,0,0,0,89,92,10,0,51,136.88,0,17,-6,-1000,-1,0,0,0,,,,,,,,
124,1782522640945,778,0,0,-9,0,0,0,89,92,10,0,51,136.91,0,19,-6,-1000,-1,0,0,0,,,,,,,,
125,1782522641050,883,0,0,-9,0,0,0,89,92,10,0,51,137.23,0,18,-4,-1000,-1,0,0,0,,,,,,,,
126,1782522641143,976,0,0,-9,0,0,0,89,92,10,0,51,136.95,0,24,-3,-1003,-1,0,0,0,,,,,,,,
127,1782522641240,1073,0,0,-9,0,0,0,89,92,10,0,51,136.9,0,26,-9,-1002,-1,0,0,0,,,,,,,,
128,1782522641339,1172,0,0,-9,0,0,0,89,92,10,0,51,136.88,0,13,-4,-1001,-1,0,0,0,,,,,,,,
129,1782522641442,1275,0,0,-9,0,0,0,89,92,10,0,51,137.37,0,13,-4,-1004,-1,0,0,0,,,,,,,,
130,1782522641536,1369,0,0,-9,0,0,0,89,92,10,0,51,136.7,0,22,-8,-1009,-1,0,0,0,,,,,,,,
131,1782522641641,1474,0,0,-9,0,0,0,89,92,10,0,51,136.99,0,11,-6,-997,-1,0,0,0,,,,,,,,
132,1782522641738,1571,0,0,-9,0,0,0,89,92,10,0,51,136.72,0,17,-2,-996,-1,0,0,0,,,,,,,,
133,1782522641833,1666,0,0,-9,0,0,0,89,92,10,0,51,137.08,0,19,-5,-1006,-1,0,0,0,,,,,,,,
134,1782522641935,1768,0,0,-9,0,0,0,89,92,10,0,51,136.95,0,15,-6,-999,-1,0,0,0,,,,,,,,
135,1782522642029,1862,0,0,-9,0,0,0,89,92,10,0,51,136.9,0,16,-5,-1000,-1,0,0,0,,,,,,,,
136,1782522642128,1961,0,0,-9,0,0,0,89,92,10,0,51,136.95,0,14,-5,-998,-1,0,0,0,,,,,,,,
137,1782522642227,2060,0,0,-9,0,0,0,89,92,10,0,51,136.88,0,14,-7,-998,-1,0,0,0,,,,,,,,
138,1782522642331,2164,0,0,-9,0,0,0,89,92,10,0,51,136.99,0,17,-5,-1001,-1,0,0,0,,,,,,,,
139,1782522642425,2258,0,0,-9,0,0,0,89,92,10,0,51,136.65,0,14,-6,-999,-1,0,0,0,,,,,,,,
140,1782522642522,2355,0,0,-9,0,0,0,89,92,10,0,51,136.8,0,18,0,-1003,-1,0,0,0,,,,,,,,
141,1782522642622,2455,0,0,-9,0,0,0,89,92,10,0,51,136.92,0,19,-1,-1001,-1,0,0,0,,,,,,,,
142,1782522642719,2552,0,0,-9,0,0,0,89,92,10,0,51,137.17,0,13,-10,-1001,-1,0,0,0,,,,,,,,
143,1782522642820,2653,0,0,-9,0,0,0,89,92,10,0,51,137.01,0,16,-7,-998,-1,0,0,0,,,,,,,,
144,1782522642916,2749,0,0,-9,0,0,0,89,92,10,0,51,136.8,0,13,-2,-1000,-1,0,0,0,,,,,,,,
145,1782522643019,2852,0,0,-9,0,0,0,89,92,10,0,51,136.74,0,14,-3,-999,-1,0,0,0,,,,,,,,
146,1782522643114,2947,0,0,-9,0,0,0,89,91,10,0,51,136.73,0,16,-5,-1000,-1,0,0,0,,,,,,,,
