state_sequence,timestamp_ms,recording_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_sequence
2229,1782595798409,0,0,0,0,0,0,0,90,91,10,0,81,140.05,0,-17,8,-997,-1,0,0,0,,,,,,,,
2230,1782595798508,99,0,0,0,0,0,0,90,91,10,0,81,140.27,0,-21,8,-997,-1,0,0,0,,,,,,,,
2231,1782595798602,193,0,0,0,0,0,0,89,91,10,0,81,139.99,0,-14,5,-999,-1,0,0,0,,,,,,,,
2232,1782595798698,289,0,0,0,0,0,0,89,91,10,0,81,140.24,0,-16,10,-1002,-1,0,0,0,,,,,,,,
2233,1782595798795,386,0,0,0,0,0,0,89,91,10,0,81,140.15,0,-19,3,-1003,-1,0,0,0,,,,,,,,
2234,1782595798892,483,0,0,0,0,0,0,89,91,10,0,81,140.36,0,-17,5,-997,-1,0,0,0,,,,,,,,
2235,1782595798940,531,0,0,0,0,0,0,89,91,10,0,81,140.15,0,-17,13,-999,-1,0,0,0,,,,,,,,
2236,1782595799036,627,0,0,0,0,0,0,89,91,10,0,81,140.23,0,-18,2,-999,-1,0,0,0,,,,,,,,
2237,1782595799133,724,0,0,0,0,0,0,89,91,10,0,81,140.31,0,-17,5,-1002,-1,0,0,0,,,,,,,,
2238,1782595799229,820,0,0,0,0,0,0,89,91,10,0,81,140.38,0,-17,10,-999,-1,0,0,0,,,,,,,,
2239,1782595799326,917,0,0,0,0,0,0,89,91,10,0,81,140.3,0,-16,0,-998,-1,0,0,0,,,,,,,,
2240,1782595799423,1014,0,0,0,0,0,0,89,91,10,0,81,140.38,0,-16,10,-999,-1,0,0,0,,,,,,,,
2241,1782595799519,1110,0,0,0,0,0,0,89,91,10,0,81,140.11,0,-19,11,-1002,-1,0,0,0,,,,,,,,
2242,1782595799616,1207,0,0,0,0,0,0,89,91,10,0,81,140.23,0,-17,1,-1000,-1,0,0,0,,,,,,,,
2243,1782595799713,1304,0,0,0,0,0,0,89,91,10,0,81,140.37,0,-19,10,-1002,-1,0,0,0,,,,,,,,
2244,1782595799813,1404,0,0,0,0,0,0,89,91,10,0,81,140.18,0,-18,6,-1001,-1,0,0,0,,,,,,,,
2245,1782595799906,1497,0,0,0,0,0,0,89,91,10,0,81,140.1,0,-15,7,-1001,-1,0,0,0,,,,,,,,
2246,1782595800002,1593,0,0,0,0,0,0,89,91,10,0,81,140.15,0,-16,7,-1001,-1,0,0,0,,,,,,,,
2247,1782595800099,1690,0,0,0,0,0,0,89,91,10,0,81,140.16,0,-17,10,-1001,-1,0,0,0,,,,,,,,
2248,1782595800196,1787,0,0,0,0,0,0,89,91,10,0,81,140.5,0,-15,4,-999,-1,0,0,0,,,,,,,,
2249,1782595800292,1883,0,0,0,0,0,0,89,91,10,0,81,140.24,0,-17,6,-999,-1,0,0,0,,,,,,,,
2250,1782595800390,1981,0,0,0,0,0,0,89,91,10,0,81,140.42,0,-18,9,-998,-1,0,0,0,,,,,,,,
2251,1782595800487,2078,0,0,0,0,0,0,88,92,10,0,81,140.01,0,-19,9,-999,-1,0,0,0,,,,,,,,
2252,1782595800582,2173,0,0,0,0,0,0,88,92,10,0,81,140.22,0,-15,5,-1002,-1,0,0,0,,,,,,,,
2253,1782595800681,2272,0,0,0,0,0,0,88,92,10,0,81,140.12,0,-19,9,-996,-1,0,0,0,,,,,,,,
2254,1782595800777,2368,0,0,0,0,0,0,88,92,10,0,81,140.15,0,-18,7,-997,-1,0,0,0,,,,,,,,
2255,1782595800872,2463,0,0,0,0,0,0,88,92,10,0,81,140.25,0,-16,4,-1000,-1,0,0,0,,,,,,,,
2256,1782595800969,2560,0,0,0,0,0,0,88,92,10,0,81,140.14,0,-16,10,-999,-1,0,0,0,,,,,,,,
2257,1782595801065,2656,0,0,0,0,0,0,88,92,10,0,81,140.05,0,-16,2,-1000,-1,0,0,0,,,,,,,,
2258,1782595801164,2755,0,0,0,0,0,0,88,92,10,0,81,140.31,0,-15,8,-999,-1,0,0,0,,,,,,,,
2259,1782595801258,2849,0,0,0,0,0,0,88,92,10,0,81,140.09,0,-17,6,-999,-1,0,0,0,,,,,,,,
2260,1782595801356,2947,0,0,0,0,0,0,88,92,10,0,81,140.15,0,-15,7,-999,-1,0,0,0,,,,,,,,
2261,1782595801456,3047,0,0,0,0,0,0,89,91,10,0,81,140.18,0,-17,6,-1000,-1,0,0,0,,,,,,,,
2262,1782595801550,3141,0,0,0,0,0,0,89,91,10,0,81,139.89,0,-16,5,-1001,-1,0,0,0,,,,,,,,
2263,1782595801646,3237,0,0,0,0,0,0,89,91,10,0,81,140.25,0,-17,9,-998,-1,0,0,0,,,,,,,,
2264,1782595801744,3335,0,0,0,0,0,0,89,91,10,0,81,140.5,0,-19,7,-1002,-1,0,0,0,,,,,,,,
2265,1782595801838,3429,0,0,0,0,0,0,89,91,10,0,81,140.16,0,-16,9,-999,-1,0,0,0,,,,,,,,
2266,1782595801936,3527,0,0,0,0,0,0,89,91,10,0,81,140.19,0,-19,7,-1000,-1,0,0,0,,,,,,,,
2267,1782595802031,3622,0,0,0,0,0,0,89,91,10,0,81,140.12,0,-17,6,-999,-1,0,0,0,,,,,,,,
2268,1782595802128,3719,0,0,0,0,0,0,89,91,10,0,81,140.42,0,-15,10,-999,-1,0,0,0,,,,,,,,
2269,1782595802225,3816,0,0,0,0,0,0,89,91,10,0,81,140.05,0,-18,5,-1001,-1,0,0,0,,,,,,,,
2270,1782595802277,3868,0,0,0,0,0,0,89,91,10,0,81,139.92,0,-16,7,-1000,-1,0,0,0,,,,,,,,
2271,1782595802418,4009,0,0,0,0,0,0,90,92,10,0,81,140.64,0,-15,9,-1000,-1,0,0,0,,,,,,,,
2272,1782595802466,4057,0,0,0,0,0,0,90,92,10,0,81,140.11,0,-17,4,-1000,-1,0,0,0,,,,,,,,
2273,1782595802563,4154,0,0,0,0,0,0,90,92,10,0,81,140.09,0,-17,8,-1000,-1,0,0,0,,,,,,,,
2274,1782595802659,4250,0,0,0,0,0,0,90,92,10,0,81,139.86,0,-15,8,-997,-1,0,0,0,,,,,,,,
2275,1782595802756,4347,0,0,0,0,0,0,90,92,10,0,81,140.2,0,-18,8,-999,-1,0,0,0,,,,,,,,
2276,1782595802853,4444,0,0,0,0,0,0,90,92,10,0,81,140.2,0,-16,5,-1001,-1,0,0,0,,,,,,,,
2277,1782595802949,4540,0,0,0,0,0,0,90,92,10,0,81,139.98,0,-16,5,-1001,-1,0,0,0,,,,,,,,
2278,1782595803047,4638,0,0,0,0,0,0,90,92,10,0,81,140.2,0,-16,11,-1000,-1,0,0,0,,,,,,,,
2279,1782595803143,4734,0,0,0,0,0,0,90,92,10,0,81,140.33,0,-17,3,-999,-1,0,0,0,,,,,,,,
2280,1782595803240,4831,0,0,0,0,0,0,90,92,10,0,81,140.29,0,-16,9,-999,-1,0,0,0,,,,,,,,
2281,1782595803338,4929,0,0,0,0,0,0,89,92,10,0,81,140.17,0,-18,6,-999,-1,0,0,0,,,,,,,,
2282,1782595803435,5026,0,0,0,0,0,0,89,92,10,0,81,139.9,0,-17,7,-999,-1,0,0,0,,,,,,,,
2283,1782595803533,5124,0,0,0,0,0,0,89,92,10,0,81,140.17,0,-16,8,-1001,-1,0,0,0,,,,,,,,
2284,1782595803630,5221,0,0,0,0,0,0,89,92,10,0,81,139.83,0,-17,6,-999,-1,0,0,0,,,,,,,,
2285,1782595803726,5317,0,0,0,0,0,0,89,92,10,0,81,140.37,0,-15,6,-998,-1,0,0,0,,,,,,,,
2286,1782595803824,5415,0,0,0,0,0,0,89,92,10,0,81,140.38,0,-16,5,-1002,-1,0,0,0,,,,,,,,
2287,1782595803920,5511,0,0,0,0,0,0,89,92,10,0,81,140.12,0,-17,5,-1001,-1,0,0,0,,,,,,,,
2288,1782595804017,5608,0,0,0,0,0,0,89,92,10,0,81,140.12,0,-15,6,-997,-1,0,0,0,,,,,,,,
2289,1782595804109,5700,0,0,0,0,0,0,89,92,10,0,81,140.15,0,-15,7,-999,-1,0,0,0,,,,,,,,
2290,1782595804205,5796,0,0,0,0,0,0,89,92,10,0,81,140.18,0,-18,6,-1000,-1,0,0,0,,,,,,,,
2291,1782595804304,5895,0,0,0,0,0,0,89,92,10,0,81,140.32,0,-18,5,-997,-1,0,0,0,,,,,,,,
2292,1782595804399,5990,0,0,0,0,0,0,89,92,10,0,81,140.19,0,-13,10,-1000,-1,0,0,0,,,,,,,,
2293,1782595804498,6089,0,0,0,0,0,0,89,92,10,0,81,140.29,0,-16,0,-1001,-1,0,0,0,,,,,,,,
2294,1782595804592,6183,0,0,0,0,0,0,89,92,10,0,81,140.09,0,-13,11,-997,-1,0,0,0,,,,,,,,
2295,1782595804689,6280,0,0,0,0,0,0,89,92,10,0,81,139.97,0,-19,10,-1000,-1,0,0,0,,,,,,,,
2296,1782595804787,6378,0,0,0,0,0,0,89,92,10,0,81,140.18,0,-19,4,-1003,-1,0,0,0,,,,,,,,
2297,1782595804884,6475,0,0,0,0,0,0,89,92,10,0,81,140.14,0,-16,8,-998,-1,0,0,0,,,,,,,,
2298,1782595804978,6569,0,0,0,0,0,0,89,92,10,0,81,140.19,0,-21,10,-998,-1,0,0,0,,,,,,,,
2299,1782595805075,6666,0,0,0,0,0,0,89,92,10,0,81,140.35,0,-20,8,-1000,-1,0,0,0,,,,,,,,
2300,1782595805172,6763,0,0,0,0,0,0,89,92,10,0,81,139.74,0,-17,5,-999,-1,0,0,0,,,,,,,,
2301,1782595805268,6859,0,0,0,0,0,0,89,92,10,0,81,140.06,0,-17,9,-1000,-1,0,0,0,,,,,,,,
2302,1782595805365,6956,0,0,0,0,0,0,89,92,10,0,81,139.86,0,-15,8,-997,-1,0,0,0,,,,,,,,
2303,1782595805414,7005,0,0,0,0,0,0,89,92,10,0,81,140.32,0,-18,8,-1000,-1,0,0,0,,,,,,,,
2304,1782595805512,7103,0,0,0,0,0,0,89,92,10,0,81,140.21,0,-18,5,-1000,-1,0,0,0,,,,,,,,
2305,1782595805606,7197,0,0,0,0,0,0,89,92,10,0,81,140.03,0,-16,5,-1002,-1,0,0,0,,,,,,,,
2306,1782595805706,7297,0,0,0,0,0,0,89,92,10,0,81,139.75,0,-17,9,-999,-1,0,0,0,,,,,,,,
2307,1782595805800,7391,0,0,0,0,0,0,89,92,10,0,81,139.91,0,-16,4,-1000,-1,0,0,0,,,,,,,,
2308,1782595805897,7488,0,0,0,0,0,0,89,92,10,0,81,140.07,0,-17,7,-997,-1,0,0,0,,,,,,,,
2309,1782595805993,7584,0,0,0,0,0,0,89,92,10,0,81,140.04,0,-18,5,-997,-1,0,0,0,,,,,,,,
2310,1782595806090,7681,0,0,0,0,0,0,89,92,10,0,81,139.97,0,-13,6,-1001,-1,0,0,0,,,,,,,,
2311,1782595806188,7779,0,0,0,0,0,0,89,92,10,0,81,140.07,0,-15,7,-1000,-1,0,0,0,,,,,,,,
2312,1782595806283,7874,0,0,0,0,0,0,89,92,10,0,81,140.23,0,-16,4,-1001,-1,0,0,0,,,,,,,,
2313,1782595806379,7970,0,0,0,0,0,0,89,92,10,0,81,140.29,0,-17,7,-998,-1,0,0,0,,,,,,,,
2314,1782595806480,8071,0,0,0,0,0,0,89,92,10,0,81,140.13,0,-17,7,-999,-1,0,0,0,,,,,,,,
2315,1782595806573,8164,0,0,0,0,0,0,89,92,10,0,81,139.94,0,-18,5,-998,-1,0,0,0,,,,,,,,
2316,1782595806669,8260,0,0,0,0,0,0,89,92,10,0,81,140.1,0,-19,8,-1001,-1,0,0,0,,,,,,,,
2317,1782595806769,8360,0,0,0,0,0,0,89,92,10,0,81,140.28,0,-20,5,-997,-1,0,0,0,,,,,,,,
2318,1782595806862,8453,0,0,0,0,0,0,89,92,10,0,81,139.98,0,-18,7,-1001,-1,0,0,0,,,,,,,,
2319,1782595806959,8550,0,0,0,0,0,0,89,92,10,0,81,140.19,0,-18,7,-1000,-1,0,0,0,,,,,,,,
2320,1782595807056,8647,0,0,0,0,0,0,89,92,10,0,81,140.4,0,-15,6,-998,-1,0,0,0,,,,,,,,
2321,1782595807153,8744,0,0,0,0,0,0,90,91,10,0,81,140.15,0,-15,6,-1000,-1,0,0,0,,,,,,,,
2322,1782595807250,8841,0,0,0,0,0,0,90,91,10,0,81,140.55,0,-18,7,-997,-1,0,0,0,,,,,,,,
2323,1782595807350,8941,0,0,0,0,0,0,90,91,10,0,81,140.02,0,-13,5,-998,-1,0,0,0,,,,,,,,
2324,1782595807448,9039,0,0,0,0,0,0,90,91,10,0,81,140.35,0,-15,5,-1000,-1,0,0,0,,,,,,,,
2325,1782595807541,9132,0,0,0,0,0,0,90,91,10,0,81,139.82,0,-18,6,-1000,-1,0,0,0,,,,,,,,
2326,1782595807640,9231,0,0,0,0,0,0,90,91,10,0,81,140.18,0,-17,6,-998,-1,0,0,0,,,,,,,,
2327,1782595807735,9326,0,0,0,0,0,0,90,91,10,0,81,140.51,0,-18,5,-1002,-1,0,0,0,,,,,,,,
2328,1782595807833,9424,0,0,0,0,0,0,90,91,10,0,81,140.06,0,-16,4,-999,-1,0,0,0,,,,,,,,
2329,1782595807929,9520,0,0,0,0,0,0,90,91,10,0,81,140.32,0,-19,7,-996,-1,0,0,0,,,,,,,,
2330,1782595808029,9620,0,0,0,0,0,0,90,91,10,0,81,139.88,0,-18,8,-1000,-1,0,0,0,,,,,,,,
2331,1782595808123,9714,0,0,0,0,0,0,89,92,10,0,81,140.05,0,-17,3,-1002,-1,0,0,0,,,,,,,,
2332,1782595808223,9814,0,0,0,0,0,0,89,92,10,0,81,140.2,0,-16,6,-997,-1,0,0,0,,,,,,,,
2333,1782595808317,9908,0,0,0,0,0,0,89,92,10,0,81,139.96,0,-20,6,-999,-1,0,0,0,,,,,,,,
2334,1782595808368,9959,0,0,0,0,0,0,89,92,10,0,81,140.03,0,-15,9,-997,-1,0,0,0,,,,,,,,
2335,1782595808463,10054,0,0,0,0,0,0,89,92,10,0,81,140.02,0,-17,7,-1001,-1,0,0,0,,,,,,,,
2336,1782595808560,10151,0,0,0,0,0,0,89,92,10,0,81,140.32,0,-17,4,-1001,-1,0,0,0,,,,,,,,
2337,1782595808657,10248,0,0,0,0,0,0,89,92,10,0,81,139.98,0,-17,8,-998,-1,0,0,0,,,,,,,,
2338,1782595808754,10345,0,0,0,0,0,0,89,92,10,0,81,140.2,0,-16,7,-1002,-1,0,0,0,,,,,,,,
2339,1782595808851,10442,0,0,0,0,0,0,89,92,10,0,81,140.16,0,-17,3,-1001,-1,0,0,0,,,,,,,,
2340,1782595808950,10541,0,0,0,0,0,0,89,92,10,0,81,140.1,0,-20,11,-999,-1,0,0,0,,,,,,,,
2341,1782595809055,10646,0,0,0,0,0,0,90,92,10,0,81,140.1,0,-17,8,-1001,-1,0,0,0,,,,,,,,
2342,1782595809142,10733,0,0,0,0,0,0,90,92,10,0,81,140.03,0,-18,3,-998,-1,0,0,0,,,,,,,,
2343,1782595809239,10830,0,0,0,0,0,0,90,92,10,0,81,139.94,0,-16,12,-1002,-1,0,0,0,,,,,,,,
2344,1782595809336,10927,0,0,0,0,0,0,90,92,10,0,81,140.14,0,-16,2,-1001,-1,0,0,0,,,,,,,,
2345,1782595809435,11026,0,0,0,0,0,0,90,92,10,0,81,139.99,0,-16,7,-1000,-1,0,0,0,,,,,,,,
2346,1782595809531,11122,0,0,0,0,0,0,90,92,10,0,81,139.83,0,-17,9,-999,-1,0,0,0,,,,,,,,
2347,1782595809630,11221,0,0,0,0,0,0,90,92,10,0,81,140.28,0,-16,3,-999,-1,0,0,0,,,,,,,,
2348,1782595809724,11315,0,0,0,0,0,0,90,92,10,0,81,139.99,0,-17,6,-998,-1,0,0,0,,,,,,,,
2349,1782595809821,11412,0,0,0,0,0,0,90,92,10,0,81,139.94,0,-16,4,-1000,-1,0,0,0,,,,,,,,
2350,1782595809920,11511,0,0,0,0,0,0,90,92,10,0,81,140.12,0,-19,11,-999,-1,0,0,0,,,,,,,,
2351,1782595810016,11607,0,0,0,0,0,0,90,91,10,0,81,140.07,0,-15,6,-997,-1,0,0,0,,,,,,,,
2352,1782595810112,11703,0,0,0,0,0,0,90,91,10,0,81,139.93,0,-14,6,-1007,-1,0,0,0,,,,,,,,
2353,1782595810210,11801,0,0,0,0,0,0,90,91,10,0,81,139.89,0,-19,9,-995,-1,0,0,0,,,,,,,,
2354,1782595810308,11899,0,0,0,0,0,0,90,91,10,0,81,140.18,0,-14,5,-1000,-1,0,0,0,,,,,,,,
2355,1782595810405,11996,0,0,0,0,0,0,90,91,10,0,81,140.08,0,-15,7,-998,-1,0,0,0,,,,,,,,
2356,1782595810502,12093,0,0,0,0,0,0,90,91,10,0,81,140.07,0,-17,12,-996,-1,0,0,0,,,,,,,,
2357,1782595810600,12191,0,0,0,0,0,0,90,91,10,0,81,140.01,0,-13,4,-998,-1,0,0,0,,,,,,,,
2358,1782595810696,12287,0,0,0,0,0,0,90,91,10,0,81,140.24,0,-14,12,-1003,-1,0,0,0,,,,,,,,
2359,1782595810793,12384,0,0,0,0,0,0,90,91,10,0,81,139.97,0,-20,8,-1001,-1,0,0,0,,,,,,,,
2360,1782595810890,12481,0,0,0,0,0,0,90,91,10,0,81,140.06,0,-16,5,-997,-1,0,0,0,,,,,,,,
2361,1782595810987,12578,0,0,0,0,0,0,90,92,10,0,81,140.45,0,-18,6,-999,-1,0,0,0,,,,,,,,
2362,1782595811084,12675,0,0,0,0,0,0,90,92,10,0,81,140.14,0,-16,6,-998,-1,0,0,0,,,,,,,,
2363,1782595811181,12772,0,0,0,0,0,0,90,92,10,0,81,139.81,0,-16,7,-1001,-1,0,0,0,,,,,,,,
2364,1782595811280,12871,0,0,0,0,0,0,90,92,10,0,81,140.12,0,-17,6,-1002,-1,0,0,0,,,,,,,,
2365,1782595811375,12966,0,0,0,0,0,0,90,92,10,0,81,140.04,0,-17,8,-1000,-1,0,0,0,,,,,,,,
2366,1782595811472,13063,0,0,0,0,0,0,90,92,10,0,81,140.06,0,-15,6,-999,-1,0,0,0,,,,,,,,
2367,1782595811521,13112,0,0,0,0,0,0,90,92,10,0,81,140.06,0,-16,8,-1001,-1,0,0,0,,,,,,,,
2368,1782595811618,13209,0,0,0,0,0,0,90,92,10,0,81,140.1,0,-16,5,-999,-1,0,0,0,,,,,,,,
2369,1782595811715,13306,0,0,0,0,0,0,90,92,10,0,81,140.07,0,-14,9,-1001,-1,0,0,0,,,,,,,,
2370,1782595811812,13403,0,0,0,0,0,0,90,92,10,0,81,140.14,0,-18,5,-1000,-1,0,0,0,,,,,,,,
2371,1782595813679,15270,0,0,0,0,0,0,90,92,10,0,81,139.84,0,-17,7,-1001,-1,0,0,0,,,,,,,,
2372,1782595813774,15365,0,0,0,0,0,0,90,92,10,0,81,140.15,0,-18,6,-999,-1,0,0,0,,,,,,,,
2373,1782595813871,15462,0,0,0,0,0,0,90,92,10,0,81,140.15,0,-16,6,-1000,-1,0,0,0,,,,,,,,
2374,1782595813968,15559,0,0,0,0,0,0,90,92,10,0,81,140.19,0,-17,8,-998,-1,0,0,0,,,,,,,,
2375,1782595814065,15656,0,0,0,0,0,0,90,92,10,0,81,140.23,0,-16,7,-1001,-1,0,0,0,,,,,,,,
2376,1782595814167,15758,0,0,0,0,0,0,90,92,10,0,81,140.13,0,-17,2,-1002,-1,0,0,0,,,,,,,,
2377,1782595814264,15855,0,0,0,0,0,0,90,92,10,0,81,140.48,0,-17,7,-998,-1,0,0,0,,,,,,,,
2378,1782595814356,15947,0,0,0,0,0,0,90,92,10,0,81,140.3,0,-17,8,-1001,-1,0,0,0,,,,,,,,
2379,1782595814453,16044,0,0,0,0,0,0,90,92,10,0,81,140.24,0,-16,7,-999,-1,0,0,0,,,,,,,,
2380,1782595814551,16142,0,0,0,0,0,0,90,92,10,0,81,139.92,0,-17,6,-999,-1,0,0,0,,,,,,,,
2381,1782595814649,16240,0,0,0,0,0,0,90,92,10,0,81,140.18,0,-18,8,-1000,-1,0,0,0,,,,,,,,
2382,1782595814744,16335,0,0,0,0,0,0,90,92,10,0,81,140.19,0,-16,7,-999,-1,0,0,0,,,,,,,,
2383,1782595814841,16432,0,0,0,0,0,0,90,92,10,0,81,140.25,0,-17,6,-1000,-1,0,0,0,,,,,,,,
2384,1782595814938,16529,0,0,0,0,0,0,90,92,10,0,81,139.99,0,-17,6,-999,-1,0,0,0,,,,,,,,
2385,1782595815035,16626,0,0,0,0,0,0,90,92,10,0,81,140.03,0,-13,5,-999,-1,0,0,0,,,,,,,,
2386,1782595815132,16723,0,0,0,0,0,0,90,92,10,0,81,140.1,0,-19,9,-1000,-1,0,0,0,,,,,,,,
2387,1782595815229,16820,0,0,0,0,0,0,90,92,10,0,81,140.07,0,-16,-6,-999,-1,0,0,0,,,,,,,,
2388,1782595815326,16917,0,0,0,0,0,0,90,92,10,0,81,139.87,0,-15,14,-1001,-1,0,0,0,,,,,,,,
2389,1782595815423,17014,0,0,0,0,0,0,90,92,10,0,81,140.1,0,-16,8,-997,-1,0,0,0,,,,,,,,
2390,1782595815520,17111,0,0,0,0,0,0,90,92,10,0,81,140.03,0,-15,3,-1000,-1,0,0,0,,,,,,,,
2391,1782595815618,17209,0,0,0,0,0,0,89,92,10,0,81,140.13,0,-17,8,-998,-1,0,0,0,,,,,,,,
2392,1782595815718,17309,0,0,0,0,0,0,89,92,10,0,81,139.96,0,-18,7,-998,-1,0,0,0,,,,,,,,
2393,1782595815812,17403,0,0,0,0,0,0,89,92,10,0,81,140.3,0,-19,4,-998,-1,0,0,0,,,,,,,,
2394,1782595815909,17500,0,0,0,0,0,0,89,92,10,0,81,139.92,0,-20,10,-999,-1,0,0,0,,,,,,,,
2395,1782595816006,17597,0,0,0,0,0,0,89,92,10,0,81,139.89,0,-18,6,-1002,-1,0,0,0,,,,,,,,
2396,1782595816103,17694,0,0,0,0,0,0,89,92,10,0,81,140.12,0,-16,13,-999,-1,0,0,0,,,,,,,,
2397,1782595816200,17791,0,0,0,0,0,0,89,92,10,0,81,140.01,0,-17,2,-999,-1,0,0,0,,,,,,,,
2398,1782595816301,17892,0,0,0,0,0,0,89,92,10,0,81,140.01,0,-18,11,-1000,-1,0,0,0,,,,,,,,
2399,1782595816397,17988,0,0,0,0,0,0,89,92,10,0,81,140.36,0,-17,7,-993,-1,0,0,0,,,,,,,,
2400,1782595816491,18082,0,0,0,0,0,0,89,92,10,0,81,140.11,0,-17,6,-1004,-1,0,0,0,,,,,,,,
2401,1782595816588,18179,0,0,0,0,0,0,90,92,10,0,81,140.11,0,-19,7,-999,-1,0,0,0,,,,,,,,
2402,1782595816685,18276,0,0,0,0,0,0,90,92,10,0,81,139.84,0,-15,5,-998,-1,0,0,0,,,,,,,,
2403,1782595816734,18325,0,0,0,0,0,0,90,92,10,0,81,140.16,0,-18,9,-998,-1,0,0,0,,,,,,,,
2404,1782595816830,18421,0,0,0,0,0,0,90,92,10,0,81,140.34,0,-16,2,-997,-1,0,0,0,,,,,,,,
2405,1782595816927,18518,0,0,0,0,0,0,90,92,10,0,81,140.2,0,-17,9,-999,-1,0,0,0,,,,,,,,
2406,1782595817023,18614,0,0,0,0,0,0,90,92,10,0,81,140.22,0,-17,8,-999,-1,0,0,0,,,,,,,,
2407,1782595817120,18711,0,0,0,0,0,0,90,92,10,0,81,140.02,0,-16,6,-1000,-1,0,0,0,,,,,,,,
2408,1782595817216,18807,0,0,0,0,0,0,90,92,10,0,81,140.26,0,-17,7,-998,-1,0,0,0,,,,,,,,
2409,1782595817313,18904,0,0,0,0,0,0,90,92,10,0,81,140.02,0,-17,8,-999,-1,0,0,0,,,,,,,,
2410,1782595817409,19000,0,0,0,0,0,0,90,92,10,0,81,139.86,0,-16,3,-999,-1,0,0,0,,,,,,,,
2411,1782595817506,19097,0,0,0,0,0,0,90,92,10,0,81,140.09,0,-16,10,-998,-1,0,0,0,,,,,,,,
2412,1782595817602,19193,0,0,0,0,0,0,90,92,10,0,81,140.16,0,-14,3,-998,-1,0,0,0,,,,,,,,
2413,1782595817699,19290,0,0,0,0,0,0,90,92,10,0,81,140,0,-16,7,-1000,-1,0,0,0,,,,,,,,
2414,1782595817795,19386,0,0,0,0,0,0,90,92,10,0,81,140.2,0,-17,9,-1001,-1,0,0,0,,,,,,,,
2415,1782595817892,19483,0,0,0,0,0,0,90,92,10,0,81,140.01,0,-13,5,-1001,-1,0,0,0,,,,,,,,
2416,1782595817992,19583,0,0,0,0,0,0,90,92,10,0,81,139.75,0,-17,7,-999,-1,0,0,0,,,,,,,,
2417,1782595818085,19676,0,0,0,0,0,0,90,92,10,0,81,139.97,0,-16,6,-1001,-1,0,0,0,,,,,,,,
2418,1782595818181,19772,0,0,0,0,0,0,90,92,10,0,81,140.16,0,-18,6,-1001,-1,0,0,0,,,,,,,,
2419,1782595818277,19868,0,0,0,0,0,0,90,92,10,0,81,139.99,0,-19,6,-1001,-1,0,0,0,,,,,,,,
2420,1782595818374,19965,0,0,0,0,0,0,90,92,10,0,81,140.05,0,-16,6,-999,-1,0,0,0,,,,,,,,
2421,1782595818471,20062,0,0,0,0,0,0,90,92,10,0,81,140.18,0,-20,5,-999,-1,0,0,0,,,,,,,,
2422,1782595818570,20161,0,0,0,0,0,0,90,92,10,0,81,139.97,0,-19,8,-999,-1,0,0,0,,,,,,,,
2423,1782595818664,20255,0,0,0,0,0,0,90,92,10,0,81,140.05,0,-15,4,-999,-1,0,0,0,,,,,,,,
2424,1782595818761,20352,0,0,0,0,0,0,90,92,10,0,81,140.1,0,-14,2,-1000,-1,0,0,0,,,,,,,,
2425,1782595818856,20447,0,0,0,0,0,0,90,92,10,0,81,140.12,0,-15,11,-1002,-1,0,0,0,,,,,,,,
2426,1782595818953,20544,0,0,0,0,0,0,90,92,10,0,81,140.17,0,-16,7,-998,-1,0,0,0,,,,,,,,
2427,1782595819050,20641,0,0,0,0,0,0,90,92,10,0,81,139.96,0,-17,1,-997,-1,0,0,0,,,,,,,,
2428,1782595819146,20737,0,0,0,0,0,0,90,92,10,0,81,140.11,0,-16,10,-1002,-1,0,0,0,,,,,,,,
2429,1782595819242,20833,0,0,0,0,0,0,90,92,10,0,81,139.77,0,-18,6,-998,-1,0,0,0,,,,,,,,
2430,1782595819339,20930,0,0,0,0,0,0,90,92,10,0,81,139.97,0,-18,7,-1002,-1,0,0,0,,,,,,,,
2431,1782595819437,21028,0,0,0,0,0,0,90,92,10,0,81,139.98,0,-17,8,-998,-1,0,0,0,,,,,,,,
2432,1782595819532,21123,0,0,0,0,0,0,90,92,10,0,81,139.93,0,-17,3,-999,-1,0,0,0,,,,,,,,
2433,1782595819629,21220,0,0,0,0,0,0,90,92,10,0,81,139.73,0,-18,9,-1000,-1,0,0,0,,,,,,,,
2434,1782595819725,21316,0,0,0,0,0,0,90,92,10,0,81,140.02,0,-21,8,-1002,-1,0,0,0,,,,,,,,
2435,1782595819822,21413,0,0,0,0,0,0,90,92,10,0,81,140.16,0,-16,5,-998,-1,0,0,0,,,,,,,,
2436,1782595819870,21461,0,0,0,0,0,0,90,92,10,0,81,139.93,0,-13,7,-1001,-1,0,0,0,,,,,,,,
2437,1782595819966,21557,0,0,0,0,0,0,90,92,10,0,81,140.11,0,-17,8,-1002,-1,0,0,0,,,,,,,,
2438,1782595820063,21654,0,0,0,0,0,0,90,92,10,0,81,140.07,0,-16,4,-1000,-1,0,0,0,,,,,,,,
