state_sequence,timestamp_ms,recording_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_sequence
141,1782523368203,0,0,0,0,0,0,0,73,75,10,0,46,136.42,0,13,-5,-998,-1,0,0,0,,,,,,,,
142,1782523368301,98,0,0,0,0,0,0,73,75,10,0,46,136.2,0,12,-3,-1001,-1,0,0,0,,,,,,,,
143,1782523368356,153,0,0,0,0,0,0,73,75,10,0,46,136.23,0,13,-5,-997,-1,0,0,0,,,,,,,,
144,1782523368450,247,0,0,0,0,0,0,73,75,10,0,46,136.17,0,13,-6,-1001,-1,0,0,0,,,,,,,,
145,1782523368547,344,0,0,0,0,0,0,73,75,10,0,46,136.6,0,12,-5,-1000,-1,0,0,0,,,,,,,,
146,1782523368646,443,0,0,0,0,0,0,73,75,10,0,46,136.37,0,14,-6,-998,-1,0,0,0,,,,,,,,
147,1782523368744,541,0,0,0,0,0,0,73,75,10,0,46,136.22,0,10,-5,-998,-1,0,0,0,,,,,,,,
148,1782523368843,640,0,0,0,0,0,0,73,75,10,0,46,136.37,0,13,-5,-999,-1,0,0,0,,,,,,,,
149,1782523368941,738,0,0,0,0,0,0,73,75,10,0,46,136.22,0,11,-5,-997,-1,0,0,0,,,,,,,,
150,1782523369039,836,0,0,0,0,0,0,74,76,10,0,46,136.11,0,13,-6,-1000,-1,0,0,0,,,,,,,,
151,1782523369139,936,0,0,0,0,0,0,74,76,10,0,46,136.39,0,13,-6,-999,-1,0,0,0,,,,,,,,
152,1782523369236,1033,0,0,0,0,0,0,74,76,10,0,46,136.18,0,12,-5,-999,-1,0,0,0,,,,,,,,
153,1782523369335,1132,0,0,0,0,0,0,74,76,10,0,46,136.48,0,9,-5,-998,-1,0,0,0,,,,,,,,
154,1782523369433,1230,0,0,0,0,0,0,74,76,10,0,46,136.49,0,11,-6,-999,-1,0,0,0,,,,,,,,
155,1782523369532,1329,0,0,0,0,0,0,74,76,10,0,46,136.21,0,12,-4,-1000,-1,0,0,0,,,,,,,,
156,1782523369631,1428,0,0,0,0,0,0,74,76,10,0,46,136.46,0,12,-7,-1001,-1,0,0,0,,,,,,,,
157,1782523369729,1526,0,0,0,0,0,0,74,76,10,0,46,136.35,0,12,-7,-1000,-1,0,0,0,,,,,,,,
158,1782523369827,1624,0,0,0,0,0,0,74,76,10,0,46,136.11,0,14,-6,-1000,-1,0,0,0,,,,,,,,
159,1782523369926,1723,0,0,0,0,0,0,74,76,10,0,46,136.39,0,14,-5,-1000,-1,0,0,0,,,,,,,,
160,1782523370024,1821,0,0,0,0,0,0,73,75,10,0,46,136.16,0,14,-4,-999,-1,0,0,0,,,,,,,,
161,1782523370123,1920,0,0,0,0,0,0,73,75,10,0,46,136.33,0,13,-5,-999,-1,0,0,0,,,,,,,,
162,1782523370222,2019,0,0,0,0,0,0,73,75,10,0,46,136.43,0,13,-7,-1000,-1,0,0,0,,,,,,,,
163,1782523370320,2117,0,0,0,0,0,0,73,75,10,0,46,136.26,0,13,-5,-1001,-1,0,0,0,,,,,,,,
164,1782523370418,2215,0,0,0,0,0,0,73,75,10,0,46,136.38,0,13,-6,-999,-1,0,0,0,,,,,,,,
165,1782523370516,2313,0,0,0,0,0,0,73,75,10,0,46,136.42,0,14,-5,-999,-1,0,0,0,,,,,,,,
166,1782523370615,2412,0,0,0,0,0,0,73,75,10,0,46,136.31,0,13,-6,-997,-1,0,0,0,,,,,,,,
167,1782523370713,2510,0,0,0,0,0,0,73,75,10,0,46,136.76,0,13,-5,-999,-1,0,0,0,,,,,,,,
168,1782523370762,2559,0,0,0,0,0,0,73,75,10,0,46,136.34,0,11,-5,-1000,-1,0,0,0,,,,,,,,
169,1782523370865,2662,0,0,0,0,0,0,73,75,10,0,46,136.08,0,13,-6,-999,-1,0,0,0,,,,,,,,
170,1782523370959,2756,0,0,0,0,0,0,74,77,10,0,46,136.35,0,11,-4,-998,-1,0,0,0,,,,,,,,
171,1782523371058,2855,0,0,0,0,0,0,74,77,10,0,46,136.27,0,13,-7,-1000,-1,0,0,0,,,,,,,,
172,1782523371157,2954,0,0,0,0,0,0,74,77,10,0,46,136.34,0,14,-6,-998,-1,0,0,0,,,,,,,,
173,1782523371255,3052,0,0,0,0,0,0,74,77,10,0,46,136.19,0,13,-3,-1000,-1,0,0,0,,,,,,,,
174,1782523371356,3153,0,0,0,0,0,0,74,77,10,0,46,136.22,0,9,-3,-1000,-1,0,0,0,,,,,,,,
175,1782523371453,3250,0,0,0,0,0,0,74,77,10,0,46,136.7,0,11,-3,-998,-1,0,0,0,,,,,,,,
176,1782523371551,3348,0,0,0,0,0,0,74,77,10,0,46,136.25,0,14,-7,-999,-1,0,0,0,,,,,,,,
177,1782523371649,3446,0,0,0,0,0,0,74,77,10,0,46,136.35,0,12,-9,-1000,-1,0,0,0,,,,,,,,
178,1782523371749,3546,0,0,0,0,0,0,74,77,10,0,46,136.42,0,12,-5,-999,-1,0,0,0,,,,,,,,
179,1782523371847,3644,0,0,0,0,0,0,74,77,10,0,46,136.36,0,14,-5,-1001,-1,0,0,0,,,,,,,,
