state_sequence,timestamp_ms,recording_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_sequence
199,1782522414270,0,0,0,3,0,0,0,77,80,10,0,55,137.67,0,15,-6,-999,-1,0,0,0,,,,,,,,
200,1782522414327,57,0,0,3,0,0,0,77,80,10,0,55,137.82,0,15,-8,-1000,-1,0,0,0,,,,,,,,
201,1782522414411,141,0,0,3,0,0,0,77,80,10,0,55,137.65,0,13,-10,-998,-1,0,0,0,,,,,,,,
202,1782522414503,233,0,0,3,0,0,0,77,80,10,0,55,137.84,0,16,-8,-998,-1,0,0,0,,,,,,,,
203,1782522414638,368,0,0,3,0,0,0,77,80,10,0,55,137.54,0,12,-10,-999,-1,0,0,0,,,,,,,,
204,1782522414702,432,0,0,3,0,0,0,77,80,10,0,55,137.9,0,12,-9,-999,-1,0,0,0,,,,,,,,
205,1782522414799,529,0,0,3,0,0,0,77,80,10,0,55,138.14,0,15,-9,-996,-1,0,0,0,,,,,,,,
206,1782522414945,675,0,0,3,0,0,0,77,80,10,0,55,137.6,0,12,-5,-1000,-1,0,0,0,,,,,,,,
207,1782522415034,764,0,0,3,0,0,0,77,80,10,0,55,137.86,0,13,-7,-999,-1,0,0,0,,,,,,,,
208,1782522415150,880,0,0,3,0,0,0,77,80,10,0,55,137.75,0,10,-4,-995,-1,0,0,0,,,,,,,,
209,1782522415257,987,0,0,3,0,0,0,77,80,10,0,55,137.81,0,14,-7,-1001,-1,0,0,0,,,,,,,,
210,1782522415300,1030,0,0,3,0,0,0,77,80,10,0,55,137.57,0,21,-10,-1003,-1,0,0,0,,,,,,,,
211,1782522415430,1160,0,0,3,0,0,0,77,80,10,0,55,137.62,0,17,-12,-1001,-1,0,0,0,,,,,,,,
212,1782522415500,1230,0,0,3,0,0,0,77,80,10,0,55,137.89,0,13,-10,-999,-1,0,0,0,,,,,,,,
213,1782522415585,1315,0,0,3,0,0,0,77,80,10,0,55,137.89,0,8,-8,-996,-1,0,0,0,,,,,,,,
214,1782522415685,1415,0,0,3,0,0,0,77,80,10,0,55,137.54,0,13,-6,-1000,-1,0,0,0,,,,,,,,
215,1782522415790,1520,0,0,3,0,0,0,77,80,10,0,55,137.79,0,12,-6,-1000,-1,0,0,0,,,,,,,,
216,1782522415898,1628,0,0,3,0,0,0,76,80,10,0,55,137.72,0,13,-8,-1000,-1,0,0,0,,,,,,,,
217,1782522415997,1727,0,0,3,0,0,0,76,80,10,0,55,137.41,0,10,-10,-998,-1,0,0,0,,,,,,,,
218,1782522416123,1853,0,0,3,0,0,0,76,80,10,0,55,137.96,0,10,-7,-999,-1,0,0,0,,,,,,,,
