state_sequence,timestamp_ms,recording_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_sequence
70,1782523461727,0,0,0,-3,0,0,0,85,87,10,0,42,136.11,0,14,-4,-999,-1,0,0,0,,,,,,,,
71,1782523461826,99,0,0,-3,0,0,0,85,87,10,0,42,136.01,0,14,-2,-995,-1,0,0,0,,,,,,,,
72,1782523461923,196,0,0,-3,0,0,0,85,87,10,0,42,136.22,0,17,-4,-1000,-1,0,0,0,,,,,,,,
73,1782523462024,297,0,0,-3,0,0,0,85,87,10,0,42,136.17,0,17,-2,-999,-1,0,0,0,,,,,,,,
74,1782523462121,394,0,0,-3,0,0,0,85,87,10,0,42,136.07,0,15,-3,-1002,-1,0,0,0,,,,,,,,
75,1782523462220,493,0,0,-3,0,0,0,85,87,10,0,42,136.17,0,27,-1,-984,-1,0,0,0,,,,,,,,
76,1782523462318,591,0,0,-3,0,0,0,85,87,10,0,42,136.29,0,38,-16,-1009,-1,0,0,0,,,,,,,,
77,1782523462417,690,0,0,-3,0,0,0,85,87,10,0,42,136.49,0,40,-10,-1010,-1,0,0,0,,,,,,,,
78,1782523462515,788,0,0,-3,0,0,0,85,87,10,0,42,136.3,0,23,0,-999,-1,0,0,0,,,,,,,,
79,1782523462619,892,0,0,-3,0,0,0,85,87,10,0,42,136.2,0,13,3,-1002,-1,0,0,0,,,,,,,,
80,1782523462713,986,0,0,-3,0,0,0,85,88,10,0,42,136.23,0,12,-2,-998,-1,0,0,0,,,,,,,,
81,1782523462815,1088,0,0,-3,0,0,0,85,88,10,0,42,136.24,0,16,-7,-998,-1,0,0,0,,,,,,,,
82,1782523462910,1183,0,0,-3,0,0,0,85,88,10,0,42,136.18,0,10,-16,-995,-1,0,0,0,,,,,,,,
83,1782523463008,1281,0,0,-3,0,0,0,85,88,10,0,42,136.48,0,8,-16,-997,-1,0,0,0,,,,,,,,
84,1782523463107,1380,0,0,-3,0,0,0,85,88,10,0,42,136.54,0,11,5,-1000,-1,0,0,0,,,,,,,,
85,1782523463205,1478,0,0,-3,0,0,0,85,88,10,0,42,136.5,0,17,11,-1004,-1,0,0,0,,,,,,,,
86,1782523463304,1577,0,0,-3,0,0,0,85,88,10,0,42,136.32,0,15,-2,-1001,-1,0,0,0,,,,,,,,
87,1782523463403,1676,0,0,-3,0,0,0,85,88,10,0,42,136.22,0,10,-15,-995,-1,0,0,0,,,,,,,,
