test_id,scenario,notes,run_mode,elapsed_ms,attempt,command_samples,command_successes,command_failures,command_latency_ms_avg,command_latency_ms_min,command_latency_ms_max,last_command,last_response,last_command_result,command_source,command_executor_last_error,command_executor_attempt_log,telemetry_packets_total,telemetry_packets_valid,telemetry_packets_invalid,telemetry_timeouts,telemetry_errors,telemetry_hz_instant,telemetry_hz_ema,telemetry_age_ms,telemetry_interarrival_ms,telemetry_max_interarrival_ms,telemetry_last_gap_ms,telemetry_last_gap_sequence,telemetry_gap_events_300ms,telemetry_gap_events_500ms,telemetry_gap_events_1000ms,telemetry_state_available,telemetry_h,telemetry_tof,telemetry_baro,telemetry_vgz,telemetry_bat,video_packets_total,video_bytes_total,video_timeouts,video_errors,video_pps_instant,video_pps_ema,video_age_ms,video_packet_delta,video_interarrival_ms,video_max_interarrival_ms,video_last_gap_ms,video_last_gap_sequence,video_gap_events_300ms,video_gap_events_500ms,video_gap_events_1000ms,nal_packets_in,nal_bytes_in,nal_units,nal_sps,nal_pps,nal_idr,nal_non_idr,nal_other,nal_decode_gated,nal_resyncs,nal_buffered_bytes,decoder_nals_in,decoder_packets_sent,decoder_frames_decoded,decoder_errors,decoder_fps_ema,frame_width,frame_height,keyframes,paused,overlay_enabled,recovery_attempted,recovery_result,recovery_hard,recovery_stage,recovery_command_channel_available,event,connection_state,last_outage_failures,plot_metric,state_sequence_delta,state_receiver_running,rc_stream_active,rc_left_right,rc_forward_back,rc_up_down,rc_yaw,keepalive_running,auto_refresh_active,critical_command_active,pause_keepalive_ms,neutral_rc_ms,critical_command_ms,gui_vision_tick_delay_ms,gui_state_tick_delay_ms,vision_refresh_duration_ms,state_refresh_duration_ms,frame_convert_ms,frame_scale_ms,plot_paint_ms,vision_frame_mutex_wait_ms,state_history_fetch_ms,ui_frames_converted,ui_frames_dropped,ui_frames_displayed,plot_samples_displayed
,gui,,CONTROL_PANEL,13055,1,1,1,0,5,5,5,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,499,499,0,0,0,11.286,10.627,0,88,152,0,0,0,0,0,1,0,10,135.38,0,33,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,command:vision,CONNECTED,0,pitch,135,1,0,0,0,0,0,1,0,0,0,0,0,125,249,0,0,0,0,0,0,0,0,0,0,300
,gui,,CONTROL_PANEL,13120,2,1,1,0,5,5,5,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,499,499,0,0,0,11.286,10.627,64,88,152,0,0,0,0,0,1,0,10,135.38,0,33,12,14158,0,0,2648.63,2389.76,14,12,0,12,0,0,0,0,0,12,14158,3,0,0,0,0,0,0,0,3917,2,0,0,2,0,0,0,0,0,1,0,OK,0,,0,vision,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,124,249,0,0,0,0,0,0,0,0,0,0,300
,gui,,CONTROL_PANEL,14245,3,1,1,0,5,5,5,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,511,511,0,0,0,10.3877,10.2668,7,96,152,0,0,0,0,0,1,0,10,135,0,33,275,368811,0,0,39.787,5358.02,1,263,25,37,0,0,0,0,0,275,368811,40,0,0,0,0,0,0,0,1460,39,35,35,4,35.3418,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,pitch,12,1,0,0,0,0,0,1,0,0,0,0,0,125,249,2,0,2,1,0,0,0,10,25,8,300
,gui,,CONTROL_PANEL,15370,4,1,1,0,5,5,5,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,522,522,0,0,0,10.8161,10.3597,52,92,152,0,0,0,0,0,1,0,10,135.06,0,33,548,737231,0,0,45.1715,3895.95,0,273,22,41,0,0,0,0,0,548,737231,77,0,0,0,0,0,0,0,1460,76,70,70,6,31.548,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,pitch,11,1,0,0,0,0,0,1,0,0,0,0,0,125,250,1,0,2,0,0,0,0,20,50,17,300
,gui,,CONTROL_PANEL,16494,5,1,1,0,5,5,5,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,534,534,0,0,0,10.1667,10.8213,41,98,152,0,0,0,0,0,1,0,10,135.14,0,33,819,1103372,0,0,2182.42,3947.52,13,271,0,41,0,0,0,0,0,819,1103372,113,0,0,0,0,0,0,0,11187,112,104,104,8,31.975,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,pitch,12,1,0,0,0,0,0,1,0,0,0,0,0,124,249,1,0,2,0,0,0,0,29,75,25,300
,gui,,CONTROL_PANEL,17495,6,1,1,0,5,5,5,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,544,544,0,0,0,9.47384,10.3714,48,105,152,0,0,0,0,0,1,0,10,135.08,0,32,1061,1428587,0,0,44.2863,13988.4,1,242,22,51,0,0,0,0,0,1061,1428587,147,0,0,0,0,0,0,0,1460,146,136,136,10,33.3901,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,pitch,10,1,0,0,0,0,0,1,0,0,0,0,0,125,249,1,0,2,0,0,0,0,37,99,33,300
,gui,,CONTROL_PANEL,18620,7,1,1,0,5,5,5,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,556,556,0,0,0,9.79113,11.5234,6,102,152,0,0,0,0,0,1,0,10,135.2,0,32,1325,1781239,0,0,5934.68,6951.19,10,264,0,53,0,0,0,0,0,1325,1781239,182,0,0,0,0,0,0,0,10239,181,169,169,12,29.6143,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,pitch,12,1,0,0,0,0,0,1,0,0,0,0,0,125,250,6,0,2,1,0,0,0,46,123,42,300
,gui,,CONTROL_PANEL,19744,8,1,1,0,5,5,5,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,567,567,0,0,0,11.1937,10.0659,6,89,152,0,0,0,0,0,1,0,10,135.05,0,32,1591,2135520,0,0,3549.89,8858.63,9,266,0,53,0,0,0,0,0,1591,2135520,218,0,0,0,0,0,0,0,10482,217,203,203,14,30.3012,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,pitch,11,1,0,0,0,0,0,1,0,0,0,0,0,124,249,2,0,2,1,0,0,0,56,147,51,300
,gui,,CONTROL_PANEL,20744,9,1,1,0,5,5,5,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,576,576,0,0,0,9.96201,9.87932,85,100,152,0,0,0,0,0,1,0,10,135.25,0,32,1823,2447949,0,0,5504.46,10026.6,8,232,0,53,0,0,0,0,0,1823,2447949,250,0,0,0,0,0,0,0,10314,249,233,233,16,31.9954,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,pitch,9,1,0,0,0,0,0,1,0,0,0,0,0,124,250,2,0,2,1,0,0,0,64,169,59,300
,gui,,CONTROL_PANEL,21870,10,1,1,0,5,5,5,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,588,588,0,0,0,20.6058,12.322,47,48,152,0,0,0,0,0,1,0,10,135.45,0,32,2088,2802495,0,0,2757.16,8733.27,9,265,0,53,0,0,0,0,0,2088,2802495,286,0,0,0,0,0,0,0,10797,285,267,267,18,31.8169,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,pitch,12,1,0,0,0,0,0,1,0,0,0,0,0,125,249,1,0,2,0,0,0,0,74,193,68,300
