state_sequence,timestamp_ms,recording_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_sequence
475,1782524119796,0,0,0,0,0,0,0,80,82,10,0,33,135.01,0,14,-5,-999,-1,0,0,0,,,,,,,,
476,1782524119894,98,0,0,0,0,0,0,80,82,10,0,33,135.11,0,12,-4,-1000,-1,0,0,0,,,,,,,,
477,1782524119992,196,0,0,0,0,0,0,80,82,10,0,33,135.04,0,15,-5,-999,-1,0,0,0,,,,,,,,
478,1782524120095,299,0,0,0,0,0,0,80,82,10,0,33,134.93,0,16,-5,-999,-1,0,0,0,,,,,,,,
479,1782524120188,392,0,0,0,0,0,0,80,82,10,0,33,135.22,0,14,-6,-998,-1,0,0,0,,,,,,,,
480,1782524120291,495,0,0,0,0,0,0,80,82,10,0,33,135.28,0,13,-5,-1001,-1,0,0,0,,,,,,,,
481,1782524120385,589,0,0,0,0,0,0,80,82,10,0,33,135.08,0,13,-7,-1002,-1,0,0,0,,,,,,,,
482,1782524120484,688,0,0,0,0,0,0,80,82,10,0,33,134.91,0,14,-5,-998,-1,0,0,0,,,,,,,,
483,1782524120586,790,0,0,0,0,0,0,80,82,10,0,33,135.14,0,13,-4,-1000,-1,0,0,0,,,,,,,,
484,1782524120681,885,0,0,0,0,0,0,80,83,10,0,33,135.15,0,13,-5,-1001,-1,0,0,0,,,,,,,,
485,1782524120784,988,0,0,0,0,0,0,80,83,10,0,33,135.19,0,11,-4,-1001,-1,0,0,0,,,,,,,,
486,1782524120879,1083,0,0,0,0,0,0,80,83,10,0,33,134.94,0,14,-8,-999,-1,0,0,0,,,,,,,,
487,1782524120976,1180,0,0,0,0,0,0,80,83,10,0,33,135.08,0,15,-5,-1000,-1,0,0,0,,,,,,,,
488,1782524121074,1278,0,0,0,0,0,0,80,83,10,0,33,135.05,0,15,-6,-1001,-1,0,0,0,,,,,,,,
489,1782524121176,1380,0,0,0,0,0,0,80,83,10,0,33,135.26,0,13,-6,-1002,-1,0,0,0,,,,,,,,
490,1782524121222,1426,0,0,0,0,0,0,80,83,10,0,33,134.99,0,14,-6,-999,-1,0,0,0,,,,,,,,
491,1782524121321,1525,0,0,0,0,0,0,80,83,10,0,33,135.51,0,15,-6,-1000,-1,0,0,0,,,,,,,,
492,1782524121419,1623,0,0,0,0,0,0,80,83,10,0,33,134.73,0,14,-7,-998,-1,0,0,0,,,,,,,,
493,1782524121517,1721,0,0,0,0,0,0,80,83,10,0,33,135.1,0,15,-8,-999,-1,0,0,0,,,,,,,,
494,1782524121618,1822,0,0,0,0,0,0,79,83,10,0,33,135.51,0,14,-8,-999,-1,0,0,0,,,,,,,,
495,1782524121714,1918,0,0,0,0,0,0,79,83,10,0,33,135.08,0,13,-6,-999,-1,0,0,0,,,,,,,,
496,1782524121813,2017,0,0,0,0,0,0,79,83,10,0,33,135.28,0,14,-3,-999,-1,0,0,0,,,,,,,,
497,1782524121921,2125,0,0,0,0,0,0,79,83,10,0,33,134.77,0,19,-3,-997,-1,0,0,0,,,,,,,,
498,1782524122010,2214,0,0,0,0,0,0,79,83,10,0,33,135.38,0,17,-3,-1001,-1,0,0,0,,,,,,,,
499,1782524122108,2312,0,0,0,0,0,0,79,83,10,0,33,135.36,0,15,-9,-999,-1,0,0,0,,,,,,,,
500,1782524122224,2428,0,0,0,0,0,0,79,83,10,0,33,134.96,0,15,-7,-1000,-1,0,0,0,,,,,,,,
501,1782524122305,2509,0,0,0,0,0,0,79,83,10,0,33,135.14,0,15,-5,-1001,-1,0,0,0,,,,,,,,
502,1782524122405,2609,0,0,0,0,0,0,79,83,10,0,33,135.13,0,16,-5,-1000,-1,0,0,0,,,,,,,,
503,1782524122508,2712,0,0,0,0,0,0,79,83,10,0,33,135.21,0,15,-4,-998,-1,0,0,0,,,,,,,,
504,1782524122601,2805,0,0,0,0,0,0,81,83,10,0,33,135.38,0,13,-5,-999,-1,0,0,0,,,,,,,,
505,1782524122713,2917,0,0,0,0,0,0,81,83,10,0,33,135.14,0,12,-8,-998,-1,0,0,0,,,,,,,,
506,1782524122798,3002,0,0,0,0,0,0,81,83,10,0,33,134.93,0,15,-7,-999,-1,0,0,0,,,,,,,,
507,1782524122897,3101,0,0,0,0,0,0,81,83,10,0,33,135.12,0,14,-6,-999,-1,0,0,0,,,,,,,,
508,1782524122997,3201,0,0,0,0,0,0,81,83,10,0,33,135.31,0,17,-7,-998,-1,0,0,0,,,,,,,,
509,1782524123097,3301,0,0,0,0,0,0,81,83,10,0,33,135.13,0,20,-9,-1008,-1,0,0,0,,,,,,,,
510,1782524123193,3397,0,0,0,0,0,0,81,83,10,0,33,135,0,16,-6,-998,-1,0,0,0,,,,,,,,
511,1782524123292,3496,0,0,0,0,0,0,81,83,10,0,33,134.99,0,18,-5,-1000,-1,0,0,0,,,,,,,,
512,1782524123401,3605,0,0,0,0,0,0,81,83,10,0,33,135.23,0,13,-1,-997,-1,0,0,0,,,,,,,,
513,1782524123499,3703,0,0,0,0,0,0,81,83,10,0,33,135.02,0,15,-2,-1003,-1,0,0,0,,,,,,,,
514,1782524123594,3798,0,0,0,0,0,0,81,83,10,0,33,135.24,0,15,-16,-994,-1,0,0,0,,,,,,,,
515,1782524123711,3915,0,0,0,0,0,0,81,83,10,0,33,135.45,0,12,-7,-1002,-1,0,0,0,,,,,,,,
516,1782524123783,3987,0,0,0,0,0,0,81,83,10,0,33,135.3,0,15,3,-998,-1,0,0,0,,,,,,,,
517,1782524123881,4085,0,0,0,0,0,0,81,83,10,0,33,135.05,0,26,0,-1002,-1,0,0,0,,,,,,,,
518,1782524123982,4186,0,0,0,0,0,0,81,83,10,0,33,135.09,0,22,-7,-1000,-1,0,0,0,,,,,,,,
519,1782524124082,4286,0,0,0,0,0,0,81,83,10,0,33,135.18,0,12,-13,-995,-1,0,0,0,,,,,,,,
520,1782524124183,4387,0,0,0,0,0,0,81,83,10,0,33,135.12,0,9,-6,-995,-1,0,0,0,,,,,,,,
