state_sequence,timestamp_ms,recording_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_sequence
94,1782601044055,0,0,1,0,0,0,0,63,65,10,0,38,141.89,0,-16,-20,-1001,-1,0,0,0,,,,,,,,
95,1782601044151,96,0,1,0,0,0,0,63,65,10,0,38,141.86,0,-16,-21,-1000,-1,0,0,0,,,,,,,,
96,1782601044247,192,0,1,0,0,0,0,62,65,10,0,38,141.77,0,-19,-22,-997,-1,0,0,0,,,,,,,,
97,1782601044343,288,0,1,0,0,0,0,62,65,10,0,38,142.02,0,-16,-21,-997,-1,0,0,0,,,,,,,,
98,1782601044439,384,0,1,0,0,0,0,62,65,10,0,38,141.98,0,-16,-20,-999,-1,0,0,0,,,,,,,,
99,1782601044487,432,0,1,0,0,0,0,62,65,10,0,38,141.71,0,-16,-21,-999,-1,0,0,0,,,,,,,,
100,1782601044583,528,0,1,0,0,0,0,62,65,10,0,38,141.69,0,-18,-20,-998,-1,0,0,0,,,,,,,,
101,1782601044679,624,0,1,0,0,0,0,62,65,10,0,38,142.09,0,-20,-18,-999,-1,0,0,0,,,,,,,,
102,1782601044775,720,0,1,0,0,0,0,62,65,10,0,38,142.14,0,-20,-19,-998,-1,0,0,0,,,,,,,,
103,1782601044871,816,0,1,0,0,0,0,62,65,10,0,38,142.07,0,-15,-20,-998,-1,0,0,0,,,,,,,,
104,1782601044966,911,0,1,0,0,0,0,62,65,10,0,38,141.97,0,-17,-19,-997,-1,0,0,0,,,,,,,,
105,1782601045062,1007,0,1,0,0,0,0,62,65,10,0,38,142.06,0,-17,-19,-998,-1,0,0,0,,,,,,,,
106,1782601045159,1104,0,1,0,0,0,0,64,66,10,0,38,142.17,0,-17,-22,-999,-1,0,0,0,,,,,,,,
107,1782601045254,1199,0,1,0,0,0,0,64,66,10,0,38,141.89,0,-16,-20,-998,-1,0,0,0,,,,,,,,
108,1782601045350,1295,0,1,0,0,0,0,64,66,10,0,38,142.18,0,-18,-21,-997,-1,0,0,0,,,,,,,,
109,1782601045446,1391,0,1,0,0,0,0,64,66,10,0,38,141.79,0,-18,-19,-1000,-1,0,0,0,,,,,,,,
110,1782601045542,1487,0,1,0,0,0,0,64,66,10,0,38,141.73,0,-17,-19,-998,-1,0,0,0,,,,,,,,
111,1782601045638,1583,0,1,0,0,0,0,64,66,10,0,38,142.25,0,-18,-21,-1001,-1,0,0,0,,,,,,,,
112,1782601045741,1686,0,1,0,0,0,0,64,66,10,0,38,141.8,0,-18,-19,-999,-1,0,0,0,,,,,,,,
113,1782601045834,1779,0,1,0,0,0,0,64,66,10,0,38,141.95,0,-19,-22,-997,-1,0,0,0,,,,,,,,
114,1782601045925,1870,0,1,0,0,0,0,64,66,10,0,38,142.22,0,-17,-20,-1001,-1,0,0,0,,,,,,,,
