state_sequence,timestamp_ms,recording_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_sequence
47,1782600673279,0,0,1,0,0,0,0,62,65,10,0,42,142.05,0,-20,-22,-999,-1,0,0,0,,,,,,,,
48,1782600673375,96,0,1,0,0,0,0,62,65,10,0,42,141.75,0,-18,-22,-1000,-1,0,0,0,,,,,,,,
49,1782600673470,191,0,1,0,0,0,0,62,65,10,0,42,141.95,0,-21,-23,-998,-1,0,0,0,,,,,,,,
50,1782600673565,286,0,1,0,0,0,0,63,65,10,0,42,142.11,0,-21,-23,-999,-1,0,0,0,,,,,,,,
51,1782600673661,382,0,1,0,0,0,0,63,65,10,0,42,142.04,0,-20,-24,-999,-1,0,0,0,,,,,,,,
52,1782600673756,477,0,1,0,0,0,0,63,65,10,0,42,141.81,0,-19,-21,-998,-1,0,0,0,,,,,,,,
53,1782600673852,573,0,1,0,0,0,0,63,65,10,0,42,141.85,0,-19,-23,-1000,-1,0,0,0,,,,,,,,
54,1782600673947,668,0,1,0,0,0,0,63,65,10,0,42,141.85,0,-20,-22,-1000,-1,0,0,0,,,,,,,,
55,1782600674042,763,0,1,0,0,0,0,63,65,10,0,42,141.77,0,-20,-23,-996,-1,0,0,0,,,,,,,,
56,1782600674138,859,0,1,0,0,0,0,63,65,10,0,42,141.89,0,-22,-22,-997,-1,0,0,0,,,,,,,,
57,1782600674233,954,0,1,0,0,0,0,63,65,10,0,42,141.86,0,-19,-20,-999,-1,0,0,0,,,,,,,,
58,1782600674328,1049,0,1,0,0,0,0,63,65,10,0,42,141.78,0,-16,-23,-1001,-1,0,0,0,,,,,,,,
59,1782600674424,1145,0,1,0,0,0,0,63,65,10,0,42,141.63,0,-15,-22,-999,-1,0,0,0,,,,,,,,
60,1782600674519,1240,0,1,0,0,0,0,63,66,10,0,42,141.67,0,-22,-22,-997,-1,0,0,0,,,,,,,,
61,1782600674615,1336,0,1,0,0,0,0,63,66,10,0,42,141.67,0,-21,-20,-997,-1,0,0,0,,,,,,,,
62,1782600674711,1432,0,1,0,0,0,0,63,66,10,0,42,141.89,0,-16,-25,-997,-1,0,0,0,,,,,,,,
63,1782600674805,1526,0,1,0,0,0,0,63,66,10,0,42,141.9,0,-18,-28,-999,-1,0,0,0,,,,,,,,
64,1782600674854,1575,0,1,0,0,0,0,63,66,10,0,42,141.74,0,-21,-23,-999,-1,0,0,0,,,,,,,,
65,1782600674949,1670,0,1,0,0,0,0,63,66,10,0,42,141.74,0,-21,-24,-998,-1,0,0,0,,,,,,,,
66,1782600675044,1765,0,1,0,0,0,0,63,66,10,0,42,141.81,0,-20,-24,-998,-1,0,0,0,,,,,,,,
67,1782600675139,1860,0,1,0,0,0,0,63,66,10,0,42,141.96,0,-20,-25,-998,-1,0,0,0,,,,,,,,
68,1782600675235,1956,0,1,0,0,0,0,63,66,10,0,42,141.92,0,-18,-24,-999,-1,0,0,0,,,,,,,,
69,1782600675330,2051,0,1,0,0,0,0,63,66,10,0,42,141.82,0,-18,-24,-997,-1,0,0,0,,,,,,,,
70,1782600675425,2146,0,1,0,0,0,0,64,66,10,0,42,141.79,0,-19,-23,-999,-1,0,0,0,,,,,,,,
71,1782600675522,2243,0,1,0,0,0,0,64,66,10,0,42,141.65,0,-22,-23,-999,-1,0,0,0,,,,,,,,
72,1782600675616,2337,0,1,0,0,0,0,64,66,10,0,42,142.05,0,-21,-21,-999,-1,0,0,0,,,,,,,,
73,1782600675712,2433,0,1,0,0,0,0,64,66,10,0,42,141.96,0,-20,-24,-1000,-1,0,0,0,,,,,,,,
74,1782600675807,2528,0,1,0,0,0,0,64,66,10,0,42,141.89,0,-19,-23,-1000,-1,0,0,0,,,,,,,,
75,1782600675908,2629,0,1,0,0,0,0,64,66,10,0,42,141.58,0,-20,-22,-998,-1,0,0,0,,,,,,,,
76,1782600676004,2725,0,1,0,0,0,0,64,66,10,0,42,141.96,0,-19,-20,-1001,-1,0,0,0,,,,,,,,
77,1782600676093,2814,0,1,0,0,0,0,64,66,10,0,42,141.87,0,-20,-25,-998,-1,0,0,0,,,,,,,,
78,1782600676189,2910,0,1,0,0,0,0,64,66,10,0,42,141.72,0,-19,-25,-1000,-1,0,0,0,,,,,,,,
79,1782600676284,3005,0,1,0,0,0,0,64,66,10,0,42,141.86,0,-19,-25,-1000,-1,0,0,0,,,,,,,,
80,1782600676379,3100,0,1,0,0,0,0,64,65,10,0,42,141.57,0,-21,-27,-1000,-1,0,0,0,,,,,,,,
81,1782600676475,3196,0,1,0,0,0,0,64,65,10,0,42,141.8,0,-22,-23,-997,-1,0,0,0,,,,,,,,
82,1782600676570,3291,0,1,0,0,0,0,64,65,10,0,42,141.65,0,-21,-21,-1001,-1,0,0,0,,,,,,,,
83,1782600676665,3386,0,1,0,0,0,0,64,65,10,0,42,141.5,0,-18,-20,-998,-1,0,0,0,,,,,,,,
84,1782600676761,3482,0,1,0,0,0,0,64,65,10,0,42,142.01,0,-19,-20,-1001,-1,0,0,0,,,,,,,,
85,1782600676856,3577,0,1,0,0,0,0,64,65,10,0,42,141.51,0,-16,-22,-997,-1,0,0,0,,,,,,,,
86,1782600676952,3673,0,1,0,0,0,0,64,65,10,0,42,142.01,0,-3,-34,-988,-1,0,0,0,,,,,,,,
87,1782600677047,3768,0,1,0,0,0,0,64,65,10,0,42,141.62,0,-10,-40,-1002,-1,0,0,0,,,,,,,,
88,1782600677143,3864,0,1,0,0,0,0,64,65,10,0,42,141.8,0,-23,-37,-1005,-1,0,0,0,,,,,,,,
89,1782600677238,3959,0,1,0,0,0,0,64,65,10,0,42,142.05,0,-23,-28,-999,-1,0,0,0,,,,,,,,
90,1782600677334,4055,0,1,0,0,0,0,64,66,10,0,42,141.82,0,-16,-25,-1003,-1,0,0,0,,,,,,,,
91,1782600677429,4150,0,1,0,0,0,0,64,66,10,0,42,141.35,0,-10,-21,-999,-1,0,0,0,,,,,,,,
92,1782600677525,4246,0,1,0,0,0,0,64,66,10,0,42,141.69,0,-15,-22,-1001,-1,0,0,0,,,,,,,,
93,1782600677621,4342,0,1,0,0,0,0,64,66,10,0,42,141.76,0,-21,-19,-997,-1,0,0,0,,,,,,,,
94,1782600677716,4437,0,1,0,0,0,0,64,66,10,0,42,141.75,0,-20,-16,-996,-1,0,0,0,,,,,,,,
95,1782600677812,4533,0,1,0,0,0,0,64,66,10,0,42,141.59,0,-14,-19,-998,-1,0,0,0,,,,,,,,
96,1782600677907,4628,0,1,0,0,0,0,64,66,10,0,42,141.6,0,-13,-21,-999,-1,0,0,0,,,,,,,,
97,1782600677955,4676,0,1,0,0,0,0,64,66,10,0,42,141.74,0,-16,-19,-998,-1,0,0,0,,,,,,,,
98,1782600678050,4771,0,1,0,0,0,0,64,66,10,0,42,141.77,0,-16,-21,-996,-1,0,0,0,,,,,,,,
99,1782600678146,4867,0,1,0,0,0,0,64,66,10,0,42,141.69,0,-20,-24,-997,-1,0,0,0,,,,,,,,
100,1782600678242,4963,0,1,0,0,0,0,64,67,10,0,42,141.67,0,-20,-22,-998,-1,0,0,0,,,,,,,,
101,1782600678338,5059,0,1,0,0,0,0,64,67,10,0,42,141.59,0,-17,-23,-997,-1,0,0,0,,,,,,,,
102,1782600678433,5154,0,1,0,0,0,0,64,67,10,0,42,141.86,0,-17,-22,-998,-1,0,0,0,,,,,,,,
103,1782600678528,5249,0,1,0,0,0,0,64,67,10,0,42,141.71,0,-16,-21,-1001,-1,0,0,0,,,,,,,,
104,1782600678624,5345,0,1,0,0,0,0,64,67,10,0,42,141.82,0,-18,-21,-999,-1,0,0,0,,,,,,,,
105,1782600678719,5440,0,1,0,0,0,0,64,67,10,0,42,141.84,0,-16,-21,-996,-1,0,0,0,,,,,,,,
106,1782600678815,5536,0,1,0,0,0,0,64,67,10,0,42,141.57,0,-16,-23,-997,-1,0,0,0,,,,,,,,
107,1782600678911,5632,0,1,0,0,0,0,64,67,10,0,42,142,0,-15,-22,-1002,-1,0,0,0,,,,,,,,
108,1782600679006,5727,0,1,0,0,0,0,64,67,10,0,42,141.87,0,-16,-19,-998,-1,0,0,0,,,,,,,,
109,1782600679102,5823,0,1,0,0,0,0,64,67,10,0,42,141.77,0,-14,-19,-998,-1,0,0,0,,,,,,,,
110,1782600679197,5918,0,1,0,0,0,0,64,66,10,0,42,141.53,0,-15,-17,-999,-1,0,0,0,,,,,,,,
111,1782600679293,6014,0,1,0,0,0,0,64,66,10,0,42,141.6,0,-17,-19,-999,-1,0,0,0,,,,,,,,
112,1782600679388,6109,0,1,0,0,0,0,64,66,10,0,42,141.75,0,-15,-20,-997,-1,0,0,0,,,,,,,,
113,1782600679486,6207,0,1,0,0,0,0,64,66,10,0,42,141.82,0,-17,-19,-996,-1,0,0,0,,,,,,,,
114,1782600679579,6300,0,1,0,0,0,0,64,66,10,0,42,141.46,0,-17,-20,-998,-1,0,0,0,,,,,,,,
115,1782600679676,6397,0,1,0,0,0,0,64,66,10,0,42,141.55,0,-16,-22,-1001,-1,0,0,0,,,,,,,,
116,1782600679771,6492,0,1,0,0,0,0,64,66,10,0,42,141.92,0,-17,-22,-1000,-1,0,0,0,,,,,,,,
117,1782600679866,6587,0,1,0,0,0,0,64,66,10,0,42,141.65,0,-20,-20,-1001,-1,0,0,0,,,,,,,,
118,1782600679962,6683,0,1,0,0,0,0,64,66,10,0,42,141.99,0,-17,-20,-998,-1,0,0,0,,,,,,,,
119,1782600680057,6778,0,1,0,0,0,0,64,66,10,0,42,141.55,0,-18,-20,-999,-1,0,0,0,,,,,,,,
120,1782600680153,6874,0,1,0,0,0,0,64,68,10,0,42,141.62,0,-18,-20,-996,-1,0,0,0,,,,,,,,
121,1782600680248,6969,0,1,0,0,0,0,64,68,10,0,42,142.04,0,-17,-21,-999,-1,0,0,0,,,,,,,,
