state_sequence,timestamp_ms,recording_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_sequence
94,1782602805775,0,0,0,0,0,0,0,72,73,10,0,81,138.93,0,1,5,-1000,-1,0,0,0,,,,,,,,
95,1782602805871,96,0,0,0,0,0,0,72,73,10,0,81,139.14,0,3,5,-999,-1,0,0,0,,,,,,,,
96,1782602805966,191,0,0,0,0,0,0,72,73,10,0,81,139.03,0,3,6,-1000,-1,0,0,0,,,,,,,,
97,1782602806062,287,0,0,0,0,0,0,71,74,10,0,81,139.26,0,2,5,-998,-1,0,0,0,,,,,,,,
98,1782602806158,383,0,0,0,0,0,0,71,74,10,0,81,139.17,0,3,5,-999,-1,0,0,0,,,,,,,,
99,1782602806255,480,0,0,0,0,0,0,71,74,10,0,81,139.44,0,3,5,-1002,-1,0,0,0,,,,,,,,
100,1782602806358,583,0,0,0,0,0,0,71,74,10,0,81,139.32,0,3,5,-998,-1,0,0,0,,,,,,,,
101,1782602806447,672,0,0,0,0,0,0,71,74,10,0,81,139.02,0,0,5,-1000,-1,0,0,0,,,,,,,,
102,1782602806543,768,0,0,0,0,0,0,71,74,10,0,81,139.42,0,3,6,-1000,-1,0,0,0,,,,,,,,
103,1782602806648,873,0,0,0,0,0,0,71,74,10,0,81,139.5,0,5,5,-998,-1,0,0,0,,,,,,,,
104,1782602806746,971,0,0,0,0,0,0,71,74,10,0,81,139.44,0,3,4,-999,-1,0,0,0,,,,,,,,
105,1782602806794,1019,0,0,0,0,0,0,71,74,10,0,81,139.27,0,4,4,-998,-1,0,0,0,,,,,,,,
106,1782602806879,1104,0,0,0,0,0,0,71,74,10,0,81,139.44,0,2,6,-1001,-1,0,0,0,,,,,,,,
107,1782602806975,1200,0,0,0,0,0,0,72,74,10,0,81,139.23,0,4,6,-1001,-1,0,0,0,,,,,,,,
108,1782602807079,1304,0,0,0,0,0,0,72,74,10,0,81,139.46,0,3,4,-1001,-1,0,0,0,,,,,,,,
109,1782602807168,1393,0,0,0,0,0,0,72,74,10,0,81,139.11,0,3,3,-1000,-1,0,0,0,,,,,,,,
110,1782602807264,1489,0,0,0,0,0,0,72,74,10,0,81,139.08,0,3,5,-999,-1,0,0,0,,,,,,,,
111,1782602807360,1585,0,0,0,0,0,0,72,74,10,0,81,139.44,0,3,4,-998,-1,0,0,0,,,,,,,,
112,1782602807456,1681,0,0,0,0,0,0,72,74,10,0,81,138.98,0,2,4,-999,-1,0,0,0,,,,,,,,
