test_id,scenario,notes,run_mode,elapsed_ms,attempt,command_samples,command_successes,command_failures,command_latency_ms_avg,command_latency_ms_min,command_latency_ms_max,last_command,last_response,last_command_result,command_source,command_executor_last_error,command_executor_attempt_log,telemetry_packets_total,telemetry_packets_valid,telemetry_packets_invalid,telemetry_timeouts,telemetry_errors,telemetry_hz_instant,telemetry_hz_ema,telemetry_age_ms,telemetry_interarrival_ms,telemetry_max_interarrival_ms,telemetry_last_gap_ms,telemetry_last_gap_sequence,telemetry_gap_events_300ms,telemetry_gap_events_500ms,telemetry_gap_events_1000ms,telemetry_quality,telemetry_quality_score,telemetry_state_available,telemetry_h,telemetry_tof,telemetry_baro,telemetry_vgz,telemetry_bat,telemetry_templ,telemetry_temph,video_packets_total,video_bytes_total,video_timeouts,video_errors,video_pps_instant,video_pps_ema,video_age_ms,video_packet_delta,video_interarrival_ms,video_max_interarrival_ms,video_last_gap_ms,video_last_gap_sequence,video_gap_events_300ms,video_gap_events_500ms,video_gap_events_1000ms,video_quality,video_quality_score,nal_packets_in,nal_bytes_in,nal_units,nal_sps,nal_pps,nal_idr,nal_non_idr,nal_other,nal_decode_gated,nal_resyncs,nal_buffered_bytes,decoder_nals_in,decoder_packets_sent,decoder_frames_decoded,decoder_errors,decoder_fps_ema,frame_width,frame_height,keyframes,paused,overlay_enabled,recovery_attempted,recovery_result,recovery_hard,recovery_stage,recovery_command_channel_available,event,log_timestamp,log_message,connection_state,last_outage_failures,plot_metric,state_sequence_delta,state_receiver_running,rc_stream_active,rc_left_right,rc_forward_back,rc_up_down,rc_yaw,keepalive_running,auto_refresh_active,critical_command_active,pause_keepalive_ms,neutral_rc_ms,critical_command_ms,gui_vision_tick_delay_ms,gui_state_tick_delay_ms,vision_refresh_duration_ms,state_refresh_duration_ms,frame_convert_ms,frame_scale_ms,plot_paint_ms,vision_frame_mutex_wait_ms,state_history_fetch_ms,ui_frames_converted,ui_frames_dropped,ui_frames_displayed,plot_samples_displayed,keepalive_tick_total,keepalive_success_total,keepalive_failure_total,keepalive_skipped_busy_total,keepalive_skipped_uninitialized_total,keepalive_last_command,keepalive_last_response,keepalive_last_result,keepalive_last_latency_ms,keepalive_last_success_age_ms,keepalive_last_tick_age_ms
,gui,,CONTROL_PANEL,1,1,0,0,0,0,0,0,,,ERROR,,,,12,12,0,0,0,10.37,10.3711,19,96,100,0,0,0,0,0,OK,100,1,0,10,139.26,0,81,72,73,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T19:26:45.701,recording started | gui_csv=ON | state_recording=ON,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,124,249,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,battery?,,ERROR,0,-1,-1
,gui,,CONTROL_PANEL,1,2,0,0,0,0,0,0,,,ERROR,,,,12,12,0,0,0,10.37,10.3711,19,96,100,0,0,0,0,0,OK,100,1,0,10,139.26,0,81,72,73,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,logging:start,,,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,124,249,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,battery?,,ERROR,0,-1,-1
,gui,,CONTROL_PANEL,2541,3,0,0,0,0,0,0,,,ERROR,,,,39,39,0,0,0,10.5067,10.5041,17,95,105,0,0,0,0,0,OK,100,1,0,10,139.15,0,81,71,74,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T19:26:48.235,panel switched to Operation,CONNECTED,0,pitch,27,1,0,0,0,0,0,1,0,0,0,0,0,125,250,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,battery?,,ERROR,0,-1,-1
,gui,,CONTROL_PANEL,21900,4,0,0,0,0,0,0,,,ERROR,,,,242,242,0,0,0,10.9388,10.5616,21,91,146,0,0,0,0,0,OK,100,1,0,10,139.27,0,80,75,77,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T19:27:10.019,takeoff confirmed by user,CONNECTED,0,pitch,203,1,0,0,0,0,0,1,0,0,0,0,0,124,249,0,0,0,0,1,0,0,0,0,0,300,4,4,0,0,0,battery?,80,OK,32,2896,2896
,gui,,CONTROL_PANEL,21900,5,0,0,0,0,0,0,,,ERROR,,,,242,242,0,0,0,10.9388,10.5616,21,91,146,0,0,0,0,0,OK,100,1,0,10,139.27,0,80,75,77,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,critical-command:begin:takeoff,,,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,1,0,0,0,124,249,0,0,0,0,1,0,0,0,0,0,300,4,4,0,0,0,battery?,80,OK,32,2896,2896
,gui,,CONTROL_PANEL,21902,6,0,0,0,0,0,0,,,ERROR,,,,242,242,0,0,0,10.9388,10.5616,23,91,146,0,0,0,0,0,OK,100,1,0,10,139.27,0,80,75,77,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T19:27:10.020,sdk keepalive remains running; cooperative loop skips ticks while command channel is busy,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,1,0,0,0,124,249,0,0,0,0,1,0,0,0,0,0,300,4,4,0,0,0,battery?,80,OK,32,2898,2898
,gui,,CONTROL_PANEL,21903,7,0,0,0,0,0,0,,,ERROR,,,,242,242,0,0,0,10.9388,10.5616,24,91,146,0,0,0,0,0,OK,100,1,0,10,139.27,0,80,75,77,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T19:27:10.022,rc neutral preflight skipped (takeoff): RC stream was inactive and sliders were already zero,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,1,0,0,0,124,249,0,0,0,0,1,0,0,0,0,0,300,4,4,0,0,0,battery?,80,OK,32,2899,2899
,gui,,CONTROL_PANEL,21903,8,0,0,0,0,0,0,,,ERROR,,,,242,242,0,0,0,10.9388,10.5616,24,91,146,0,0,0,0,0,OK,100,1,0,10,139.27,0,80,75,77,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,rc-neutral:skipped:takeoff,,,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,1,0,0,0,124,249,0,0,0,0,1,0,0,0,0,0,300,4,4,0,0,0,battery?,80,OK,32,2899,2899
,gui,,CONTROL_PANEL,22631,9,0,0,0,0,0,0,,,ERROR,,,,249,249,0,0,0,10.4881,10.5164,84,95,146,0,0,0,0,0,OK,100,1,0,10,139.18,0,80,75,77,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-06-27T19:27:10.749,takeoff => TIMEOUT | state=CONNECTED,CONNECTED,0,pitch,7,1,0,0,0,0,0,1,0,1,0,0,726,739,765,0,0,0,0,1,0,0,0,0,0,300,4,4,0,0,0,battery?,80,OK,32,3627,3627
,gui,,CONTROL_PANEL,22631,10,1,0,1,726,726,726,takeoff,,TIMEOUT,manual,Timeout waiting for response,attempt=1|send=OK|raw=|result=TIMEOUT,249,249,0,0,0,10.4881,10.5164,84,95,146,0,0,0,0,0,OK,100,1,0,10,139.18,0,80,75,77,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,command:manual,,,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,1,0,0,726,739,765,0,0,0,0,1,0,0,0,0,0,300,4,4,0,0,0,battery?,80,OK,32,3627,3627
