test_id,scenario,notes,run_mode,elapsed_ms,attempt,command_samples,command_successes,command_failures,command_latency_ms_avg,command_latency_ms_min,command_latency_ms_max,last_command,last_response,last_command_result,telemetry_packets_total,telemetry_packets_valid,telemetry_packets_invalid,telemetry_timeouts,telemetry_errors,telemetry_hz_instant,telemetry_hz_ema,telemetry_age_ms,video_packets_total,video_bytes_total,video_timeouts,video_errors,video_pps_instant,video_pps_ema,video_age_ms,video_packet_delta,nal_packets_in,nal_bytes_in,nal_units,nal_sps,nal_pps,nal_idr,nal_non_idr,nal_other,nal_decode_gated,nal_resyncs,nal_buffered_bytes,decoder_nals_in,decoder_packets_sent,decoder_frames_decoded,decoder_errors,decoder_fps_ema,frame_width,frame_height,keyframes,paused,overlay_enabled,recovery_attempted,recovery_result,recovery_hard,event,connection_state,last_outage_failures
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,2751,1,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,286,393548,0,0,53418.8,12666.5,0,286,286,393548,33,1,1,1,30,0,27,0,4380,6,4,4,2,34.0542,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,3751,2,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,564,775808,0,0,134.628,4448.48,30,278,564,775808,65,2,2,2,59,0,27,0,11680,38,34,34,4,43.0261,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,4751,3,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,747,1029723,0,0,152.491,617.619,2,183,747,1029723,86,2,2,2,80,0,27,0,2920,59,55,55,4,54.6945,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,5751,4,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,841,1154511,0,0,492.547,1312.6,81,94,841,1154511,99,3,3,3,90,0,27,0,2920,72,66,66,6,70.68,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,6751,5,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,1101,1497425,0,0,149.948,6726.03,9,260,1101,1497425,136,4,4,4,124,0,27,0,8325,109,101,89,8,44.2354,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,7752,6,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,1295,1764068,0,0,2491.81,3237.15,13,194,1295,1764068,170,5,5,5,155,0,27,0,8293,143,133,121,10,32.5547,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,8752,7,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,1479,2017073,0,0,556.183,1032.74,0,184,1479,2017073,203,6,6,6,185,0,27,0,2920,176,164,152,12,54.3121,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,9752,8,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,1627,2218490,0,0,56072.7,14834,17,148,1627,2218490,229,7,7,7,208,0,27,0,4380,202,188,176,14,88.3305,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,10752,9,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,1840,2485024,0,0,3942.49,4927.9,22,213,1840,2485024,272,8,8,8,248,0,27,0,6297,245,229,217,16,57.7578,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,11752,10,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,1997,2678720,0,0,2868.32,2095.97,18,157,1997,2678720,305,9,9,9,278,0,27,0,6246,278,260,248,18,31.6535,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,12752,11,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,2154,2872520,0,0,3168.91,3079.24,24,157,2154,2872520,338,10,10,10,308,0,27,0,6257,311,291,279,20,31.76,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,13753,12,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,2311,3066246,0,0,2980.65,1460.48,12,157,2311,3066246,371,11,11,11,338,0,27,0,6222,344,322,310,22,35.5132,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,14753,13,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,2468,3260067,0,0,3443.55,1852.21,15,157,2468,3260067,404,12,12,12,368,0,27,0,6163,377,353,341,24,29.639,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,15753,14,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,2624,3453431,0,0,225.258,9507.15,0,156,2624,3453431,437,13,13,13,398,0,27,0,5840,410,384,372,26,30.2229,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,16755,15,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,2783,3649107,0,0,36.9718,9892.56,0,159,2783,3649107,471,14,14,14,429,0,27,0,1460,444,416,404,28,31.3576,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,17755,16,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,2943,3847209,0,0,39837.5,19764.8,0,160,2943,3847209,504,15,15,15,459,0,27,0,5840,477,447,435,30,35.6015,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,18755,17,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,3101,4041354,0,0,5464.39,2596.94,0,158,3101,4041354,537,16,16,16,489,0,27,0,6222,510,478,466,32,34.2957,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,19755,18,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,3258,4235211,0,0,947.076,3732.98,0,157,3258,4235211,570,17,17,17,519,0,27,0,6224,543,509,497,34,35.5223,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
E-VID-BASE-001,video-baseline,Tello idle on desk; video baseline,VIDEO_WATCH,20755,19,0,0,0,0,0,0,,,ERROR,0,0,0,0,0,0,0,-1,3415,4428973,0,0,939.708,1049.35,0,157,3415,4428973,603,18,18,18,549,0,27,0,6310,576,540,528,36,31.2678,0,0,0,0,0,0,OK,0,NONE,CONNECTED,0
