state_sequence,timestamp_ms,recording_elapsed_ms,steady_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_steady_elapsed_ms,rc_sequence
18,1783018052456,0,0,0,1,0,0,0,0,59,61,10,0,70,181.95,0,-7,-23,-999,-1,0,0,0,,,,,,,,,
19,1783018052556,100,99,0,1,0,0,0,0,59,61,10,0,70,182.06,0,-7,-24,-1000,-1,0,0,0,,,,,,,,,
20,1783018052657,201,201,0,1,0,0,0,0,59,61,10,0,70,182.1,0,-5,-21,-999,-1,0,0,0,,,,,,,,,
21,1783018052759,303,302,0,1,0,0,0,0,59,61,10,0,70,182,0,-7,-20,-1002,-1,0,0,0,,,,,,,,,
22,1783018052860,404,404,0,1,0,0,0,0,59,61,10,0,70,182.41,0,-7,-24,-1000,-1,0,0,0,,,,,,,,,
23,1783018052911,455,454,0,1,0,0,0,0,59,61,10,0,70,182.14,0,-6,-23,-998,-1,0,0,0,,,,,,,,,
24,1783018053013,557,556,0,1,0,0,0,0,59,61,10,0,70,182.29,0,-8,-23,-1001,-1,0,0,0,,,,,,,,,
25,1783018053115,659,658,0,1,0,0,0,0,59,61,10,0,70,182.17,0,-5,-21,-999,-1,0,0,0,,,,,,,,,
26,1783018053216,760,760,0,1,0,0,0,0,59,61,10,0,70,182.56,0,-5,-18,-1000,-1,0,0,0,,,,,,,,,
27,1783018053318,862,861,0,1,0,0,0,0,58,60,10,0,70,182.1,0,-3,-23,-998,-1,0,0,0,,,,,,,,,
28,1783018053420,964,963,0,1,0,0,0,0,58,60,10,0,70,181.91,0,-6,-25,-997,-1,0,0,0,,,,,,,,,
29,1783018053521,1065,1065,0,1,0,0,0,0,58,60,10,0,70,182.08,0,-6,-23,-999,-1,0,0,0,,,,,,,,,
30,1783018053623,1167,1166,0,1,0,0,0,0,58,60,10,0,70,182.26,0,-4,-22,-999,-1,0,0,0,,,,,,,,,
31,1783018053725,1269,1268,0,1,0,0,0,0,58,60,10,0,70,182.23,0,-5,-21,-999,-1,0,0,0,,,,,,,,,
32,1783018053826,1370,1370,0,1,0,0,0,0,58,60,10,0,70,182.11,0,-7,-22,-1000,-1,0,0,0,,,,,,,,,
