test_id,scenario,notes,run_mode,elapsed_ms,attempt,command_samples,command_successes,command_failures,command_latency_ms_avg,command_latency_ms_min,command_latency_ms_max,last_command,last_response,last_command_result,command_source,command_executor_last_error,command_executor_attempt_log,telemetry_packets_total,telemetry_packets_valid,telemetry_packets_invalid,telemetry_timeouts,telemetry_errors,telemetry_hz_instant,telemetry_hz_ema,telemetry_age_ms,telemetry_interarrival_ms,telemetry_max_interarrival_ms,telemetry_last_gap_ms,telemetry_last_gap_sequence,telemetry_gap_events_300ms,telemetry_gap_events_500ms,telemetry_gap_events_1000ms,telemetry_quality,telemetry_quality_score,telemetry_state_available,telemetry_h,telemetry_tof,telemetry_baro,telemetry_vgz,telemetry_bat,telemetry_templ,telemetry_temph,video_packets_total,video_bytes_total,video_timeouts,video_errors,video_pps_instant,video_pps_ema,video_age_ms,video_packet_delta,video_interarrival_ms,video_max_interarrival_ms,video_last_gap_ms,video_last_gap_sequence,video_gap_events_300ms,video_gap_events_500ms,video_gap_events_1000ms,video_quality,video_quality_score,nal_packets_in,nal_bytes_in,nal_units,nal_sps,nal_pps,nal_idr,nal_non_idr,nal_other,nal_decode_gated,nal_resyncs,nal_buffered_bytes,decoder_nals_in,decoder_packets_sent,decoder_frames_decoded,decoder_errors,decoder_fps_ema,frame_width,frame_height,keyframes,paused,overlay_enabled,recovery_attempted,recovery_result,recovery_hard,recovery_stage,recovery_command_channel_available,event,log_timestamp,log_message,connection_state,last_outage_failures,plot_metric,state_sequence_delta,state_receiver_running,rc_stream_active,rc_left_right,rc_forward_back,rc_up_down,rc_yaw,keepalive_running,auto_refresh_active,critical_command_active,pause_keepalive_ms,neutral_rc_ms,critical_command_ms,gui_vision_tick_delay_ms,gui_state_tick_delay_ms,vision_refresh_duration_ms,state_refresh_duration_ms,frame_convert_ms,frame_scale_ms,plot_paint_ms,vision_frame_mutex_wait_ms,state_history_fetch_ms,command_mutex_wait_ms,ui_frames_converted,ui_frames_dropped,ui_frames_displayed,plot_samples_displayed,keepalive_tick_total,keepalive_success_total,keepalive_failure_total,keepalive_skipped_busy_total,keepalive_skipped_uninitialized_total,keepalive_last_command,keepalive_last_response,keepalive_last_result,keepalive_last_latency_ms,keepalive_last_success_age_ms,keepalive_last_tick_age_ms
,gui,,CONTROL_PANEL,1,1,0,0,0,0,0,0,,,ERROR,,,,18,18,0,0,0,10.0259,10.0751,96,99,108,0,0,0,0,0,OK,100,1,0,10,182.08,0,70,59,61,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-07-02T14:47:32.453,recording started | gui_csv=ON | state_recording=ON,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,125,249,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,battery?,,ERROR,0,-1,-1
,gui,,CONTROL_PANEL,1,2,0,0,0,0,0,0,,,ERROR,,,,18,18,0,0,0,10.0259,10.0751,96,99,108,0,0,0,0,0,OK,100,1,0,10,182.08,0,70,59,61,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,logging:start,,,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,125,249,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,battery?,,ERROR,0,-1,-1
,gui,,CONTROL_PANEL,1974,3,0,0,0,0,0,0,,,ERROR,,,,38,38,0,0,0,9.82631,9.92408,92,101,108,0,0,0,0,0,OK,100,1,0,10,182.09,0,70,58,61,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-07-02T14:47:34.419,panel switched to Operation,CONNECTED,0,pitch,20,1,0,0,0,0,0,1,0,0,0,0,0,125,250,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,battery?,,ERROR,0,-1,-1
,gui,,CONTROL_PANEL,8034,4,0,0,0,0,0,0,,,ERROR,,,,99,99,0,0,0,9.8285,10.252,51,101,152,0,0,0,0,0,OK,100,1,0,10,182.08,0,69,60,63,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-07-02T14:47:40.487,"streamon (vision) => OK | response=""ok"" | state=CONNECTED",CONNECTED,0,pitch,61,1,0,0,0,0,0,1,0,0,0,0,0,135,250,0,0,0,0,0,0,0,0,0,0,0,97,1,1,0,0,0,battery?,70,OK,37,4881,4881
,gui,,CONTROL_PANEL,8034,5,1,1,0,12,12,12,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,99,99,0,0,0,9.8285,10.252,51,101,152,0,0,0,0,0,OK,100,1,0,10,182.08,0,69,60,63,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,command:vision,,,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,135,250,0,0,0,0,0,0,0,0,0,0,0,97,1,1,0,0,0,battery?,70,OK,37,4881,4881
,gui,,CONTROL_PANEL,8035,6,1,1,0,12,12,12,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,99,99,0,0,0,9.8285,10.252,52,101,152,0,0,0,0,0,OK,100,1,0,10,182.08,0,69,60,63,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-07-02T14:47:40.488,vision pipeline started (FFmpeg stream backend),CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,135,250,0,0,0,0,0,0,0,0,0,0,0,97,1,1,0,0,0,battery?,70,OK,37,4882,4882
,gui,,CONTROL_PANEL,8149,7,1,1,0,12,12,12,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,100,100,0,0,0,9.49178,10.1,61,105,152,0,0,0,0,0,OK,100,1,0,10,181.89,0,69,60,63,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,pitch,1,1,0,0,0,0,0,1,0,0,0,0,0,114,250,0,0,0,0,0,0,0,0,0,0,0,100,1,1,0,0,0,battery?,70,OK,37,4996,4996
,gui,,CONTROL_PANEL,9274,8,1,1,0,12,12,12,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,112,112,0,0,0,10.838,10.7792,81,92,152,0,0,0,0,0,OK,100,1,0,10,182.26,0,69,61,63,35,291839,0,0,0,34.5628,27,35,-1,0,0,0,0,0,0,OK,100,35,291839,25,0,0,0,0,0,0,0,0,0,0,25,10,34.5628,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,pitch,12,1,0,0,0,0,0,1,0,0,0,0,0,125,249,1,0,0,0,0,0,0,0,7,18,4,111,2,2,0,0,0,battery?,69,OK,28,1093,1093
,gui,,CONTROL_PANEL,10399,9,1,1,0,12,12,12,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,125,125,0,0,0,12.0377,12.3015,61,83,152,0,0,0,0,0,OK,100,1,0,10,182.22,0,69,61,62,73,608404,0,0,0,39.0905,11,38,-1,0,0,0,0,0,0,OK,100,73,608404,63,0,0,0,0,0,0,0,0,0,0,63,10,39.0905,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,pitch,13,1,0,0,0,0,0,1,0,0,0,0,0,125,250,1,0,0,0,0,0,0,0,16,47,13,125,2,2,0,0,0,battery?,69,OK,28,2218,2218
,gui,,CONTROL_PANEL,11524,10,1,1,0,12,12,12,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,137,137,0,0,0,9.32397,10.6095,65,107,152,0,0,0,0,0,OK,100,1,0,10,182.16,0,69,61,63,110,916847,0,0,0,34.2628,25,37,-1,0,0,0,0,0,0,OK,100,110,916847,100,0,0,0,0,0,0,0,0,0,0,100,10,34.2628,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,pitch,12,1,0,0,0,0,0,1,0,0,0,0,0,124,249,2,0,0,1,0,0,0,0,25,75,22,136,2,2,0,0,0,battery?,69,OK,28,3343,3343
