state_sequence,timestamp_ms,recording_elapsed_ms,steady_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_steady_elapsed_ms,rc_sequence
35,1783378952759,0,0,0,0,0,0,0,0,63,66,10,0,75,109.12,0,0,8,-999,-1,0,0,0,,,,,,,,,
36,1783378952862,103,102,0,0,0,0,0,0,63,66,10,0,75,109.33,0,2,9,-998,-1,0,0,0,,,,,,,,,
37,1783378952965,206,205,0,0,0,0,0,0,63,66,10,0,75,109.23,0,2,9,-1000,-1,0,0,0,,,,,,,,,
38,1783378953067,308,308,0,0,0,0,0,0,63,66,10,0,75,109.19,0,1,9,-999,-1,0,0,0,,,,,,,,,
39,1783378953170,411,410,0,0,0,0,0,0,63,66,10,0,75,109.42,0,1,7,-999,-1,0,0,0,,,,,,,,,
40,1783378953273,514,514,0,0,0,0,0,0,63,66,10,0,75,109.35,0,0,7,-1001,-1,0,0,0,,,,,,,,,
41,1783378953375,616,616,0,0,0,0,0,0,63,66,10,0,75,109,0,1,7,-999,-1,0,0,0,,,,,,,,,
42,1783378953479,720,719,0,0,0,0,0,0,63,66,10,0,75,109.39,0,2,9,-999,-1,0,0,0,,,,,,,,,
43,1783378953580,821,821,0,0,0,0,0,0,63,66,10,0,75,109.42,0,0,8,-999,-1,0,0,0,,,,,,,,,
44,1783378953683,924,923,0,0,0,0,0,0,63,66,10,0,75,109.27,0,0,9,-1002,-1,0,0,0,,,,,,,,,
45,1783378953786,1027,1026,0,0,0,0,0,0,63,66,10,0,75,109.14,0,0,8,-1000,-1,0,0,0,,,,,,,,,
46,1783378953888,1129,1129,0,0,0,0,0,0,63,66,10,0,75,109.01,0,1,10,-1001,-1,0,0,0,,,,,,,,,
47,1783378953991,1232,1231,0,0,0,0,0,0,63,66,10,0,75,109.22,0,1,9,-998,-1,0,0,0,,,,,,,,,
48,1783378954093,1334,1334,0,0,0,0,0,0,63,66,10,0,75,109.34,0,2,8,-1001,-1,0,0,0,,,,,,,,,
49,1783378954196,1437,1436,0,0,0,0,0,0,64,66,10,0,75,109.22,0,1,8,-996,-1,0,0,0,,,,,,,,,
50,1783378954298,1539,1539,0,0,0,0,0,0,64,66,10,0,75,109.35,0,0,8,-999,-1,0,0,0,,,,,,,,,
51,1783378954401,1642,1641,0,0,0,0,0,0,64,66,10,0,75,109.25,0,1,9,-1000,-1,0,0,0,,,,,,,,,
52,1783378954507,1748,1747,0,0,0,0,0,0,64,66,10,0,75,109.43,0,1,8,-1002,-1,0,0,0,,,,,,,,,
