state_sequence,timestamp_ms,recording_elapsed_ms,steady_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_steady_elapsed_ms,rc_sequence
53,1783701970435,0,0,0,-2,-2,0,0,0,66,69,10,0,65,187.42,0,-2,44,-1001,-1,0,0,0,,,,,,,,,
54,1783701970537,102,102,0,-2,-2,0,0,0,66,69,10,0,65,187.14,0,-3,46,-999,-1,0,0,0,,,,,,,,,
55,1783701970639,204,203,0,-2,-2,0,0,0,66,69,10,0,65,187.65,0,-1,45,-998,-1,0,0,0,,,,,,,,,
56,1783701970741,306,305,0,-2,-2,0,0,0,66,69,10,0,65,187.2,0,-4,46,-997,-1,0,0,0,,,,,,,,,
57,1783701970843,408,407,0,-2,-2,0,0,0,66,69,10,0,65,187.42,0,-1,45,-1000,-1,0,0,0,,,,,,,,,
58,1783701970945,510,509,0,-2,-2,0,0,0,66,69,10,0,65,187.57,0,-2,47,-1000,-1,0,0,0,,,,,,,,,
59,1783701971047,612,611,0,-2,-2,0,0,0,66,69,10,0,65,187.74,0,-2,45,-998,-1,0,0,0,,,,,,,,,
60,1783701971149,714,714,0,-2,-2,0,0,0,66,69,10,0,65,187.39,0,-3,43,-996,-1,0,0,0,,,,,,,,,
61,1783701971251,816,815,0,-2,-2,0,0,0,66,69,10,0,65,187.57,0,-2,45,-996,-1,0,0,0,,,,,,,,,
62,1783701971353,918,917,0,-2,-2,0,0,0,66,68,10,0,65,187.49,0,-1,48,-997,-1,0,0,0,,,,,,,,,
63,1783701971455,1020,1019,0,-2,-2,0,0,0,66,68,10,0,65,187.43,0,-1,48,-1001,-1,0,0,0,,,,,,,,,
64,1783701971557,1122,1121,0,-2,-2,0,0,0,66,68,10,0,65,187.33,0,-3,47,-1000,-1,0,0,0,,,,,,,,,
65,1783701971659,1224,1223,0,-2,-2,0,0,0,66,68,10,0,65,187.3,0,-1,46,-999,-1,0,0,0,,,,,,,,,
66,1783701971761,1326,1326,0,-2,-2,0,0,0,66,68,10,0,65,187.45,0,-1,46,-997,-1,0,0,0,,,,,,,,,
67,1783701971864,1429,1429,0,-2,-2,0,0,0,66,68,10,0,65,187.52,0,-1,46,-998,-1,0,0,0,,,,,,,,,
68,1783701971969,1534,1534,0,-2,-2,0,0,0,66,68,10,0,65,187.48,0,-1,46,-1000,-1,0,0,0,,,,,,,,,
69,1783701972071,1636,1636,0,-2,-2,0,0,0,66,68,10,0,65,187.3,0,-2,44,-999,-1,0,0,0,,,,,,,,,
70,1783701972120,1685,1685,0,-2,-2,0,0,0,66,68,10,0,65,187.29,0,-2,45,-997,-1,0,0,0,,,,,,,,,
71,1783701972222,1787,1787,0,-2,-2,0,0,0,66,68,10,0,65,187.59,0,-2,45,-995,-1,0,0,0,,,,,,,,,
72,1783701972324,1889,1889,0,-2,-2,0,0,0,67,69,10,0,65,187.47,0,-1,46,-999,-1,0,0,0,,,,,,,,,
73,1783701972426,1991,1991,0,-2,-2,0,0,0,67,69,10,0,65,187.48,0,-2,48,-1001,-1,0,0,0,,,,,,,,,
74,1783701972528,2093,2093,0,-2,-2,0,0,0,67,69,10,0,65,187.58,0,-3,46,-1001,-1,0,0,0,,,,,,,,,
75,1783701972630,2195,2195,0,-2,-2,0,0,0,67,69,10,0,65,187.6,0,-3,46,-996,-1,0,0,0,,,,,,,,,
76,1783701972734,2299,2299,0,-2,-2,0,0,0,67,69,10,0,65,187.65,0,-3,46,-998,-1,0,0,0,,,,,,,,,
77,1783701972837,2402,2402,0,-2,-2,0,0,0,67,69,10,0,65,187.5,0,-2,46,-999,-1,0,0,0,,,,,,,,,
78,1783701972942,2507,2507,0,-2,-2,0,0,0,67,69,10,0,65,187.37,0,-1,44,-1002,-1,0,0,0,,,,,,,,,
79,1783701973040,2605,2604,0,-2,-2,0,0,0,67,69,10,0,65,187.46,0,-2,46,-1000,-1,0,0,0,,,,,,,,,
80,1783701973148,2713,2713,0,-2,-2,0,0,0,67,69,10,0,65,187.24,0,-3,45,-998,-1,0,0,0,,,,,,,,,
81,1783701973245,2810,2809,0,-2,-2,0,0,0,67,69,10,0,65,187.81,0,-3,45,-1000,-1,0,0,0,,,,,,,,,
82,1783701973346,2911,2911,0,-2,-2,0,0,0,67,69,10,0,65,187.45,0,-2,46,-1001,-1,0,0,0,,,,,,,,,
83,1783701973450,3015,3015,0,-2,-2,0,0,0,67,69,10,0,65,187.5,0,-3,46,-998,-1,0,0,0,,,,,,,,,
84,1783701973552,3117,3117,0,-2,-2,0,0,0,67,69,10,0,65,187.56,0,-3,46,-996,-1,0,0,0,,,,,,,,,
85,1783701973654,3219,3219,0,-2,-2,0,0,0,67,69,10,0,65,187.47,0,-3,46,-997,-1,0,0,0,,,,,,,,,
86,1783701973756,3321,3321,0,-2,-2,0,0,0,67,69,10,0,65,187.46,0,-2,48,-998,-1,0,0,0,,,,,,,,,
