state_sequence,timestamp_ms,recording_elapsed_ms,steady_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_steady_elapsed_ms,rc_sequence
70,1783702453913,0,0,0,-2,0,0,0,0,63,65,10,0,56,187.49,0,-4,44,-997,-1,0,0,0,,,,,,,,,
71,1783702454015,102,102,0,-2,0,0,0,0,63,65,10,0,56,187.54,0,-5,46,-995,-1,0,0,0,,,,,,,,,
72,1783702454117,204,203,0,-2,0,0,0,0,63,65,10,0,56,187.25,0,-4,46,-997,-1,0,0,0,,,,,,,,,
73,1783702454221,308,307,0,-2,0,0,0,0,63,65,10,0,56,187.33,0,-4,47,-998,-1,0,0,0,,,,,,,,,
74,1783702454271,358,357,0,-2,0,0,0,0,63,65,10,0,56,187.36,0,-2,46,-998,-1,0,0,0,,,,,,,,,
75,1783702454373,460,460,0,-2,0,0,0,0,63,65,10,0,56,187.54,0,-3,45,-998,-1,0,0,0,,,,,,,,,
76,1783702454475,562,562,0,-2,0,0,0,0,63,65,10,0,56,187.16,0,-2,46,-997,-1,0,0,0,,,,,,,,,
77,1783702454577,664,664,0,-2,0,0,0,0,63,65,10,0,56,187.36,0,-2,46,-996,-1,0,0,0,,,,,,,,,
78,1783702454679,766,765,0,-2,0,0,0,0,63,65,10,0,56,187.37,0,-3,47,-998,-1,0,0,0,,,,,,,,,
79,1783702454781,868,867,0,-2,0,0,0,0,63,65,10,0,56,187.75,0,-4,46,-995,-1,0,0,0,,,,,,,,,
80,1783702454883,970,969,0,-2,0,0,0,0,63,65,10,0,56,187.24,0,-3,44,-997,-1,0,0,0,,,,,,,,,
81,1783702454985,1072,1072,0,-2,0,0,0,0,63,65,10,0,56,187.84,0,-2,44,-998,-1,0,0,0,,,,,,,,,
82,1783702455090,1177,1177,0,-2,0,0,0,0,63,65,10,0,56,187.43,0,-2,46,-998,-1,0,0,0,,,,,,,,,
