state_sequence,timestamp_ms,recording_elapsed_ms,steady_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_steady_elapsed_ms,rc_sequence
54,1783704045164,0,0,0,0,-6,0,0,0,80,82,10,0,55,186.84,190,-3,7,-1001,-1,0,0,0,,,,,,,,,
55,1783704045264,100,100,0,0,-6,0,0,0,80,82,10,0,55,186.78,190,-3,8,-998,-1,0,0,0,,,,,,,,,
56,1783704045316,152,151,0,0,-6,0,0,0,80,82,10,0,55,186.47,190,-2,9,-1000,-1,0,0,0,,,,,,,,,
57,1783704045417,253,253,0,0,-6,0,0,0,80,82,10,0,55,186.58,190,-3,8,-999,-1,0,0,0,,,,,,,,,
58,1783704045521,357,357,0,0,-6,0,0,0,80,82,10,0,55,186.78,190,-2,7,-998,-1,0,0,0,,,,,,,,,
59,1783704045622,458,458,0,0,-6,0,0,0,80,82,10,0,55,186.79,190,-2,9,-998,-1,0,0,0,,,,,,,,,
60,1783704045724,560,560,0,0,-6,0,0,0,80,82,10,0,55,186.82,190,-2,7,-998,-1,0,0,0,,,,,,,,,
61,1783704045826,662,662,0,0,-6,0,0,0,80,82,10,0,55,186.58,190,-3,8,-998,-1,0,0,0,,,,,,,,,
62,1783704045928,764,764,0,0,-6,0,0,0,80,82,10,0,55,186.43,190,0,9,-1001,-1,0,0,0,,,,,,,,,
63,1783704046031,867,867,0,0,-6,0,0,0,80,82,10,0,55,186.6,190,-4,10,-1000,-1,0,0,0,,,,,,,,,
64,1783704046132,968,968,0,0,-6,0,0,0,80,82,10,0,55,186.54,190,-2,9,-998,-1,0,0,0,,,,,,,,,
65,1783704046234,1070,1070,0,0,-6,0,0,0,80,82,10,0,55,186.49,190,-2,9,-1000,-1,0,0,0,,,,,,,,,
66,1783704046336,1172,1172,0,0,-6,0,0,0,80,82,10,0,55,186.89,190,-2,8,-1000,-1,0,0,0,,,,,,,,,
67,1783704046438,1274,1274,0,0,-6,0,0,0,80,82,10,0,55,186.62,190,-1,8,-1000,-1,0,0,0,,,,,,,,,
68,1783704046540,1376,1376,0,0,-6,0,0,0,80,82,10,0,55,186.94,190,-2,9,-999,-1,0,0,0,,,,,,,,,
69,1783704046642,1478,1478,0,0,-6,0,0,0,80,82,10,0,55,186.79,190,-1,10,-1001,-1,0,0,0,,,,,,,,,
70,1783704046744,1580,1580,0,0,-6,0,0,0,80,82,10,0,55,186.76,190,-3,8,-1000,-1,0,0,0,,,,,,,,,
71,1783704046846,1682,1682,0,0,-6,0,0,0,80,82,10,0,55,186.61,190,-1,8,-1001,-1,0,0,0,,,,,,,,,
72,1783704046948,1784,1784,0,0,-6,0,0,0,80,82,10,0,55,186.76,190,-2,11,-1001,-1,0,0,0,,,,,,,,,
73,1783704047051,1887,1887,0,0,-6,0,0,0,80,82,10,0,55,186.72,190,-3,9,-1002,-1,0,0,0,,,,,,,,,
74,1783704047153,1989,1988,0,0,-6,0,0,0,80,82,10,0,55,186.67,190,-3,9,-1001,-1,0,0,0,,,,,,,,,
75,1783704047254,2090,2090,0,0,-6,0,0,0,80,82,10,0,55,186.5,190,-2,9,-998,-1,0,0,0,,,,,,,,,
76,1783704047369,2205,2205,0,0,-6,0,0,0,80,82,10,0,55,186.59,190,-2,9,-998,-1,0,0,0,,,,,,,,,
77,1783704047458,2294,2294,0,0,-6,0,0,0,80,82,10,0,55,186.8,190,-3,10,-1000,-1,0,0,0,,,,,,,,,
78,1783704047560,2396,2396,0,0,-6,0,0,0,80,83,10,0,55,186.41,190,-2,9,-998,-1,0,0,0,,,,,,,,,
79,1783704047662,2498,2498,0,0,-6,0,0,0,80,83,10,0,55,186.49,190,-3,10,-1001,-1,0,0,0,,,,,,,,,
80,1783704047764,2600,2600,0,0,-6,0,0,0,80,83,10,0,55,186.94,190,-2,7,-1000,-1,0,0,0,,,,,,,,,
81,1783704047866,2702,2702,0,0,-6,0,0,0,80,83,10,0,55,186.83,190,-1,7,-997,-1,0,0,0,,,,,,,,,
82,1783704047968,2804,2804,0,0,-6,0,0,0,80,83,10,0,55,186.56,190,-2,9,-998,-1,0,0,0,,,,,,,,,
83,1783704048070,2906,2906,0,0,-6,0,0,0,80,83,10,0,55,187.03,190,-1,9,-1000,-1,0,0,0,,,,,,,,,
84,1783704048172,3008,3008,0,0,-6,0,0,0,80,83,10,0,55,186.74,190,-3,9,-1001,-1,0,0,0,,,,,,,,,
