state_sequence,timestamp_ms,recording_elapsed_ms,steady_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_steady_elapsed_ms,rc_sequence
518,1783613672105,0,0,0,0,0,0,0,0,75,77,10,0,89,188.78,0,0,0,-1000,-1,0,0,0,,,,,,,,,
519,1783613672199,94,93,0,0,0,0,0,0,75,78,10,0,89,188.98,0,0,0,-1001,-1,0,0,0,,,,,,,,,
520,1783613672293,188,187,0,0,0,0,0,0,75,78,10,0,89,188.92,0,1,1,-1000,-1,0,0,0,,,,,,,,,
521,1783613672387,282,281,0,0,0,0,0,0,75,78,10,0,89,188.89,0,0,0,-999,-1,0,0,0,,,,,,,,,
522,1783613672485,380,380,0,0,0,0,0,0,75,78,10,0,89,188.87,0,1,-1,-998,-1,0,0,0,,,,,,,,,
523,1783613672575,470,469,0,0,0,0,0,0,75,78,10,0,89,188.74,0,1,0,-1001,-1,0,0,0,,,,,,,,,
524,1783613672669,564,563,0,0,0,0,0,0,75,78,10,0,89,188.85,0,-1,1,-1001,-1,0,0,0,,,,,,,,,
525,1783613672763,658,657,0,0,0,0,0,0,75,78,10,0,89,188.7,0,0,0,-1001,-1,0,0,0,,,,,,,,,
526,1783613672856,751,751,0,0,0,0,0,0,75,78,10,0,89,188.84,0,0,-1,-999,-1,0,0,0,,,,,,,,,
527,1783613672951,846,845,0,0,0,0,0,0,75,78,10,0,89,189.24,0,1,0,-1002,-1,0,0,0,,,,,,,,,
528,1783613673051,946,945,0,0,0,0,0,0,75,78,10,0,89,188.98,0,0,0,-999,-1,0,0,0,,,,,,,,,
529,1783613673143,1038,1037,0,0,0,0,0,0,75,77,10,0,89,188.99,0,1,0,-1000,-1,0,0,0,,,,,,,,,
530,1783613673234,1129,1129,0,0,0,0,0,0,75,77,10,0,89,188.75,0,0,0,-1002,-1,0,0,0,,,,,,,,,
531,1783613673328,1223,1223,0,0,0,0,0,0,75,77,10,0,89,188.84,0,0,0,-999,-1,0,0,0,,,,,,,,,
532,1783613673421,1316,1315,0,0,0,0,0,0,75,77,10,0,89,188.94,0,1,0,-1001,-1,0,0,0,,,,,,,,,
533,1783613673515,1410,1409,0,0,0,0,0,0,75,77,10,0,89,188.85,0,2,1,-999,-1,0,0,0,,,,,,,,,
534,1783613673609,1504,1504,0,0,0,0,0,0,75,77,10,0,89,188.92,0,0,2,-1000,-1,0,0,0,,,,,,,,,
535,1783613673656,1551,1550,0,0,0,0,0,0,75,77,10,0,89,188.77,0,0,0,-999,-1,0,0,0,,,,,,,,,
536,1783613673755,1650,1650,0,0,0,0,0,0,75,77,10,0,89,189.06,0,0,0,-999,-1,0,0,0,,,,,,,,,
537,1783613673882,1777,1776,0,0,0,0,0,0,75,77,10,0,89,189.06,0,0,0,-1000,-1,0,0,0,,,,,,,,,
538,1783613673978,1873,1872,0,0,0,0,0,0,75,77,10,0,89,188.65,0,0,1,-1000,-1,0,0,0,,,,,,,,,
539,1783613674115,2010,2009,0,0,0,0,0,0,75,77,10,0,89,188.88,0,0,-1,-1000,-1,0,0,0,,,,,,,,,
540,1783613674260,2155,2154,0,0,0,0,0,0,75,77,10,0,89,188.81,0,0,0,-1000,-1,0,0,0,,,,,,,,,
541,1783613674610,2505,2504,0,0,0,0,0,0,75,77,10,0,89,188.93,0,0,0,-999,-1,0,0,0,,,,,,,,,
542,1783613674752,2647,2646,0,0,0,0,0,0,75,77,10,0,89,188.75,0,1,0,-998,-1,0,0,0,,,,,,,,,
543,1783613674753,2648,2648,0,0,0,0,0,0,75,77,10,0,89,189.18,0,0,-1,-999,-1,0,0,0,,,,,,,,,
544,1783613674843,2738,2737,0,0,0,0,0,0,75,77,10,0,89,188.77,0,0,0,-1001,-1,0,0,0,,,,,,,,,
545,1783613674847,2742,2741,0,0,0,0,0,0,75,77,10,0,89,188.85,0,0,0,-997,-1,0,0,0,,,,,,,,,
546,1783613674914,2809,2808,0,0,0,0,0,0,75,77,10,0,89,188.78,0,0,0,-999,-1,0,0,0,,,,,,,,,
547,1783613675057,2952,2951,0,0,0,0,0,0,75,77,10,0,89,189.15,0,1,3,-1001,-1,0,0,0,,,,,,,,,
548,1783613675145,3040,3039,0,0,0,0,0,0,75,77,10,0,89,188.79,0,1,0,-999,-1,0,0,0,,,,,,,,,
549,1783613675151,3046,3045,0,0,0,0,0,0,76,77,10,0,89,188.75,0,-1,0,-999,-1,0,0,0,,,,,,,,,
550,1783613675386,3281,3281,0,0,0,0,0,0,76,77,10,0,89,188.69,0,1,0,-998,-1,0,0,0,,,,,,,,,
551,1783613675649,3544,3544,0,0,0,0,0,0,76,77,10,0,89,188.65,0,0,2,-1000,-1,0,0,0,,,,,,,,,
552,1783613675697,3592,3592,0,0,0,0,0,0,76,77,10,0,89,188.98,0,0,0,-1001,-1,0,0,0,,,,,,,,,
553,1783613675725,3620,3619,0,0,0,0,0,0,76,77,10,0,89,188.98,0,2,-1,-1001,-1,0,0,0,,,,,,,,,
554,1783613675727,3622,3621,0,0,0,0,0,0,76,77,10,0,89,188.82,0,0,1,-999,-1,0,0,0,,,,,,,,,
555,1783613675729,3624,3623,0,0,0,0,0,0,76,77,10,0,89,188.88,0,0,-1,-1000,-1,0,0,0,,,,,,,,,
556,1783613675763,3658,3658,0,0,0,0,0,0,76,77,10,0,89,188.86,0,0,0,-1001,-1,0,0,0,,,,,,,,,
557,1783613676039,3934,3933,0,0,0,0,0,0,76,77,10,0,89,188.83,0,1,1,-998,-1,0,0,0,,,,,,,,,
558,1783613676055,3950,3949,0,0,0,0,0,0,76,77,10,0,89,188.75,0,0,0,-999,-1,0,0,0,,,,,,,,,
559,1783613676117,4012,4012,0,0,0,0,0,0,76,78,10,0,89,188.8,0,0,0,-999,-1,0,0,0,,,,,,,,,
560,1783613676188,4083,4082,0,0,0,0,0,0,76,78,10,0,89,188.99,0,0,0,-997,-1,0,0,0,,,,,,,,,
561,1783613676300,4195,4194,0,0,0,0,0,0,76,78,10,0,89,189.07,0,0,0,-1000,-1,0,0,0,,,,,,,,,
562,1783613676398,4293,4292,0,0,0,0,0,0,76,78,10,0,89,188.92,0,0,0,-1000,-1,0,0,0,,,,,,,,,
563,1783613676466,4361,4360,0,0,0,0,0,0,76,78,10,0,89,188.81,0,0,0,-999,-1,0,0,0,,,,,,,,,
564,1783613676527,4422,4422,0,0,0,0,0,0,76,78,10,0,89,189.06,0,0,0,-999,-1,0,0,0,,,,,,,,,
565,1783613676597,4492,4491,0,0,0,0,0,0,76,78,10,0,89,188.88,0,0,0,-1000,-1,0,0,0,,,,,,,,,
