test_id,scenario,notes,run_mode,elapsed_ms,attempt,command_samples,command_successes,command_failures,command_latency_ms_avg,command_latency_ms_min,command_latency_ms_max,last_command_latency_ms,command_attempt_count,command_retry_count,command_timeout_count,command_client_total_ms,command_ensure_sdk_ms,command_executor_total_ms,command_send_ms,command_recv_wait_ms,command_parse_ms,command_executor_recv_wait_total_ms,command_executor_internal_total_ms,command_recovery_ms,command_executor_calls,command_recovery_count,last_command,last_response,last_command_result,command_source,command_executor_last_error,command_executor_attempt_log,command_internal_attempt_log,telemetry_packets_total,telemetry_packets_valid,telemetry_packets_invalid,telemetry_timeouts,telemetry_errors,telemetry_hz_instant,telemetry_hz_ema,telemetry_age_ms,telemetry_interarrival_ms,telemetry_max_interarrival_ms,telemetry_last_gap_ms,telemetry_last_gap_sequence,telemetry_gap_events_300ms,telemetry_gap_events_500ms,telemetry_gap_events_1000ms,telemetry_quality,telemetry_quality_score,telemetry_state_available,telemetry_h,telemetry_tof,telemetry_baro,telemetry_vgz,telemetry_bat,telemetry_templ,telemetry_temph,video_packets_total,video_bytes_total,video_timeouts,video_errors,video_pps_instant,video_pps_ema,video_age_ms,video_packet_delta,video_interarrival_ms,video_max_interarrival_ms,video_last_gap_ms,video_last_gap_sequence,video_gap_events_300ms,video_gap_events_500ms,video_gap_events_1000ms,video_quality,video_quality_score,nal_packets_in,nal_bytes_in,nal_units,nal_sps,nal_pps,nal_idr,nal_non_idr,nal_other,nal_decode_gated,nal_resyncs,nal_buffered_bytes,decoder_nals_in,decoder_packets_sent,decoder_frames_decoded,decoder_errors,decoder_fps_ema,frame_width,frame_height,keyframes,paused,overlay_enabled,recovery_attempted,recovery_result,recovery_hard,recovery_stage,recovery_command_channel_available,event,log_timestamp,log_message,connection_state,last_outage_failures,plot_metric,state_sequence_delta,state_receiver_running,rc_stream_active,rc_left_right,rc_forward_back,rc_up_down,rc_yaw,keepalive_running,auto_refresh_active,critical_command_active,pause_keepalive_ms,neutral_rc_ms,critical_command_ms,gui_vision_tick_delay_ms,gui_state_tick_delay_ms,vision_refresh_duration_ms,state_refresh_duration_ms,frame_convert_ms,frame_scale_ms,plot_paint_ms,vision_frame_mutex_wait_ms,state_history_fetch_ms,command_mutex_wait_ms,ui_frames_converted,ui_frames_dropped,ui_frames_displayed,plot_samples_displayed,keepalive_tick_total,keepalive_success_total,keepalive_failure_total,keepalive_skipped_busy_total,keepalive_skipped_uninitialized_total,keepalive_last_command,keepalive_last_response,keepalive_last_result,keepalive_last_latency_ms,keepalive_last_success_age_ms,keepalive_last_tick_age_ms
,gui,,CONTROL_PANEL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,1438,1438,0,45,0,2.76144,201.093,159,362,46822,362,1438,13,6,1,DEGRADED,60,1,70,105,170.07,0,72,74,77,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-07-04T21:30:39.149,recording cleared,CONNECTED,0,pitch,0,1,1,0,0,0,0,0,0,0,0,0,0,124,249,1,0,0,0,1,0,0,0,871,2673,835,300,3,3,0,0,0,battery?,91,OK,36,55375,55375
,gui,,CONTROL_PANEL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,1438,1438,0,45,0,2.76144,201.093,159,362,46822,362,1438,13,6,1,DEGRADED,60,1,70,105,170.07,0,72,74,77,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,logging:clear,,,CONNECTED,0,pitch,0,1,1,0,0,0,0,0,0,0,0,0,0,124,249,1,0,0,0,1,0,0,0,871,2673,835,300,3,3,0,0,0,battery?,91,OK,36,55375,55375
,gui,,CONTROL_PANEL,1083,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,1453,1453,0,45,0,10.392,56.8485,93,96,46822,347,1445,14,6,1,OK,100,1,80,106,169.9,0,72,75,77,3617,28060404,0,0,0,36.7497,17,67,-1,0,0,0,0,0,0,OK,100,3617,28060404,3590,0,0,0,0,0,0,0,0,0,0,3590,3,36.7497,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,pitch,15,1,1,0,0,0,0,0,0,0,0,0,0,124,249,1,0,0,0,1,0,0,0,879,2711,842,300,3,3,0,0,0,battery?,91,OK,36,56457,56457
,gui,,CONTROL_PANEL,2208,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,1465,1465,0,45,0,10.3466,13.5494,59,96,46822,347,1445,14,6,1,OK,100,1,70,105,169.82,0,72,75,77,3653,28210453,0,0,0,32.0008,6,36,-1,0,0,0,0,0,0,OK,100,3653,28210453,3626,0,0,0,0,0,0,0,0,0,0,3626,3,32.0008,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,pitch,12,1,1,0,0,0,0,0,0,0,0,0,0,125,250,1,0,0,0,1,0,0,0,889,2737,851,300,3,3,0,0,0,battery?,91,OK,36,57582,57582
,gui,,CONTROL_PANEL,3208,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,1476,1476,0,45,0,29.5424,18.7707,18,33,46822,347,1445,14,6,1,OK,100,1,70,103,169.74,0,72,75,78,3684,28341015,0,0,0,93.6335,4,31,-1,0,0,0,0,0,0,OK,100,3684,28341015,3657,0,0,0,0,0,0,0,0,0,0,3657,3,93.6335,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,pitch,11,1,1,0,0,0,0,0,0,0,0,0,0,125,250,0,0,0,0,1,0,0,0,896,2761,858,300,3,3,0,0,0,battery?,91,OK,36,58582,58582
,gui,,CONTROL_PANEL,4333,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,1486,1486,0,45,0,61.6385,22.5347,134,16,46822,347,1445,14,6,1,OK,100,1,70,99,169.98,0,72,75,77,3715,28471742,0,0,0,91.9892,106,31,-1,0,0,0,0,0,0,OK,100,3715,28471742,3688,0,0,0,0,0,0,0,0,0,0,3688,3,91.9892,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,pitch,10,1,1,0,0,0,0,0,0,0,0,0,0,125,249,1,0,0,0,1,0,0,0,903,2785,866,300,3,3,0,0,0,battery?,91,OK,36,59707,59707
,gui,,CONTROL_PANEL,5457,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,1500,1500,0,45,0,11.5951,332.296,9,86,46822,489,1488,15,6,1,OK,100,1,70,99,169.76,0,72,75,77,3754,28635176,0,0,0,188.297,17,39,-1,0,0,0,0,0,0,OK,100,3754,28635176,3726,0,0,0,0,0,0,0,0,0,0,3726,3,188.297,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,pitch,14,1,1,0,0,0,0,0,0,0,0,0,0,125,250,1,0,0,0,1,0,0,0,909,2817,871,300,3,3,0,0,0,battery?,91,OK,36,60832,60832
,gui,,CONTROL_PANEL,6582,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,1512,1512,0,45,0,10.6249,34.3033,45,94,46822,489,1488,15,6,1,OK,100,1,70,103,169.94,0,72,75,78,3790,28785423,0,0,0,33.3677,12,36,-1,0,0,0,0,0,0,OK,100,3790,28785423,3763,0,0,0,0,0,0,0,0,0,0,3763,3,33.3677,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,pitch,12,1,1,0,0,0,0,0,0,0,0,0,0,124,250,1,0,0,0,1,0,0,0,918,2845,880,300,3,3,0,0,0,battery?,91,OK,36,61956,61956
,gui,,CONTROL_PANEL,7583,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,1523,1523,0,45,0,10.5974,12.6392,9,94,46822,489,1488,15,6,1,OK,100,1,80,110,169.88,0,71,75,77,3822,28918877,0,0,0,33.6776,31,32,-1,0,0,0,0,0,0,OK,100,3822,28918877,3795,0,0,0,0,0,0,0,0,0,0,3795,3,33.6776,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,pitch,11,1,1,0,0,0,0,0,0,0,0,0,0,125,249,1,0,0,0,1,0,0,0,926,2869,888,300,3,3,0,0,0,battery?,91,OK,36,62957,62957
,gui,,CONTROL_PANEL,8708,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,1535,1535,0,45,0,10.5913,10.7541,0,94,46822,489,1488,15,6,1,OK,100,1,80,108,169.77,0,71,75,77,3859,29072983,0,0,0,32.8453,12,37,-1,0,0,0,0,0,0,OK,100,3859,29072983,3832,0,0,0,0,0,0,0,0,0,0,3832,3,32.8453,960,720,0,0,1,0,OK,0,,0,vision:ffmpeg_stream,,,CONNECTED,0,pitch,12,1,1,0,0,0,0,0,0,0,0,0,0,125,249,1,0,0,0,1,0,0,0,935,2897,897,300,3,3,0,0,0,battery?,91,OK,36,64082,64082
