state_sequence,timestamp_ms,recording_elapsed_ms,steady_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_steady_elapsed_ms,rc_sequence
24,1783217639614,0,0,0,0,0,0,0,0,71,72,10,0,61,165.37,0,0,5,-1001,-1,0,0,0,,,,,,,,,
25,1783217639713,99,99,0,0,0,0,0,0,71,72,10,0,61,165.36,0,1,7,-1000,-1,0,0,0,,,,,,,,,
26,1783217639824,210,210,0,0,0,0,0,0,71,72,10,0,61,165.48,0,0,5,-999,-1,0,0,0,,,,,,,,,
27,1783217639898,284,284,0,0,0,0,0,0,71,72,10,0,61,165.23,0,2,6,-999,-1,0,0,0,,,,,,,,,
28,1783217640006,392,391,0,0,0,0,0,0,70,73,10,0,61,165.07,0,1,5,-1003,-1,0,0,0,,,,,,,,,
29,1783217640091,477,477,0,0,0,0,0,0,70,73,10,0,61,165.17,0,1,5,-1000,-1,0,0,0,,,,,,,,,
30,1783217640187,573,573,0,0,0,0,0,0,70,73,10,0,61,165.59,0,1,4,-998,-1,0,0,0,,,,,,,,,
31,1783217640283,669,669,0,0,0,0,0,0,70,73,10,0,61,165.39,0,1,6,-1001,-1,0,0,0,,,,,,,,,
32,1783217640379,765,765,0,0,0,0,0,0,70,73,10,0,61,165.55,0,1,5,-999,-1,0,0,0,,,,,,,,,
33,1783217640475,861,861,0,0,0,0,0,0,70,73,10,0,61,165.49,0,0,5,-998,-1,0,0,0,,,,,,,,,
34,1783217640524,910,909,0,0,0,0,0,0,70,73,10,0,61,165.23,0,2,5,-1000,-1,0,0,0,,,,,,,,,
35,1783217640620,1006,1006,0,0,0,0,0,0,70,73,10,0,61,165.47,0,1,5,-1000,-1,0,0,0,,,,,,,,,
36,1783217640716,1102,1102,0,0,0,0,0,0,70,73,10,0,61,165.16,0,0,5,-999,-1,0,0,0,,,,,,,,,
37,1783217640812,1198,1198,0,0,0,0,0,0,70,73,10,0,61,165.44,0,1,6,-998,-1,0,0,0,,,,,,,,,
38,1783217640908,1294,1294,0,0,0,0,0,0,71,73,10,0,61,165.18,0,1,5,-997,-1,0,0,0,,,,,,,,,
39,1783217641004,1390,1390,0,0,0,0,0,0,71,73,10,0,61,165.2,0,1,6,-1000,-1,0,0,0,,,,,,,,,
40,1783217641101,1487,1486,0,0,0,0,0,0,71,73,10,0,61,165.37,0,2,5,-1001,-1,0,0,0,,,,,,,,,
41,1783217641197,1583,1583,0,0,0,0,0,0,71,73,10,0,61,165.53,0,2,4,-997,-1,0,0,0,,,,,,,,,
42,1783217641294,1680,1680,0,0,0,0,0,0,71,73,10,0,61,165.23,0,2,5,-999,-1,0,0,0,,,,,,,,,
43,1783217641389,1775,1775,0,0,0,0,0,0,71,73,10,0,61,165.37,0,3,6,-1000,-1,0,0,0,,,,,,,,,
44,1783217641486,1872,1872,0,0,0,0,0,0,71,73,10,0,61,165.52,0,1,6,-999,-1,0,0,0,,,,,,,,,
45,1783217641582,1968,1968,0,0,0,0,0,0,71,73,10,0,61,165.41,0,0,6,-998,-1,0,0,0,,,,,,,,,
46,1783217641678,2064,2064,0,0,0,0,0,0,71,73,10,0,61,165.4,0,2,6,-997,-1,0,0,0,,,,,,,,,
47,1783217641774,2160,2160,0,0,0,0,0,0,71,73,10,0,61,165.38,0,0,5,-996,-1,0,0,0,,,,,,,,,
48,1783217641870,2256,2256,0,0,0,0,0,0,71,73,10,0,61,165.2,0,2,5,-998,-1,0,0,0,,,,,,,,,
49,1783217641966,2352,2352,0,0,0,0,0,0,71,73,10,0,61,165.32,0,1,6,-998,-1,0,0,0,,,,,,,,,
50,1783217642063,2449,2448,0,0,0,0,0,0,71,73,10,0,61,165.35,0,2,5,-998,-1,0,0,0,,,,,,,,,
51,1783217642159,2545,2544,0,0,0,0,0,0,71,73,10,0,60,165.47,0,3,5,-999,-1,0,0,0,,,,,,,,,
52,1783217642257,2643,2643,0,0,0,0,0,0,71,73,10,0,60,165.28,0,2,6,-999,-1,0,0,0,,,,,,,,,
53,1783217642351,2737,2737,0,0,0,0,0,0,71,73,10,0,60,165.26,0,0,7,-998,-1,0,0,0,,,,,,,,,
54,1783217642447,2833,2833,0,0,0,0,0,0,71,73,10,0,60,165.43,0,3,6,-999,-1,0,0,0,,,,,,,,,
55,1783217642543,2929,2929,0,0,0,0,0,0,71,73,10,0,60,165.43,0,2,6,-998,-1,0,0,0,,,,,,,,,
56,1783217642640,3026,3025,0,0,0,0,0,0,71,73,10,0,60,165.45,0,2,5,-997,-1,0,0,0,,,,,,,,,
57,1783217642736,3122,3122,0,0,0,0,0,0,71,73,10,0,60,165.24,0,1,7,-999,-1,0,0,0,,,,,,,,,
58,1783217642832,3218,3218,0,0,0,0,0,0,71,73,10,0,60,165.34,0,2,5,-998,-1,0,0,0,,,,,,,,,
59,1783217642928,3314,3314,0,0,0,0,0,0,71,73,10,0,60,165.25,0,1,5,-1000,-1,0,0,0,,,,,,,,,
60,1783217643024,3410,3410,0,0,0,0,0,0,71,73,10,0,60,165.34,0,1,6,-999,-1,0,0,0,,,,,,,,,
61,1783217643124,3510,3510,0,0,0,0,0,0,71,73,10,0,60,165.37,0,1,5,-1001,-1,0,0,0,,,,,,,,,
62,1783217643218,3604,3604,0,0,0,0,0,0,71,73,10,0,60,165.17,0,2,5,-1000,-1,0,0,0,,,,,,,,,
63,1783217643313,3699,3699,0,0,0,0,0,0,71,73,10,0,60,165.3,0,1,6,-998,-1,0,0,0,,,,,,,,,
64,1783217643409,3795,3795,0,0,0,0,0,0,71,73,10,0,60,165.02,0,2,5,-998,-1,0,0,0,,,,,,,,,
65,1783217643505,3891,3891,0,0,0,0,0,0,71,73,10,0,60,165.52,0,1,5,-1000,-1,0,0,0,,,,,,,,,
66,1783217643553,3939,3939,0,0,0,0,0,0,71,73,10,0,60,165.44,0,2,6,-1002,-1,0,0,0,,,,,,,,,
67,1783217643650,4036,4035,0,0,0,0,0,0,71,73,10,0,60,165.37,0,1,6,-999,-1,0,0,0,,,,,,,,,
68,1783217643794,4180,4180,0,0,0,0,0,0,72,74,10,0,60,165.08,0,1,5,-998,-1,0,0,0,,,,,,,,,
69,1783217643843,4229,4229,0,0,0,0,0,0,72,74,10,0,60,165.3,0,1,6,-1000,-1,0,0,0,,,,,,,,,
70,1783217643939,4325,4325,0,0,0,0,0,0,72,74,10,0,60,165.65,0,0,5,-998,-1,0,0,0,,,,,,,,,
71,1783217644034,4420,4420,0,0,0,0,0,0,72,74,10,0,60,165.32,0,2,4,-1001,-1,0,0,0,,,,,,,,,
72,1783217644131,4517,4517,0,0,0,0,0,0,72,74,10,0,60,165.33,0,1,5,-1001,-1,0,0,0,,,,,,,,,
73,1783217644227,4613,4612,0,0,0,0,0,0,72,74,10,0,60,165.37,0,2,5,-1001,-1,0,0,0,,,,,,,,,
74,1783217644324,4710,4710,0,0,0,0,0,0,72,74,10,0,60,165.39,0,3,5,-1001,-1,0,0,0,,,,,,,,,
75,1783217644421,4807,4806,0,0,0,0,0,0,72,74,10,0,60,165.35,0,1,5,-997,-1,0,0,0,,,,,,,,,
76,1783217644515,4901,4901,0,0,0,0,0,0,72,74,10,0,60,165.12,0,2,6,-998,-1,0,0,0,,,,,,,,,
77,1783217644611,4997,4997,0,0,0,0,0,0,72,74,10,0,60,165.26,0,1,6,-999,-1,0,0,0,,,,,,,,,
78,1783217644708,5094,5093,0,0,0,0,0,0,73,74,10,0,60,165.47,0,2,6,-1003,-1,0,0,0,,,,,,,,,
79,1783217644804,5190,5190,0,0,0,0,0,0,73,74,10,0,60,165.65,0,1,5,-998,-1,0,0,0,,,,,,,,,
80,1783217644901,5287,5287,0,0,0,0,0,0,73,74,10,0,60,165.35,0,2,5,-999,-1,0,0,0,,,,,,,,,
81,1783217644996,5382,5382,0,0,0,0,0,0,73,74,10,0,60,165.38,0,2,6,-1001,-1,0,0,0,,,,,,,,,
82,1783217645092,5478,5478,0,0,0,0,0,0,73,74,10,0,60,165.44,0,3,5,-1001,-1,0,0,0,,,,,,,,,
83,1783217645189,5575,5574,0,0,0,0,0,0,73,74,10,0,60,165.49,0,1,5,-1002,-1,0,0,0,,,,,,,,,
84,1783217645285,5671,5671,0,0,0,0,0,0,73,74,10,0,60,165.59,0,2,4,-999,-1,0,0,0,,,,,,,,,
85,1783217645381,5767,5767,0,0,0,0,0,0,73,74,10,0,60,165.15,0,1,6,-998,-1,0,0,0,,,,,,,,,
86,1783217645477,5863,5863,0,0,0,0,0,0,73,74,10,0,60,165.55,0,1,5,-1000,-1,0,0,0,,,,,,,,,
87,1783217645573,5959,5959,0,0,0,0,0,0,73,74,10,0,60,165.25,0,1,6,-998,-1,0,0,0,,,,,,,,,
88,1783217645670,6056,6055,0,0,0,0,0,0,72,74,10,0,60,165.1,0,3,4,-999,-1,0,0,0,,,,,,,,,
89,1783217645767,6153,6152,0,0,0,0,0,0,72,74,10,0,60,165.24,0,3,7,-1000,-1,0,0,0,,,,,,,,,
90,1783217645864,6250,6250,0,0,0,0,0,0,72,74,10,0,60,165.34,0,2,5,-1000,-1,0,0,0,,,,,,,,,
91,1783217645958,6344,6344,0,0,0,0,0,0,72,74,10,0,60,165.28,0,3,5,-998,-1,0,0,0,,,,,,,,,
92,1783217646054,6440,6440,0,0,0,0,0,0,72,74,10,0,60,165.19,0,3,6,-996,-1,0,0,0,,,,,,,,,
93,1783217646150,6536,6536,0,0,0,0,0,0,72,74,10,0,60,165.52,0,1,5,-998,-1,0,0,0,,,,,,,,,
94,1783217646247,6633,6633,0,0,0,0,0,0,72,74,10,0,60,165.38,0,1,6,-999,-1,0,0,0,,,,,,,,,
95,1783217646343,6729,6729,0,0,0,0,0,0,72,74,10,0,60,165.39,0,1,6,-997,-1,0,0,0,,,,,,,,,
96,1783217646440,6826,6826,0,0,0,0,0,0,72,74,10,0,60,165.34,0,2,5,-997,-1,0,0,0,,,,,,,,,
97,1783217646535,6921,6921,0,0,0,0,0,0,72,74,10,0,60,165.38,0,1,6,-999,-1,0,0,0,,,,,,,,,
98,1783217646633,7019,7019,0,0,0,0,0,0,72,75,10,0,60,165.3,0,0,5,-1000,-1,0,0,0,,,,,,,,,
99,1783217646728,7114,7113,0,0,0,0,0,0,72,75,10,0,60,164.97,0,1,6,-999,-1,0,0,0,,,,,,,,,
100,1783217646824,7210,7210,0,0,0,0,0,0,72,75,10,0,60,165.38,0,2,4,-998,-1,0,0,0,,,,,,,,,
101,1783217646872,7258,7258,0,0,0,0,0,0,72,75,10,0,60,165.53,0,2,5,-1001,-1,0,0,0,,,,,,,,,
102,1783217646969,7355,7354,0,0,0,0,0,0,72,75,10,0,60,165.54,0,2,4,-998,-1,0,0,0,,,,,,,,,
103,1783217647064,7450,7450,0,0,0,0,0,0,72,75,10,0,60,165.34,0,1,6,-1000,-1,0,0,0,,,,,,,,,
104,1783217647161,7547,7546,0,0,0,0,0,0,72,75,10,0,60,165.4,0,1,6,-999,-1,0,0,0,,,,,,,,,
105,1783217647257,7643,7643,0,0,0,0,0,0,72,75,10,0,60,165.54,0,2,4,-999,-1,0,0,0,,,,,,,,,
106,1783217647353,7739,7739,0,0,0,0,0,0,72,75,10,0,60,165.46,0,1,6,-996,-1,0,0,0,,,,,,,,,
107,1783217647450,7836,7836,0,0,0,0,0,0,72,75,10,0,60,165.14,0,1,7,-1000,-1,0,0,0,,,,,,,,,
108,1783217647545,7931,7931,0,0,0,0,0,0,71,75,10,0,60,165.39,0,1,7,-1000,-1,0,0,0,,,,,,,,,
109,1783217647643,8029,8029,0,0,0,0,0,0,71,75,10,0,60,165.4,0,1,5,-998,-1,0,0,0,,,,,,,,,
110,1783217647738,8124,8123,0,0,0,0,0,0,71,75,10,0,60,165.28,0,1,6,-999,-1,0,0,0,,,,,,,,,
111,1783217647834,8220,8220,0,0,0,0,0,0,71,75,10,0,60,165.14,0,3,7,-997,-1,0,0,0,,,,,,,,,
112,1783217647931,8317,8317,0,0,0,0,0,0,71,75,10,0,60,165.29,0,1,6,-997,-1,0,0,0,,,,,,,,,
113,1783217648026,8412,8412,0,0,0,0,0,0,71,75,10,0,60,165.95,0,2,6,-998,-1,0,0,0,,,,,,,,,
114,1783217648122,8508,8508,0,0,0,0,0,0,71,75,10,0,60,165.46,0,2,5,-997,-1,0,0,0,,,,,,,,,
115,1783217648220,8606,8606,0,0,0,0,0,0,71,75,10,0,60,165.27,0,2,5,-1001,-1,0,0,0,,,,,,,,,
