test_id,scenario,notes,run_mode,elapsed_ms,attempt,command_samples,command_successes,command_failures,command_latency_ms_avg,command_latency_ms_min,command_latency_ms_max,last_command_latency_ms,last_command_elapsed_ms,last_command_age_ms,command_attempt_count,command_retry_count,command_timeout_count,command_client_total_ms,command_ensure_sdk_ms,command_executor_total_ms,command_send_ms,command_recv_wait_ms,command_parse_ms,command_executor_recv_wait_total_ms,command_executor_internal_total_ms,command_recovery_ms,command_executor_calls,command_recovery_count,last_command,last_response,last_command_result,command_source,command_executor_last_error,command_executor_attempt_log,command_internal_attempt_log,telemetry_packets_total,telemetry_packets_valid,telemetry_packets_invalid,telemetry_timeouts,telemetry_errors,telemetry_hz_instant,telemetry_hz_ema,telemetry_age_ms,telemetry_interarrival_ms,telemetry_max_interarrival_ms,telemetry_last_gap_ms,telemetry_last_gap_sequence,telemetry_gap_events_300ms,telemetry_gap_events_500ms,telemetry_gap_events_1000ms,telemetry_quality,telemetry_quality_score,telemetry_state_available,telemetry_h,telemetry_tof,telemetry_baro,telemetry_vgz,telemetry_bat,telemetry_templ,telemetry_temph,video_packets_total,video_bytes_total,video_timeouts,video_errors,video_pps_instant,video_pps_ema,video_age_ms,video_packet_delta,video_interarrival_ms,video_max_interarrival_ms,video_last_gap_ms,video_last_gap_sequence,video_gap_events_300ms,video_gap_events_500ms,video_gap_events_1000ms,video_quality,video_quality_score,link_quality,link_quality_score,link_safe_for_nonzero_rc,link_quality_reason,link_telemetry_quality,link_video_quality,link_command_quality,link_rc_quality,rc_packet_gap_ms,rc_expected_period_ms,rc_blackout_count,rc_last_nonzero_age_ms,rc_safety_override_active,nal_packets_in,nal_bytes_in,nal_units,nal_sps,nal_pps,nal_idr,nal_non_idr,nal_other,nal_decode_gated,nal_resyncs,nal_buffered_bytes,decoder_nals_in,decoder_packets_sent,decoder_frames_decoded,decoder_errors,decoder_fps_ema,frame_width,frame_height,keyframes,paused,overlay_enabled,recovery_attempted,recovery_result,recovery_hard,recovery_stage,recovery_command_channel_available,event,log_timestamp,log_message,connection_state,last_outage_failures,plot_metric,state_sequence_delta,state_receiver_running,rc_stream_active,rc_left_right,rc_forward_back,rc_up_down,rc_yaw,keepalive_running,auto_refresh_active,critical_command_active,pause_keepalive_ms,neutral_rc_ms,critical_command_ms,gui_vision_tick_delay_ms,gui_state_tick_delay_ms,vision_refresh_duration_ms,state_refresh_duration_ms,frame_convert_ms,frame_scale_ms,plot_paint_ms,vision_frame_mutex_wait_ms,state_history_fetch_ms,command_mutex_wait_ms,ui_frames_converted,ui_frames_dropped,ui_frames_displayed,plot_samples_displayed,keepalive_tick_total,keepalive_success_total,keepalive_failure_total,keepalive_skipped_busy_total,keepalive_skipped_uninitialized_total,keepalive_last_command,keepalive_last_response,keepalive_last_result,keepalive_last_latency_ms,keepalive_last_success_age_ms,keepalive_last_tick_age_ms
,gui,,CONTROL_PANEL,1,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,NO_DATA,0,0,"no telemetry, video, command, or active RC samples",NO_DATA,NO_DATA,NO_DATA,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-07-06T18:46:10.019,recording started | gui_csv=ON | state_recording=ON,DISCONNECTED,0,pitch,0,0,0,0,0,0,0,0,0,0,0,0,0,127,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
,gui,,CONTROL_PANEL,1,2,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,NO_DATA,0,0,"no telemetry, video, command, or active RC samples",NO_DATA,NO_DATA,NO_DATA,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,logging:start,,,DISCONNECTED,0,pitch,0,0,0,0,0,0,0,0,0,0,0,0,0,127,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
,gui,,CONTROL_PANEL,16421,3,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,NO_DATA,0,0,"no telemetry, video, command, or active RC samples",NO_DATA,NO_DATA,NO_DATA,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-07-06T18:46:26.440,initialize(attempt=1): OK,DISCONNECTED,0,pitch,0,0,0,0,0,0,0,0,0,0,0,0,0,120,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
,gui,,CONTROL_PANEL,17398,4,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,NO_DATA,0,0,"no telemetry, video, command, or active RC samples",NO_DATA,NO_DATA,NO_DATA,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-07-06T18:46:27.416,"command (enterSdkMode, attempt=1, probe=1): OK",CONNECTED,0,pitch,0,0,0,0,0,0,0,0,0,0,0,0,0,139,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
,gui,,CONTROL_PANEL,17400,5,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,NO_DATA,0,0,"no telemetry, video, command, or active RC samples",NO_DATA,NO_DATA,NO_DATA,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-07-06T18:46:27.419,state receiver start => OK,CONNECTED,0,pitch,0,1,0,0,0,0,0,0,0,0,0,0,0,139,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
,gui,,CONTROL_PANEL,17401,6,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-07-06T18:46:27.420,sdk keepalive start => OK,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,139,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,battery?,,ERROR,0,-1,-1
,gui,,CONTROL_PANEL,21133,7,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,38,38,0,0,0,9.86079,9.99823,0,101,109,0,0,0,0,0,OK,100,1,0,10,112.26,0,92,50,53,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,1,telemetry=OK; command=OK,OK,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-07-06T18:46:31.144,panel switched to Operation,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,129,254,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,battery?,,ERROR,0,-1,-1
,gui,,CONTROL_PANEL,24549,8,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,72,72,0,0,0,9.84347,9.93483,43,101,109,0,0,0,0,0,OK,100,1,0,10,112.07,0,92,52,54,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,1,telemetry=OK; command=OK,OK,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-07-06T18:46:34.568,streamon (vision) queued on command worker,CONNECTED,0,pitch,2,1,0,0,0,0,0,1,0,0,0,0,0,124,250,0,0,0,0,0,0,0,0,0,0,0,70,1,1,0,0,0,battery?,92,OK,38,2110,2110
,gui,,CONTROL_PANEL,24556,9,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,,,,,72,72,0,0,0,9.84347,9.93483,50,101,109,0,0,0,0,0,OK,100,1,0,10,112.07,0,92,52,54,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,1,telemetry=OK; command=OK,OK,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,log,2026-07-06T18:46:34.575,"streamon (vision) => OK | response=""ok"" | state=CONNECTED",CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,124,250,0,0,0,0,0,0,0,0,0,0,0,70,1,1,0,0,0,battery?,92,OK,38,2117,2117
,gui,,CONTROL_PANEL,24556,10,1,1,0,6,6,6,6,24556,0,1,0,0,6,0,6,0,6,0,6,6,0,1,0,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,executor_call=1|command=streamon|result=OK|response=ok|elapsed_ms=6|timing_total_ms=6|recv_wait_ms=6|attempt_log=[attempt=1|send=OK|raw=ok|parsed=OK],72,72,0,0,0,9.84347,9.93483,50,101,109,0,0,0,0,0,OK,100,1,0,10,112.07,0,92,52,54,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,1,telemetry=OK; command=OK,OK,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,command:vision,,,CONNECTED,0,pitch,0,1,0,0,0,0,0,1,0,0,0,0,0,124,250,0,0,0,0,0,0,0,0,0,0,0,70,1,1,0,0,0,battery?,92,OK,38,2117,2117
