test_id,scenario,notes,run_mode,elapsed_ms,attempt,command_samples,command_successes,command_failures,command_latency_ms_avg,command_latency_ms_min,command_latency_ms_max,last_command,last_response,last_command_result,command_source,command_executor_last_error,command_executor_attempt_log,telemetry_packets_total,telemetry_packets_valid,telemetry_packets_invalid,telemetry_timeouts,telemetry_errors,telemetry_hz_instant,telemetry_hz_ema,telemetry_age_ms,telemetry_state_available,telemetry_h,telemetry_tof,telemetry_baro,telemetry_vgz,telemetry_bat,video_packets_total,video_bytes_total,video_timeouts,video_errors,video_pps_instant,video_pps_ema,video_age_ms,video_packet_delta,nal_packets_in,nal_bytes_in,nal_units,nal_sps,nal_pps,nal_idr,nal_non_idr,nal_other,nal_decode_gated,nal_resyncs,nal_buffered_bytes,decoder_nals_in,decoder_packets_sent,decoder_frames_decoded,decoder_errors,decoder_fps_ema,frame_width,frame_height,keyframes,paused,overlay_enabled,recovery_attempted,recovery_result,recovery_hard,event,connection_state,last_outage_failures,rc_stream_active,rc_left_right,rc_forward_back,rc_up_down,rc_yaw,keepalive_running,auto_refresh_active,critical_command_active,pause_keepalive_ms,neutral_rc_ms,critical_command_ms
,gui,,CONTROL_PANEL,13866,1,1,1,0,39,39,39,battery?,80,OK,manual,,attempt=1|send=OK|raw=80|parsed=OK,21,21,0,0,0,10.2851,10.2996,0,1,0,10,139.09,0,80,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,command:manual,CONNECTED,0,0,0,0,0,0,1,0,0,0,0,0
,gui,,CONTROL_PANEL,15955,2,2,2,0,32,25,39,wifi?,90,OK,manual,,attempt=1|send=OK|raw=90|parsed=OK,43,43,0,0,0,10.2869,10.3198,0,1,0,10,139.09,0,80,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,command:manual,CONNECTED,0,0,0,0,0,0,1,0,0,0,0,0
,gui,,CONTROL_PANEL,18086,3,2,2,0,32,25,39,wifi?,90,OK,manual,,attempt=1|send=OK|raw=90|parsed=OK,65,65,0,0,0,9.48333,10.3003,33,1,0,10,139.26,0,80,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,critical-command:begin:takeoff,CONNECTED,0,0,0,0,0,0,1,0,1,0,0,0
,gui,,CONTROL_PANEL,18087,4,2,2,0,32,25,39,wifi?,90,OK,manual,,attempt=1|send=OK|raw=90|parsed=OK,65,65,0,0,0,9.48333,10.3003,33,1,0,10,139.26,0,80,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,rc-neutral:skipped:takeoff,CONNECTED,0,0,0,0,0,0,1,0,1,0,0,0
,gui,,CONTROL_PANEL,18808,5,3,2,1,261.667,25,721,takeoff,,TIMEOUT,manual,Timeout waiting for response,attempt=1|send=OK|raw=|result=TIMEOUT,72,72,0,0,0,9.83674,10.2501,78,1,0,10,139.2,0,79,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,command:manual,CONNECTED,0,0,0,0,0,0,1,0,1,0,0,721
,gui,,CONTROL_PANEL,18808,6,3,2,1,261.667,25,721,takeoff,,TIMEOUT,manual,Timeout waiting for response,attempt=1|send=OK|raw=|result=TIMEOUT,72,72,0,0,0,9.83674,10.2501,78,1,0,10,139.2,0,79,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,critical-command:end:takeoff,CONNECTED,0,0,0,0,0,0,1,0,1,0,0,721
,gui,,CONTROL_PANEL,26797,7,3,2,1,261.667,25,721,takeoff,,TIMEOUT,manual,Timeout waiting for response,attempt=1|send=OK|raw=|result=TIMEOUT,155,155,0,0,0,10.2693,10.2763,96,1,70,81,140.29,0,79,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,critical-command:begin:land,CONNECTED,0,0,0,0,0,0,1,0,1,0,0,0
,gui,,CONTROL_PANEL,26797,8,3,2,1,261.667,25,721,takeoff,,TIMEOUT,manual,Timeout waiting for response,attempt=1|send=OK|raw=|result=TIMEOUT,155,155,0,0,0,10.2693,10.2763,96,1,70,81,140.29,0,79,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,rc-neutral:skipped:land,CONNECTED,0,0,0,0,0,0,1,0,1,0,0,0
,gui,,CONTROL_PANEL,26797,9,4,3,1,196.25,0,721,land,ok,OK,manual,,attempt=1|send=OK|raw=ok|parsed=OK,155,155,0,0,0,10.2693,10.2763,96,1,70,81,140.29,0,79,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,command:manual,CONNECTED,0,0,0,0,0,0,1,0,1,0,0,0
,gui,,CONTROL_PANEL,26797,10,4,3,1,196.25,0,721,land,ok,OK,manual,,attempt=1|send=OK|raw=ok|parsed=OK,155,155,0,0,0,10.2693,10.2763,96,1,70,81,140.29,0,79,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,critical-command:end:land,CONNECTED,0,0,0,0,0,0,1,0,1,0,0,0
,gui,,CONTROL_PANEL,37269,11,4,3,1,196.25,0,721,land,ok,OK,manual,,attempt=1|send=OK|raw=ok|parsed=OK,265,265,0,0,0,6.85485,10.902,8,1,0,10,138.92,0,77,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,critical-command:begin:takeoff,CONNECTED,0,0,0,0,0,0,1,0,1,0,0,0
,gui,,CONTROL_PANEL,37269,12,4,3,1,196.25,0,721,land,ok,OK,manual,,attempt=1|send=OK|raw=ok|parsed=OK,265,265,0,0,0,6.85485,10.902,8,1,0,10,138.92,0,77,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,rc-neutral:skipped:takeoff,CONNECTED,0,0,0,0,0,0,1,0,1,0,0,0
,gui,,CONTROL_PANEL,37976,13,5,3,2,298.2,0,721,takeoff,,TIMEOUT,manual,Timeout waiting for response,attempt=1|send=OK|raw=|result=TIMEOUT,272,272,0,0,0,10.2655,11.0781,83,1,0,10,139.03,0,77,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,command:manual,CONNECTED,0,0,0,0,0,0,1,0,1,0,0,706
,gui,,CONTROL_PANEL,37976,14,5,3,2,298.2,0,721,takeoff,,TIMEOUT,manual,Timeout waiting for response,attempt=1|send=OK|raw=|result=TIMEOUT,272,272,0,0,0,10.2655,11.0781,83,1,0,10,139.03,0,77,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,critical-command:end:takeoff,CONNECTED,0,0,0,0,0,0,1,0,1,0,0,706
