test_id,scenario,notes,run_mode,elapsed_ms,attempt,command_samples,command_successes,command_failures,command_latency_ms_avg,command_latency_ms_min,command_latency_ms_max,last_command,last_response,last_command_result,command_source,command_executor_last_error,command_executor_attempt_log,telemetry_packets_total,telemetry_packets_valid,telemetry_packets_invalid,telemetry_timeouts,telemetry_errors,telemetry_hz_instant,telemetry_hz_ema,telemetry_age_ms,telemetry_state_available,telemetry_h,telemetry_tof,telemetry_baro,telemetry_vgz,telemetry_bat,video_packets_total,video_bytes_total,video_timeouts,video_errors,video_pps_instant,video_pps_ema,video_age_ms,video_packet_delta,nal_packets_in,nal_bytes_in,nal_units,nal_sps,nal_pps,nal_idr,nal_non_idr,nal_other,nal_decode_gated,nal_resyncs,nal_buffered_bytes,decoder_nals_in,decoder_packets_sent,decoder_frames_decoded,decoder_errors,decoder_fps_ema,frame_width,frame_height,keyframes,paused,overlay_enabled,recovery_attempted,recovery_result,recovery_hard,recovery_stage,recovery_command_channel_available,event,connection_state,last_outage_failures,rc_stream_active,rc_left_right,rc_forward_back,rc_up_down,rc_yaw,keepalive_running,auto_refresh_active,critical_command_active,pause_keepalive_ms,neutral_rc_ms,critical_command_ms,gui_vision_tick_delay_ms,gui_state_tick_delay_ms,vision_refresh_duration_ms,state_refresh_duration_ms,frame_convert_ms,frame_scale_ms,plot_paint_ms,vision_frame_mutex_wait_ms,state_history_fetch_ms,ui_frames_converted,ui_frames_dropped,ui_frames_displayed,plot_samples_displayed
,gui,,CONTROL_PANEL,26126,1,1,1,0,23,23,23,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,38,38,0,0,0,10.0653,10.5962,60,1,0,10,140.89,0,68,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK,0,,0,command:vision,CONNECTED,0,0,0,0,0,0,1,0,0,0,0,0,124,249,0,0,0,0,0,0,0,0,0,0,36
,gui,,CONTROL_PANEL,26149,2,1,1,0,23,23,23,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,38,38,0,0,0,10.0653,10.5962,83,1,0,10,140.89,0,68,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,OK,0,,0,vision,CONNECTED,0,0,0,0,0,0,1,0,0,0,0,0,145,249,0,0,0,0,0,0,0,0,0,0,36
,gui,,CONTROL_PANEL,27254,3,1,1,0,23,23,23,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,49,49,0,0,0,10.7679,10.3151,96,1,0,10,140.85,0,68,305,418211,0,0,701.969,1472.35,1,305,305,418211,35,0,0,0,0,0,0,0,5840,6,4,4,2,29.8865,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,0,0,0,0,0,1,0,0,0,0,0,125,249,0,0,2,0,0,0,0,1,3,0,49
,gui,,CONTROL_PANEL,28380,4,1,1,0,23,23,23,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,61,61,0,0,0,10.4767,11.0732,79,1,0,10,141.06,0,68,625,855513,0,0,4171.08,5082.48,20,320,625,855513,71,0,0,0,0,0,0,0,13409,42,38,38,4,33.7519,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,0,0,0,0,0,1,0,0,0,0,0,125,249,1,0,2,0,0,0,0,10,28,9,59
,gui,,CONTROL_PANEL,29504,5,1,1,0,23,23,23,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,73,73,0,0,0,10.2312,10.1272,8,1,0,10,140.84,0,68,946,1294121,0,0,1535.46,5545.33,8,321,946,1294121,108,0,0,0,0,0,0,0,12479,79,73,73,6,31.7937,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,0,0,0,0,0,1,0,0,0,0,0,125,249,2,0,2,1,0,0,0,19,54,18,72
,gui,,CONTROL_PANEL,30629,6,1,1,0,23,23,23,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,84,84,0,0,0,10.229,11.6232,91,1,0,10,140.81,0,68,1257,1720622,0,0,34.7781,3568.72,4,311,1257,1720622,145,0,0,0,0,0,0,0,1460,116,108,108,8,30.7896,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,0,0,0,0,0,1,0,0,0,0,0,124,249,1,0,2,0,0,0,0,28,80,27,82
,gui,,CONTROL_PANEL,31629,7,1,1,0,23,23,23,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,94,94,0,0,0,9.98317,10.2187,100,1,0,10,140.94,0,68,1539,2108124,0,0,39.3062,7005.79,0,282,1539,2108124,178,0,0,0,0,0,0,0,1460,149,139,139,10,30.9815,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,0,0,0,0,0,1,0,0,0,0,0,124,249,1,0,2,0,0,0,0,36,103,34,92
,gui,,CONTROL_PANEL,32629,8,1,1,0,23,23,23,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,105,105,0,0,0,10.0362,10.095,5,1,0,10,140.92,0,68,1820,2494244,0,0,1822.84,11483.1,19,281,1820,2494244,210,0,0,0,0,0,0,0,12507,181,169,169,12,31.159,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,0,0,0,0,0,1,0,0,0,0,0,125,250,0,0,2,0,0,0,0,44,125,42,103
,gui,,CONTROL_PANEL,33754,9,1,1,0,23,23,23,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,116,116,0,0,0,10.0658,10.3935,87,1,0,10,141.11,0,67,2138,2931679,0,0,1662.53,4683.62,8,318,2138,2931679,247,0,0,0,0,0,0,0,12421,218,204,204,14,31.0287,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,0,0,0,0,0,1,0,0,0,0,0,124,249,1,0,2,0,0,0,0,52,152,50,116
,gui,,CONTROL_PANEL,34754,10,1,1,0,23,23,23,streamon,ok,OK,vision,,attempt=1|send=OK|raw=ok|parsed=OK,126,126,0,0,0,9.99245,10.1212,91,1,0,10,141.02,0,67,2420,3319332,0,0,1752.42,4192.87,0,282,2420,3319332,280,0,0,0,0,0,0,0,12621,251,235,235,16,30.852,960,720,0,0,1,0,OK,0,,0,vision,CONNECTED,0,0,0,0,0,0,1,0,0,0,0,0,124,249,1,0,2,0,0,0,0,60,175,58,126
