state_sequence,timestamp_ms,recording_elapsed_ms,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,mid,x,y,z,rc_a,rc_b,rc_c,rc_d,rc_source,rc_result,rc_timestamp_ms,rc_sequence
0,1782595460911,0,-1,0,0,0,0,0,87,89,10,0,84,140.67,0,-15,6,-1000,-1,0,0,0,,,,,,,,
1,1782595461008,97,-1,0,0,0,0,0,87,89,10,0,84,140.51,0,-18,6,-999,-1,0,0,0,,,,,,,,
2,1782595461105,194,-1,0,0,0,0,0,87,89,10,0,84,140.59,0,-16,6,-996,-1,0,0,0,,,,,,,,
3,1782595461206,295,-1,0,0,0,0,0,87,89,10,0,84,140.62,0,-17,6,-998,-1,0,0,0,,,,,,,,
4,1782595461299,388,-1,0,0,0,0,0,87,89,10,0,84,140.44,0,-16,8,-1000,-1,0,0,0,,,,,,,,
5,1782595461396,485,-1,0,0,0,0,0,87,89,10,0,84,140.5,0,-15,7,-1001,-1,0,0,0,,,,,,,,
6,1782595461493,582,-1,0,0,0,0,0,87,89,10,0,84,140.75,0,-15,6,-1002,-1,0,0,0,,,,,,,,
7,1782595461590,679,-1,0,0,0,0,0,87,89,10,0,84,140.55,0,-18,8,-999,-1,0,0,0,,,,,,,,
8,1782595461688,777,-1,0,0,0,0,0,87,89,10,0,84,140.43,0,-17,10,-996,-1,0,0,0,,,,,,,,
9,1782595461736,825,-1,0,0,0,0,0,87,89,10,0,84,140.56,0,-18,7,-1000,-1,0,0,0,,,,,,,,
10,1782595461833,922,-1,0,0,0,0,0,87,89,10,0,84,140.6,0,-16,5,-999,-1,0,0,0,,,,,,,,
11,1782595461930,1019,-1,0,0,0,0,0,87,89,10,0,84,140.48,0,-14,6,-1000,-1,0,0,0,,,,,,,,
12,1782595462027,1116,-1,0,0,0,0,0,87,89,10,0,84,140.75,0,-17,8,-998,-1,0,0,0,,,,,,,,
13,1782595462124,1213,-1,0,0,0,0,0,87,89,10,0,84,140.28,0,-18,8,-1000,-1,0,0,0,,,,,,,,
14,1782595462221,1310,-1,0,0,0,0,0,87,89,10,0,84,140.55,0,-18,8,-999,-1,0,0,0,,,,,,,,
15,1782595462318,1407,-1,0,0,0,0,0,87,89,10,0,84,140.58,0,-15,6,-997,-1,0,0,0,,,,,,,,
16,1782595462415,1504,-1,0,0,0,0,0,87,89,10,0,84,140.58,0,-15,7,-998,-1,0,0,0,,,,,,,,
17,1782595462512,1601,-1,0,0,0,0,0,87,89,10,0,84,140.66,0,-16,7,-999,-1,0,0,0,,,,,,,,
18,1782595462608,1697,-1,0,0,0,0,0,87,89,10,0,84,140.61,0,-17,6,-1000,-1,0,0,0,,,,,,,,
19,1782595462706,1795,-1,0,0,0,0,0,87,89,10,0,84,140.43,0,-15,7,-1001,-1,0,0,0,,,,,,,,
20,1782595462803,1892,-1,0,0,0,0,0,87,89,10,0,84,140.38,0,-17,7,-998,-1,0,0,0,,,,,,,,
21,1782595462899,1988,-1,0,0,0,0,0,87,89,10,0,84,140.65,0,-16,5,-999,-1,0,0,0,,,,,,,,
22,1782595462997,2086,-1,0,0,0,0,0,87,89,10,0,84,140.42,0,-16,8,-999,-1,0,0,0,,,,,,,,
23,1782595463093,2182,-1,0,0,0,0,0,87,89,10,0,84,140.35,0,-18,7,-999,-1,0,0,0,,,,,,,,
24,1782595463190,2279,-1,0,0,0,0,0,86,90,10,0,84,140.42,0,-17,6,-1000,-1,0,0,0,,,,,,,,
25,1782595463287,2376,-1,0,0,0,0,0,86,90,10,0,84,140.47,0,-17,7,-1001,-1,0,0,0,,,,,,,,
26,1782595463384,2473,-1,0,0,0,0,0,86,90,10,0,84,140.54,0,-17,8,-999,-1,0,0,0,,,,,,,,
27,1782595463481,2570,-1,0,0,0,0,0,86,90,10,0,84,140.3,0,-18,6,-999,-1,0,0,0,,,,,,,,
28,1782595463578,2667,-1,0,0,0,0,0,86,90,10,0,84,140.67,0,-18,6,-1000,-1,0,0,0,,,,,,,,
29,1782595463675,2764,-1,0,0,0,0,0,86,90,10,0,84,140.27,0,-16,7,-999,-1,0,0,0,,,,,,,,
30,1782595463772,2861,-1,0,0,0,0,0,86,90,10,0,84,140.52,0,-17,7,-1000,-1,0,0,0,,,,,,,,
31,1782595463870,2959,-1,0,0,0,0,0,86,90,10,0,84,140.29,0,-15,7,-998,-1,0,0,0,,,,,,,,
32,1782595463966,3055,-1,0,0,0,0,0,86,90,10,0,84,140.55,0,-18,6,-996,-1,0,0,0,,,,,,,,
33,1782595464063,3152,-1,0,0,0,0,0,86,90,10,0,84,140.39,0,-17,6,-1001,-1,0,0,0,,,,,,,,
34,1782595464160,3249,-1,0,0,0,0,0,88,89,10,0,84,140.24,0,-17,8,-999,-1,0,0,0,,,,,,,,
35,1782595464257,3346,-1,0,0,0,0,0,88,89,10,0,84,140.26,0,-16,8,-1000,-1,0,0,0,,,,,,,,
36,1782595464354,3443,-1,0,0,0,0,0,88,89,10,0,84,140.52,0,-16,7,-999,-1,0,0,0,,,,,,,,
37,1782595464451,3540,-1,0,0,0,0,0,88,89,10,0,84,140.64,0,-15,7,-1002,-1,0,0,0,,,,,,,,
38,1782595464551,3640,-1,0,0,0,0,0,88,89,10,0,84,140.52,0,-17,6,-1001,-1,0,0,0,,,,,,,,
39,1782595464645,3734,-1,0,0,0,0,0,88,89,10,0,84,140.46,0,-17,6,-999,-1,0,0,0,,,,,,,,
40,1782595464742,3831,-1,0,0,0,0,0,88,89,10,0,84,140.44,0,-16,8,-998,-1,0,0,0,,,,,,,,
41,1782595464790,3879,-1,0,0,0,0,0,88,89,10,0,84,140.47,0,-17,8,-1001,-1,0,0,0,,,,,,,,
42,1782595464889,3978,-1,0,0,0,0,0,88,89,10,0,84,140.51,0,-16,7,-1000,-1,0,0,0,,,,,,,,
43,1782595464985,4074,-1,0,0,0,0,0,88,89,10,0,84,140.33,0,-17,6,-998,-1,0,0,0,,,,,,,,
44,1782595465129,4218,-1,0,0,0,0,0,87,90,10,0,84,140.73,0,-16,7,-1002,-1,0,0,0,,,,,,,,
45,1782595465228,4317,-1,0,0,0,0,0,87,90,10,0,84,140.51,0,-15,7,-998,-1,0,0,0,,,,,,,,
46,1782595465275,4364,-1,0,0,0,0,0,87,90,10,0,84,140.58,0,-16,6,-1000,-1,0,0,0,,,,,,,,
47,1782595465372,4461,-1,0,0,0,0,0,87,90,10,0,84,140.4,0,-15,7,-999,-1,0,0,0,,,,,,,,
48,1782595465469,4558,-1,0,0,0,0,0,87,90,10,0,84,140.69,0,-16,7,-999,-1,0,0,0,,,,,,,,
49,1782595465566,4655,-1,0,0,0,0,0,87,90,10,0,84,140.28,0,-18,6,-999,-1,0,0,0,,,,,,,,
50,1782595465663,4752,-1,0,0,0,0,0,87,90,10,0,84,140.32,0,-17,7,-1001,-1,0,0,0,,,,,,,,
